item,title,rating,body
'B0CDSCM9BN','My watch is not working. After 20 days use','2.0 out of 5 stars','Not like the product total 1199 waste money'
'B0CDSCM9BN','Good product for this price and smart future','5.0 out of 5 stars','Quality products'
'B0CDSCM9BN','Good product','5.0 out of 5 stars','A good product at reasonable price'
'B0CDSCM9BN','Beat flare pro','5.0 out of 5 stars','Value for money'
'B0CDSCM9BN','Awesome','5.0 out of 5 stars','Price worth'
'B0CDSCM9BN','good product','5.0 out of 5 stars','happy and satisfied'
'B0CDSCM9BN','Superb Smart watch in pocket friendly price','5.0 out of 5 stars',"Generally, as per my requirement, such as Dial size, screen brightness, Sync with phone, without lagging connectivity, it's a superb deal!! The Bonus is I can customize dial wallpaper as I wish."
'B0CDSCM9BN','Nice product I love it.','5.0 out of 5 stars','Wow amazing product velue for money.'
'B0CDSCM9BN','Stylish and functional watch','5.0 out of 5 stars','The beatXP Flare Pro Smart Watch is a stylish and functional accessory. The 1.39" Ultra HD display is a joy to use, and the high refresh rate ensures smooth interactions. What sets it apart is the Bluetooth calling feature, which has made my life so much easier. No more fumbling for my phone when a call comes in I can answer directly from my wrist. Very nice satisfying and value for money'
'B0CDSCM9BN','Product is good 👍 ...','4.0 out of 5 stars','Product is good 👍 features are perfect'
'B0CDSCM9BN','Best','4.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r2dk3othi855wf_1697112993509","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-5333516-3946729","refMarkers":"vse_reviews_desktop_R2DK3OTHI855WF_1697112993509_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"QWZDF1AWF57CRHCEGJ1X","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2DK3OTHI855WF","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2DK3OTHI855WF_1697112993509_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/ce51331e-ca13-4d8f-9fe8-8036d7dd9284/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R2DK3OTHI855WF","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r2dk3othi855wf_1697112993509-player-f72f8c7a-757f-40c4-ae3c-0a9c72192948","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"QWZDF1AWF57CRHCEGJ1X","pageAsin":"","sessionId":"258-5333516-3946729"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-5333516-3946729","refMarkers":"vse_reviews_desktop_R2DK3OTHI855WF_1697112993509_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"QWZDF1AWF57CRHCEGJ1X","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2DK3OTHI855WF","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2DK3OTHI855WF_1697112993509_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51lRxsAjIEL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Good product'
'B0CDSCM9BN','Smartwatch flare pro','4.0 out of 5 stars',"This is amazing and fantastic product of smart watch lover and value for money and best quality straps when ur wearing the watch everyone could ask you that's all nice you must try it once 🙂"
'B0CDSCM9BN','The customer service is not good they aren’t answering to the problem','1.0 out of 5 stars','The watch stopped working like within a month even the battery life is very bad'
'B0CDSCM9BN','Best watch','5.0 out of 5 stars','Loved it best accuracy easy to use good quality cheap price value for money'
'B0CDSCM9BN','Good Product, value for money','5.0 out of 5 stars',''
'B0CDSCM9BN','Worth of review','4.0 out of 5 stars',"I recently purchased the BeatXP Flare Pro headphones, and I must say, they have completely exceeded my expectations. As a music enthusiast and someone who spends long hours listening to music, I've gone through my fair share of headphones, and these have quickly become my go-to choice. Here's why I love them:  Sound Quality (5/5): The sound quality is simply outstanding. The Flare Pro headphones deliver crisp highs, deep, punchy bass, and a well-balanced midrange. Whether I'm listening to classical music, rock, or electronic beats, the audio is clear and immersive. The bass doesn't overpower the other frequencies, resulting in a rich and balanced listening experience.  Comfort (5/5): Comfort is paramount for me during long listening sessions, and the Flare Pro nails it. The over-ear design with memory foam ear cushions provides a snug fit without causing any discomfort. They are lightweight and can be worn for hours on end without any fatigue. The adjustable headband ensures a secure fit on my head, and I appreciate the attention to detail in the design.  Battery Life (4/5): While the battery life is not the absolute best I've seen, it's still quite impressive. I can easily get through a full day of use on a single charge. The quick charging feature is a lifesaver when I'm in a rush.  Noise Cancellation (4/5): The noise cancellation feature is effective in blocking out ambient noise, making these headphones great for commuting and travel. It's not on par with some top-tier models, but for the price, it's more than satisfactory.  Build Quality (5/5): The build quality feels premium, and the headphones have a robust construction. They fold up nicely for storage, and the included carrying case adds an extra layer of protection. I've accidentally dropped them a couple of times, and they've held up without any issues.  Connectivity (5/5): Pairing these headphones with my devices is a breeze. The Bluetooth connectivity is stable, and I've had no issues with dropouts. The range is also impressive, allowing me to move around my house without losing the connection.  In summary, the BeatXP Flare Pro headphones are a fantastic value for the price. They deliver exceptional sound quality, comfort, and build quality. While the battery life and noise cancellation could be slightly improved, they are still excellent in their category. Whether you're a music enthusiast or just looking for a reliable pair of headphones for daily use, I highly recommend giving the BeatXP Flare Pro a try. These headphones have truly elevated my listening experience, and I couldn't be happier with my purchase."
'B0CDSCM9BN','Poor battery life','1.0 out of 5 stars','The media could not be loaded.'
'B0CDSCM9BN','Most value for money','5.0 out of 5 stars','Very good quality watch'
'B0CDSCM9BN','Very nice','5.0 out of 5 stars','Very nice'
'B0CDSCM9BN','Best watch','5.0 out of 5 stars','The media could not be loaded. I liked everything about it'
'B0CDSCM9BN','Build quality','5.0 out of 5 stars','Very nice product.loved it'
'B0CDSCM9BN','Worth price','4.0 out of 5 stars',''
'B0CDSCM9BN','Value for money product','4.0 out of 5 stars','It is really good'
'B0CDSCM9BN','Worth product','5.0 out of 5 stars','Best value for money, can go for it'
'B0CDSCM9BN','super','3.0 out of 5 stars','battery life thoda kam he'
'B0CDSCM9BN','Miss charging cable and watch','5.0 out of 5 stars',''
'B0CDSCM9BN','डिफेकटिव्ह उत्पादन','2.0 out of 5 stars','हे घड्याळ ऑन होत नाही, बॉक्समध्ये युजर मॅन्युअल नाही'
'B0CDSCM9BN','Good quality','5.0 out of 5 stars','The media could not be loaded.'
'B0CDSCM9BN',"It's nice products.",'5.0 out of 5 stars','Value for money.'
'B0CDSCM9BN','Feature','5.0 out of 5 stars','Because I am trusted in your company.'
'B0CDSCM9BN','Think before buy it','1.0 out of 5 stars','Big dial and look is not attractive in reality. Belt quality is not good and return policy is not there so think before you buy.'
