item,title,rating,body
'B0CDY8L4ZY','Excellent','5.0 out of 5 stars','Very good quality product'
'B0CDY8L4ZY','Stylish piece','4.0 out of 5 stars','Nice high neck sweater but fabric is not soft. Bit rough. Overall color and style is good. Fitting is good but at neck, little bit tight and too high.'
'B0CDY8L4ZY','Worth','3.0 out of 5 stars','Cloth 💯'
'B0CDY8L4ZY','This is as its description','5.0 out of 5 stars','This is as its described. I wear loose clothes so i ordered 2 size larger. But still hugs my body. Bottom part is loose but Sleever are bit long as it should perfect perfect for winters. Ofcourese will not be warm in very harsh weather it needs layering but you can buy Its good I brought it in 699 Rs.'
'B0CDY8L4ZY','Not that warm','4.0 out of 5 stars',"Fits fine. Though it doesn't feel that much warm. For underneath for winter is fine."
'B0CDY8L4ZY','Comfortable and stylish','5.0 out of 5 stars','It has a Good colour, Comfortable sweater, it has amazingly soft touch, worth every penny. Go for it..Must buy. Highly recommended<3'
'B0CDY8L4ZY','Perfect sweater, fit as expected','5.0 out of 5 stars','Best product, money worthy and it fit as expected, very comfortable in wearing, it has a soft fabric, love it.'
'B0CDY8L4ZY','Nice','5.0 out of 5 stars','The product is very nice. Must buy. The quality is very good. Affordable and quality is superb. Awesome purchase. Yayy'
'B0CDY8L4ZY','👍','5.0 out of 5 stars','Very nice,good quality sweater.'
'B0CDY8L4ZY','Quality is good','5.0 out of 5 stars','I bought and it kind was a little big for me usually I don’t mind loose and big clothes but since this was thick I gave it to my father haha!! And he loves it he asked me to buy another one so yeah quality is pretty good!'
'B0CDY8L4ZY','Wrong colour','3.0 out of 5 stars','The Quality was good but I got a wrong coloured product. Instead of bottle green I got a light green item'
'B0CDY8L4ZY','This is very good and warm','4.0 out of 5 stars','Nice and warm 😊 Happy with this product.. j'
'B0CDY8L4ZY','Stylish','5.0 out of 5 stars','Loved this top. The fit is perfect. Suited even in the windy cold weather of Europe'
'B0CDY8L4ZY','Good product👍','5.0 out of 5 stars','Good 👍 👍'
'B0CDY8L4ZY','Awesome Product And A Value For Money','5.0 out of 5 stars','Bought this product as a gift for my mother and the product is very soft and gentle.'
'B0CDY8L4ZY','Good quality product','5.0 out of 5 stars','Bought this for my spouse as a gift and she liked the colour and quality of the product'
'B0CDY8L4ZY','Nice fitting','5.0 out of 5 stars','Soft and gentle'
