item,title,rating,body
'B0CHK717Y2','mis-alligned.','1.0 out of 5 stars','return procedure made cumbersome.'
'B0CHK717Y2','Its like toy table.','2.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r214ho2tprsnmd_1697122163942","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-0177075-4139229","refMarkers":"vse_reviews_desktop_R214HO2TPRSNMD_1697122163942_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"MJXJN2JS3DGN6JX8ZDMJ","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R214HO2TPRSNMD","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R214HO2TPRSNMD_1697122163942_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/70e9798a-7568-4781-b480-654e20cf97a7.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/38e9f5df-536a-42af-b737-0e4b32025a64/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R214HO2TPRSNMD","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r214ho2tprsnmd_1697122163942-player-ecf482a4-0990-48b4-950e-8f682832f6d0","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"MJXJN2JS3DGN6JX8ZDMJ","pageAsin":"","sessionId":"261-0177075-4139229"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-0177075-4139229","refMarkers":"vse_reviews_desktop_R214HO2TPRSNMD_1697122163942_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"MJXJN2JS3DGN6JX8ZDMJ","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R214HO2TPRSNMD","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R214HO2TPRSNMD_1697122163942_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/61ukaVZpMdL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. The table is very small, it should not be considered as coffee table.  Because it opens from middle, it has lil balancing issues.  Top round doesn\'t fit proper round.  Though it was lil low cost so I kept it as my daughter\'s toy table.'
'B0CHK717Y2','Decent low level table','3.0 out of 5 stars','The quality of the table is fine. But its not smoothened. And it seemed like it had come from a damp storage area. There was a lot of moisture fungus on the wood. I had to immediately clean it. Forgot to put on a mask so there was slight irritation in the throat because of that. Will not be returning it.'
'B0CHK717Y2','Not worth it','1.0 out of 5 stars','Looking used one.'
'B0CHK717Y2','Not up to the Standard','2.0 out of 5 stars','Not in a finished condition'
'B0CHK717Y2','Nice product','5.0 out of 5 stars','Qulitly is good'
'B0CHK717Y2','Worth the money','5.0 out of 5 stars',"It's very good product and strong enough.  Worth the money."
'B0CHK717Y2','Cute','5.0 out of 5 stars','This is cute n useful... ll nt occupy space..'
'B0CHK717Y2','Very unhappy with the this','1.0 out of 5 stars','Finishing is very bad I want exchange i received very bad after exchanging very very worst 😡😡😡'
'B0CHK717Y2','Consider on finishing & polish','4.0 out of 5 stars','As corner photo stand.'
'B0CHK717Y2','Good product','5.0 out of 5 stars','Useful for small purposes like keeping some plant pots, or used for keeping phones while charging'
