item,title,rating,body
'B0CHMVD1NW','Good Sound','5.0 out of 5 stars','Sound Quality Is Very Good And Clear.Base Is High,Very Loud Volume.This Is A Party , Entertainment, birthday Party Perfect Party Mix Sound.Battery Back up Is Good.Remote Control Also Good.'
'B0CHMVD1NW','Very good product.','5.0 out of 5 stars','It is an excellent product. Build quality is very good. Also, it can be operated with remote. Sound produce by mic is very much clear and loud. Also, it has a great battery life. RGB lights makes this product very unique and attractive. Overall a good speaker system. It is a versatile and value for money product.'
'B0CHMVD1NW','Great for Party & Picnic with Friends','5.0 out of 5 stars','Prior to taking this class, I thought that building an accessible site meant watering down designs. Shawn truly impressed me, when she could demonstrate that the accessibility of a site greatly improved the speaker quality for all users. You can easy to use for party for karaoke songs enjoy with friends partys that are more useful for more people, you can improve your existing speaker with this knowledge.'
'B0CHMVD1NW','Battery not working only 1 Hour','1.0 out of 5 stars','The media could not be loaded. Only 1 Hour Battery.,...  Money west product Not Value for money'
'B0CHMVD1NW','Average product','3.0 out of 5 stars','No bass, wired microphone has not much voice input quality'
'B0CHMVD1NW','Sounds quality awesome','5.0 out of 5 stars','Sounds quality good. Packaging also awesome I recommend buy this bluetooth. Heavy quality party Sounds.'
'B0CHMVD1NW','Best Karaoke🎤 Speaker In Budget','5.0 out of 5 stars','Best Karaoke🎤 Speaker In Budget Speaker 🔊 Quality Is Good 2 Speakers With fine base, Rgb Lights with different colors is catchy, It does Have Remote Too with good control, If You want speaker under ₹1500 go for it value for money. Must Buy product.'
'B0CHMVD1NW','Third class product totally wast of money dont buy this product within 3 days its stopped working','1.0 out of 5 stars',''
'B0CHMVD1NW','Amazing!! Must have!!','5.0 out of 5 stars','In this price point this is the best karaoke speaker I have ever used. Being a passionate singer I have never seen this type of amazing speaker with amazing remote control range. I even tried the remote from different room. Although at full volume the sound was very clear. I have used many speakers before but this quality I have never seen. You must try this once you will love that.'
'B0CHMVD1NW','Sir ye speaker chalte chalte volume kam ho jata hai please return or replace the item','2.0 out of 5 stars','The media could not be loaded.'
'B0CHMVD1NW','Awesome speaker','5.0 out of 5 stars','Quality of sound is very good. Battery backup is also nice. I use this speaker for karoke. It is best speaker for karoke. It is portable. So we can easily move it.'
'B0CHMVD1NW','Powerful speakers with punch','5.0 out of 5 stars','Well these are 40 watt speakers so they pack a lot of power. Sound is loud and these are most suited for outdoor setting. It comes with a mic and a remote through which one can select different equalizer modes or tune to radio stations . It also comes with led lights but they arent customizable its either on or off. It also comes with volume control knob which is much better than pushing buttons to control volume.'
'B0CHMVD1NW','RGB LED lights are a fantastic touch','5.0 out of 5 stars','the lightweight and portable design make it easy to take this speaker anywhere.and the quality is amazing plus a great value of money With up to 6 hours of music playtime through various playback options like Bluetooth, TF card, and USB pendrive The remote control included in the package is convenient for managing media and volume.'
'B0CHMVD1NW','Value for money','5.0 out of 5 stars','the speaker is superb i am just surprised with the sound my family just loved it quality is superb and i will suggest everyone to just buy it.'
'B0CHMVD1NW','Poor quality','1.0 out of 5 stars','The media could not be loaded. Product not valu for money'
'B0CHMVD1NW','Volume button not controlled always high sound button not working','2.0 out of 5 stars','Not working volume button'
