item,title,rating,body
'B0CJ2QSD9L','Product was good but scissors were nt durable. They broke very easily.','3.0 out of 5 stars',"I don't like the scissors inside it as they were not durable. My daughter used it for school purpose."
'B0CJ2QSD9L','Superb product','5.0 out of 5 stars','My child found this geometry box himself on Amazon, and asked to buy. We got next day delivery and the product quality is really very good. We all loved it, specially my kid was very happy.'
'B0CJ2QSD9L','Very good Build Quality','5.0 out of 5 stars',"Value for money product don't think too much just go for it 👍"
'B0CJ2QSD9L',"It's so beautiful for boys",'5.0 out of 5 stars',"It's so nice for boys my son liked it 💙"
'B0CJ2QSD9L','Good Quality','5.0 out of 5 stars',"It's an amazing pencil box for kids. I am very happy with it quality is superb.looking so good and nice part is that it has its own eraser,seasor, sharpener compartment.very nice pencil box.every kid will definitely liked it."
'B0CJ2QSD9L','Worth it','5.0 out of 5 stars','The product is worth buying and have a lot of space a very bright colour price is also good worth it'
'B0CJ2QSD9L',"It's easy to use for kids and beginners",'5.0 out of 5 stars',"It's very easy to use for kids and quality is good too and you can also gift someone if you want"
'B0CJ2QSD9L','Quality, gift abilities','5.0 out of 5 stars','This is so awesome geometric box my nephew loved it so much and reasonable price with good quality. Best gift for kinds'
'B0CJ2QSD9L','Must buy.. nice product','5.0 out of 5 stars','Very nice quality, all push buttons working fine'
'B0CJ2QSD9L','Super quality product','5.0 out of 5 stars','This product is just wow for kids and theme is great! Good quality product'
'B0CJ2QSD9L','Awesome product','5.0 out of 5 stars','Awesome product. My kid is loving so much And very happy. Compass is working very good. The buttons are just click and open. Space wise is also nice. It already contains eraser salutape scale which is just a click for opening. Value for money. Worth buying it. Will recommend to others as well.'
'B0CJ2QSD9L','good product','5.0 out of 5 stars','This product is very good quality Nice quality Value for money 👍'
'B0CJ2QSD9L','Good product and worth for quality','5.0 out of 5 stars','This is perfect gift item for kids, look like a gadget, for realistic use compartment space can be improve as the device size is big. But overall nice product and kids will for sure love it.'
'B0CJ2QSD9L','Amazing','5.0 out of 5 stars',"It's an amazing pencil box for kids.quality is superb.lookimg so nice and cute.best part is that it has its own eraser,seasor, sharpener compartment.very nice pencil box.every kid will definitely liked it.go for it without any second thought."
'B0CJ2QSD9L','Stylish and spacious pencil box','5.0 out of 5 stars','Stylish and spacious Pencil Box. This pencil box is the best stationary kit organizers. Magnetic lock features with two side compartment, each one to pop out inbuilt sharpener, Scissor, eraser compartment, additional compartment and pencil/pen holder This space explorer themed pencil box is the best gift for toddlers, birthday gift for kids, return gift for children, can be gifted on any occasion'
'B0CJ2QSD9L','Awesome Pencil Box','5.0 out of 5 stars',"It's really wonderful pencil box for your loved ones. I bought this for my daughter. High quality with useful accessories. Full value of money."
