item,title,rating,body
'B005FYNT3G','storage capacity','4.0 out of 5 stars','Storage capacity is low'
'B005FYNT3G','Good','4.0 out of 5 stars','Good product on budget'
'B005FYNT3G','Ok','3.0 out of 5 stars','Ok'
'B005FYNT3G','Pen drive','3.0 out of 5 stars','Design good easy to use good compatibility read/write speed - 40/8mbps'
'B005FYNT3G','Good to buy','5.0 out of 5 stars','Buy'
'B005FYNT3G','Very Useful Product','5.0 out of 5 stars','Very good Storage'
'B005FYNT3G','Nice one','5.0 out of 5 stars','Good'
'B005FYNT3G','Good','5.0 out of 5 stars','Super'
'B005FYNT3G','Good','5.0 out of 5 stars','Nice'
'B005FYNT3G','NOT WORKING','1.0 out of 5 stars','Not working'
'B005FYNT3G','Scanner code has Erased','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_re9jqbd1s64c_1697132774982""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""262-0768685-2177239""refMarkers:""vse_reviews_desktop_RE9JQBD1S64C_1697132774982_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""YWYZWM8N49W2VBHTJNW9""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RE9JQBD1S64C""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RE9JQBD1S64C_1697132774982_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/2bb6b8a6-05a8-453d-8adb-dc78e2894297.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/b18102b5-356e-45f8-8ca2-9184402b9496/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RE9JQBD1S64C""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_re9jqbd1s64c_1697132774982-player-8b3771ac-0525-40a7-9c13-9acf053005f2""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""YWYZWM8N49W2VBHTJNW9""pageAsin:""""sessionId:""262-0768685-2177239""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""262-0768685-2177239""refMarkers:""vse_reviews_desktop_RE9JQBD1S64C_1697132774982_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""YWYZWM8N49W2VBHTJNW9""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RE9JQBD1S64C""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RE9JQBD1S64C_1697132774982_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51iDXuogL9L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Scanner code has erased. Product has not proper.'"
'B005FYNT3G','Good','5.0 out of 5 stars','Does at it is suppose to'
