item,title,rating,body
'B006QAXF9Q','Worst','1.0 out of 5 stars','Easily broken Not even withstand 2nd class kids pressure. Worst.'
'B006QAXF9Q','Good one','5.0 out of 5 stars','Good one'
'B006QAXF9Q','Nice','5.0 out of 5 stars','Colour  J'
'B006QAXF9Q','Very good writing','5.0 out of 5 stars','Nice n smooth... No sharpening issues... Very good'
'B006QAXF9Q','Good product','5.0 out of 5 stars','I like this product'
'B006QAXF9Q','Missing items','3.0 out of 5 stars','Sharpener and eraser are missing.'
'B006QAXF9Q','Rylan watch','4.0 out of 5 stars','Excellent product'
'B006QAXF9Q','Fine writing','5.0 out of 5 stars','Good quality'
'B006QAXF9Q','Horrible bad','1.0 out of 5 stars','Horrible one broken into pieces one was missing and one was used. Wow. Who has time to keep on exchanging products and returning. Please check what is dispatch'
'B006QAXF9Q','Good quality product','5.0 out of 5 stars','Very nice and attractive pencils. Girl child will love it mine one is very happy'
'B006QAXF9Q','Boxes are not sealed','1.0 out of 5 stars','There are 9 pencils in one of the pack. Disappointed.'
