item,title,rating,body
'B00BOLGIRS','useful','4.0 out of 5 stars','useful'
'B00BOLGIRS','Good quality','4.0 out of 5 stars','Good quality pair of scissors.'
'B00BOLGIRS','Right choice','5.0 out of 5 stars','Good quality and value of money'
'B00BOLGIRS','Rubbish','1.0 out of 5 stars','Not a good product'
'B00BOLGIRS','Good','5.0 out of 5 stars','Good'
'B00BOLGIRS',It's okay product,'5.0 out of 5 stars','The media could not be loaded. Fit for art and craft works'
'B00BOLGIRS','Well built product','5.0 out of 5 stars','Sturdy product'
'B00BOLGIRS','Works good ...','4.0 out of 5 stars','Works good ...but price is a little higher'
'B00BOLGIRS','Very sharp, very good','5.0 out of 5 stars''Very sharp very good .'
'B00BOLGIRS','Good built and looks','4.0 out of 5 stars','The media could not be loaded. This is a pair of two scissors looks good and has good built with sharp blades. With the usage a better feedback can be shared'
'B00BOLGIRS','Very good','5.0 out of 5 stars','Good quality'
'B00BOLGIRS','Nice','4.0 out of 5 stars','Nice but expensive.'
'B00BOLGIRS','Quality','5.0 out of 5 stars','Quality of the scissors are good'
'B00BOLGIRS','Not suitable for trimming','1.0 out of 5 stars','It does not serve the purpose of trimming hair'
'B00BOLGIRS','Good','5.0 out of 5 stars','Easy to cut'
'B00BOLGIRS','Good quality scissors','5.0 out of 5 stars','Good quality. Recommended.'
'B00BOLGIRS','Good','3.0 out of 5 stars','Good'
'B00BOLGIRS','Very good','5.0 out of 5 stars','Liked it'
'B00BOLGIRS','Material','5.0 out of 5 stars','Strong material durable and easy to work on'
'B00BOLGIRS','Good product','5.0 out of 5 stars','Met expectations. 😄'
'B00BOLGIRS','Flimsy','3.0 out of 5 stars','Had these scissors for only 2 or 3 months and the plastic handle has already broken.'
'B00BOLGIRS','Amazing product','5.0 out of 5 stars','Surprisingly good product. Will recommend to purchase this product without any hesitation.'
'B00BOLGIRS','Good quality ..If needed will buy again','5.0 out of 5 stars','Just go for it'
'B00BOLGIRS','Very good product','5.0 out of 5 stars','The product that I received was very good. Both the scissors are sharp enough for their respective uses.'
'B00BOLGIRS','Easy to cut durable quality','5.0 out of 5 stars','Ideal quality'
'B00BOLGIRS','Nice grip and sharpness but Used product..','1.0 out of 5 stars',"The Scissors are fine. One was quite sharp but the other wasn't so sharp, probably used before. The grip is really good.  The package came as shown in the picture attached. It was used and the pack was opened. The seller cleverly applied tapes and resold used products. RK World Infocom - avoid this seller.."
'B00BOLGIRS','Good product','5.0 out of 5 stars','good'
'B00BOLGIRS','nice product','5.0 out of 5 stars','very good quality and useful product'
'B00BOLGIRS','Best','5.0 out of 5 stars','Best in india'
'B00BOLGIRS','Easy to hold and cutting blades','4.0 out of 5 stars','Good product easy to hold and good cutting blades.'
'B00BOLGIRS',Design to grip the scissor isn't comfortable,'3.0 out of 5 stars',Design isn't comfortable
'B00BOLGIRS','Good quality.','5.0 out of 5 stars','Sharp cutting edge. Lovely colour!'
'B00BOLGIRS','Its the best scissor combo!','5.0 out of 5 stars','Really? You want a review for a Scissor? Ok..fine... Both the scissors feels good in hand cuts well no rusting so far and yes...the price for the combo is justified! Go for it!'
'B00BOLGIRS',"It's worth, cuts easily,",'4.0 out of 5 stars','Nice'
'B00BOLGIRS','Poor scissors','1.0 out of 5 stars','The hold is uncomfortable and awkward. The flow is hard.'
'B00BOLGIRS','Overall good','4.0 out of 5 stars','Can be purchased its good we get 2 one is bigger and one is medium'
'B00BOLGIRS','Best! Ever!','5.0 out of 5 stars','I got it for daily use for kitchen and some paperwork and let me tell you I think its one of my best purchase decisions lately! It’s beautiful 🤩 and firm and very hight quality and soft rubber for extra solid grip and less pain for long usages. Overall its the one I’ll buy again and again if I need to get a new one. And I think everyone should!'
'B00BOLGIRS','Nice','4.0 out of 5 stars','Nice color  Update: Definitely very good quality. Its a pleasure to use every time. It is very sharp and easy to use. Giving it 4 stars. Withholding one star for slow delivery 😏'
'B00BOLGIRS','They seem good 👍','5.0 out of 5 stars','Good product 👌'
'B00BOLGIRS','Product review','5.0 out of 5 stars','Premium product..worth the price..'
'B00BOLGIRS','Not value for money','3.0 out of 5 stars','Looks and feels ordinary could get at lower price locally'
'B00BOLGIRS','100% Satisfied','5.0 out of 5 stars','Zero Complaints'
'B00BOLGIRS','Very sharp. Good for cutting everything for housework.','5.0 out of 5 stars','I like it very much. Smooth and sharp. Go with it rather than to buy expensive scissors'
'B00BOLGIRS','Good','5.0 out of 5 stars','Nice product'
'B00BOLGIRS','Good pair of scissors.','5.0 out of 5 stars','Good pair of scissors ergonomically designed and easy to use. Reasonably priced and delivered on schedule.'
'B00BOLGIRS','Best scissors','5.0 out of 5 stars','Best scissors to cut'
'B00BOLGIRS','Excellent product','5.0 out of 5 stars','Waooo'
'B00BOLGIRS','Nice','5.0 out of 5 stars','Nice quality'
'B00BOLGIRS','Good scissors for art and craft work','5.0 out of 5 stars','Good scissors for art and craft work My niece uses this knife for her homework it is safe for kids and ergonomically good.'
'B00BOLGIRS','Sharp and sturdy.','5.0 out of 5 stars','Good product. Sharp and sturdy. Bigger scissors was good in size but the other one was a bit smaller than expected.'
