item,title,rating,body
'B00BSWG80K','Works very well','5.0 out of 5 stars','Works very well. Good quality product'
'B00BSWG80K','Works','4.0 out of 5 stars','Works'
'B00BSWG80K','Multi Purpose Tool','5.0 out of 5 stars','It is very useful tool'
'B00BSWG80K','Job doer','4.0 out of 5 stars',Will do the job not in the most stylish way. But will do the job perfectly for the price it's the best buy. 🍻🥂 cheers
'B00BSWG80K','Great product from IKEA','5.0 out of 5 stars',Great deal and great buy!! Don't miss out on this sturdy product from IKEA
'B00BSWG80K','Good','5.0 out of 5 stars','Good product'
'B00BSWG80K','Excellent product','5.0 out of 5 stars','Excellent material great finish and does the work.'
'B00BSWG80K','Excellent product and recommended to purchase..','5.0 out of 5 stars','Excellent product and love to have this.. Really valuable for money.. Recommended to purchase to have a great experience..'
'B00BSWG80K','An OK product. For the value it could have been more sturdier.','1.0 out of 5 stars','It seems a bit fragile. A little loose while handling. It broke into small pieces on the second use. Not worth the buy. It’s just a show piece.'
'B00BSWG80K','Classy','5.0 out of 5 stars','Has the look and feel of a classy wine opener. Excellent finish looks nice and strong.'
'B00BSWG80K','Good Product, does the job','5.0 out of 5 stars''It is a good quality product from IKEA that does what it says and does it well. The price is reasonable compared to other similar items.'
'B00BSWG80K','Awesome product','5.0 out of 5 stars','Very good'
'B00BSWG80K','Excellent','5.0 out of 5 stars','Excellent'
'B00BSWG80K','Easy to use and value for money. Sturdiness is something which can be improved','5.0 out of 5 stars','Easy to use and value for money. Sturdiness is something which can be improved'
'B00BSWG80K','Looks old and used.','3.0 out of 5 stars','Returned it once. The replacement was as bad. It seemed to have been made in 2018. It had scratch and dirt marks all over.  Couldnt be bothered to return it again but not worth it at all.'
'B00BSWG80K','Good product.','4.0 out of 5 stars','Good product...easy to handle & do its job perfectly'
'B00BSWG80K','Very sturdy and value for money','5.0 out of 5 stars','Very good metal body easy to use value than money ..purchase this product without worry fully satisfied'
'B00BSWG80K','Value for Money','4.0 out of 5 stars','The device is not very sturdy hence not easy to use. But it served my purpose.'
'B00BSWG80K','Just buy it','5.0 out of 5 stars','Totally worth the money. It is sturdy and easy to use'
'B00BSWG80K','Original and gets the job done','5.0 out of 5 stars','Genuine product. And does the job perfectly'
