item,title,rating,body
'B00ECWG1NC','Simple and decent','5.0 out of 5 stars','Simple design good for price'
'B00ECWG1NC','Strip length','1.0 out of 5 stars','Strips are too short'
'B00ECWG1NC','Good product','5.0 out of 5 stars','Best in class'
'B00ECWG1NC','Good product 😀','5.0 out of 5 stars','This is My first watch ⌚ fantastic 😍 product'
'B00ECWG1NC','Quality is good','4.0 out of 5 stars','Fit Budget watch'
'B00ECWG1NC','Watch lover','5.0 out of 5 stars',It's best rough and tough watch on convient price.
'B00ECWG1NC','Looks classy 👌','5.0 out of 5 stars','The media could not be loaded. Recommended for daily use. 👌 best watch in this price range. Happy 😊'
'B00ECWG1NC','am chepatham uncle its cool','5.0 out of 5 stars','nice abba'
'B00ECWG1NC','Very good product','5.0 out of 5 stars','I like it very much it is very good watch in this price'
'B00ECWG1NC','Simple model','4.0 out of 5 stars','Very good quality 👌'
'B00ECWG1NC','Not a good option','1.0 out of 5 stars','Watch is not comfortable to wear and marking of numbers is easily removed. I suggest buy some another model watch.'
'B00ECWG1NC','Good product but size is small is kids','4.0 out of 5 stars','Expect the product size is not but product is nice'
'B00ECWG1NC','Light full','5.0 out of 5 stars','The media could not be loaded.'
'B00ECWG1NC','Not that good','3.0 out of 5 stars','Numbers written disappeared after 10 days'
'B00ECWG1NC','Worst delivary boy','5.0 out of 5 stars','Worth for money'
'B00ECWG1NC','Good','4.0 out of 5 stars','Paisa vasul product'
'B00ECWG1NC','Nice Watch.....','5.0 out of 5 stars','It is verry lightweight and very useful for rough & tough use .......'
'B00ECWG1NC','Worth of money , Sonata sf watch good looking','5.0 out of 5 stars''The media could not be loaded. Good looking nice worth of money Sonata sf watch'
'B00ECWG1NC','A good and durable watch to buy for daily use.','5.0 out of 5 stars',"'I would say it is a fantastic long lasting watch. With good prize range and newly manufactured. Also once you buy it please have a product authentication from the warranty card. Preferred age (10- 45 ) best for reunited persons. ""WAIT NO MORE ""'"
'B00ECWG1NC','Worth','5.0 out of 5 stars','This is iam buying sonata for the first time good product'
'B00ECWG1NC','Good','4.0 out of 5 stars','Good'
'B00ECWG1NC',It's very awesome product,'5.0 out of 5 stars',No dislike in this product for this product I was not having much experts as it's price is very low 1❤️
'B00ECWG1NC','Stylish Look 👍 Recommended for Teenagers','5.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r3551qywc0v5bh_1697133205944""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-8697224-1519852""refMarkers:""vse_reviews_desktop_R3551QYWC0V5BH_1697133205944_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""JAN07S0DFVKVD5JDGMPP""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3551QYWC0V5BH""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3551QYWC0V5BH_1697133205944_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/996306ff-ce97-4def-8fca-10b13c84d21d.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/a8172b52-a6e6-4a95-a92c-6412b75a7084/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R3551QYWC0V5BH""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r3551qywc0v5bh_1697133205944-player-c94e9fd8-aa1e-4ec5-9e6e-25af14d6c124""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""JAN07S0DFVKVD5JDGMPP""pageAsin:""""sessionId:""259-8697224-1519852""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-8697224-1519852""refMarkers:""vse_reviews_desktop_R3551QYWC0V5BH_1697133205944_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""JAN07S0DFVKVD5JDGMPP""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3551QYWC0V5BH""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3551QYWC0V5BH_1697133205944_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61MEr6e22ZL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. The Watch got a nice design and the stap material is flexible not much rigid. Aesthetically it\'s awesome 💯 with sporty look. You may for go for it if you are concerned about looks and okay 👍 for people with thin wrist who don\'t want to wear thick heavy watches. It\'s cool and lightweight as if you don\'t have anything on your wrist.'"
'B00ECWG1NC','good','4.0 out of 5 stars','good'
'B00ECWG1NC','Okish','3.0 out of 5 stars',"Small breadth, doesn't suit for men."
'B00ECWG1NC','You are always believe,TATA products','5.0 out of 5 stars''This is good productTATA products'
'B00ECWG1NC','look','1.0 out of 5 stars','verry small in size verry small it basicaly for kids not for men'
'B00ECWG1NC','Quality of this product to bad','2.0 out of 5 stars','Very worst product'
'B00ECWG1NC','Superb','5.0 out of 5 stars','Better'
'B00ECWG1NC',Sonata's brand watch😊,'5.0 out of 5 stars','The media could not be loaded. Best watch to Wear in regular days ❤️😊 satisfied with this product 👍🏻🥰'
'B00ECWG1NC','I think watch cost below 500 ok but more than not worth weast off cost','1.0 out of 5 stars','With in one week colour shade'
'B00ECWG1NC','Good product','5.0 out of 5 stars','Good quality and this watch is very comfortable i am happy 👍👍❣️❣️'
'B00ECWG1NC','Quality','3.0 out of 5 stars','Not too much quality'
