item,title,rating,body
'B00FMUGRTG','Good 👍','5.0 out of 5 stars','Good 👍'
'B00FMUGRTG','I like it','5.0 out of 5 stars','No doubts it is good 👌'
'B00FMUGRTG','Package open.','1.0 out of 5 stars','Package open and seal is also open.'
'B00FMUGRTG','Useful items.','5.0 out of 5 stars','These items Very useful and sutable for me. I prefer these items purchased again and again. We suggest my friend purchased these items.'
'B00FMUGRTG','Very nice प्रोडक्ट','4.0 out of 5 stars','अच्छा है पैसा वसूल'
'B00FMUGRTG','Good','5.0 out of 5 stars','Very good'
'B00FMUGRTG','Damage and Stick Gum','1.0 out of 5 stars','The media could not be loaded. Top Damaged... And tape stick gum on the perfume..'
'B00FMUGRTG','इस बॉडी स्प्रे का खुशबू मुझे बहुत अच्छा लगता है','5.0 out of 5 stars','इस स्प्रे से मुझे बहुत अच्छा महसूल होता है'
'B00FMUGRTG','Fake','1.0 out of 5 stars','Fake'
'B00FMUGRTG','Good','5.0 out of 5 stars','Good'
'B00FMUGRTG','Good','5.0 out of 5 stars','Good'
'B00FMUGRTG','Nice fragrance','5.0 out of 5 stars','Nice fragrance and product is sealed when delivered'
'B00FMUGRTG','Superb 🤟❤️','5.0 out of 5 stars','Superb 🤟❤️❤️❤️'
'B00FMUGRTG','No smell only gas','1.0 out of 5 stars','Fake product delivered'
'B00FMUGRTG','Good smell','4.0 out of 5 stars',It's fragrance is very nice and average lasting .
'B00FMUGRTG','Value for money','4.0 out of 5 stars','Good Product'
'B00FMUGRTG','Super product','5.0 out of 5 stars','This valueble and fragrance is super'
'B00FMUGRTG','I like it','3.0 out of 5 stars','Smells amazing'
'B00FMUGRTG','Good product','5.0 out of 5 stars','Good product'
'B00FMUGRTG','Good product','4.0 out of 5 stars','Good buy'
'B00FMUGRTG',Don't waste your money,'1.0 out of 5 stars','I received a used deodrant. product was not sealed pack and the cap of deodrant was missing in the packet.'
'B00FMUGRTG','Not good','2.0 out of 5 stars','It looks like used no sheld pack..'
'B00FMUGRTG','Good spray','5.0 out of 5 stars','Price is very low than market good deo'
'B00FMUGRTG','Avoid it, bad smell','1.0 out of 5 stars''Worst smell'
'B00FMUGRTG','Damaged product','1.0 out of 5 stars','The product received without cap'
'B00FMUGRTG','Content','2.0 out of 5 stars','This has more gas than liquid. Not long lasting fragrance as well. Instead the same KS Spark available in transparent bottle is way better than this one.'
'B00FMUGRTG','Looks like duplicate or cheap copy','1.0 out of 5 stars','Outer box is completely scratched. 1 bootles cap was missing'
'B00FMUGRTG','👍','5.0 out of 5 stars','Nic'
'B00FMUGRTG','Good','5.0 out of 5 stars','👍'
'B00FMUGRTG','Smell is gud','3.0 out of 5 stars','Gud'
'B00FMUGRTG','Nice','5.0 out of 5 stars','Nice fregnance'
