item,title,rating,body
'B00INQMR4U','Not useful','1.0 out of 5 stars','Not at all good for cleaning'
'B00INQMR4U',Doesn't dry floor completely..Leaves watermark behind... Not worth,'2.0 out of 5 stars','Its heavy and takes efforts to clean...further it does not completely dry floor leaving watermark which looks shabby'
'B00INQMR4U','Didn’t live up to the expectations','1.0 out of 5 stars','The pad got displaced from the attachment and was impossible to put it back on. Wont recommend.'
'B00INQMR4U','Quality','5.0 out of 5 stars','मजा आ गया'
'B00INQMR4U','Worst Product','1.0 out of 5 stars','Please do not these type of Products no use. Lost of Money'
'B00INQMR4U','On absorbing','1.0 out of 5 stars','Thr quality of the mop is good but the absorbing power of water in the mop is lesser then all other mops i have used. Absorption is very important in these type of mops. So sort of not happy with the purchase.'
'B00INQMR4U','Good product','5.0 out of 5 stars','Easy to use vfm'
'B00INQMR4U','Good product 👍','5.0 out of 5 stars','Very good product 👍👍'
'B00INQMR4U','Sturdy n smooth for purpose','5.0 out of 5 stars','Swabbing wet floor'
'B00INQMR4U','Nice','5.0 out of 5 stars','Worth of money'
'B00INQMR4U','Nice product value for money','5.0 out of 5 stars','Value for money'
'B00INQMR4U',It's a waste of money,'1.0 out of 5 stars','Useless product. I want a refund.'
'B00INQMR4U','Must Buy if you have Pets','5.0 out of 5 stars','Absorbency is Good Product is as per expectation from Gala'
'B00INQMR4U','Very good','4.0 out of 5 stars','Quality very good'
'B00INQMR4U','EXCELLENT PRODUCT','5.0 out of 5 stars','EXCELLENT PRODUCT'
'B00INQMR4U','Nice product','5.0 out of 5 stars','Nice product it is very easy to mob the floor. Thank you Gala'
'B00INQMR4U','NICE','4.0 out of 5 stars','GOOD'
'B00INQMR4U','Very very worst quality','1.0 out of 5 stars','Very very worst quality product I ever seen in my life.'
'B00INQMR4U','Poor quality','2.0 out of 5 stars','Poor quality foam. Damaged after10 days use.'
'B00INQMR4U','Good product','4.0 out of 5 stars','Good product'
'B00INQMR4U','Durable at least 1 year','4.0 out of 5 stars','Good product'
'B00INQMR4U','Worthy','4.0 out of 5 stars','Go for this product. Good quality'
'B00INQMR4U','Not fit for house clean','2.0 out of 5 stars',This quality and build is good... but its not for house clean... Since the corners are flat you can't use for house usage. Its good for hotels and party hall.
'B00INQMR4U','Gala sponge mop','4.0 out of 5 stars','I dislike the handle for it makes the mop very heavy to use. The one I had earlier and is now worn out for which purpose I had to get this new one has an aluminium handle which is light. The old squeezer is tough plastic whereas the new one is metal all the more making the mop heavier. Gala company should be informed about the difference and preference.'
'B00INQMR4U','Gala spong mop','5.0 out of 5 stars',"I must say it's fabulous product,we dohave a labrador zoe and as u all dogs do shed a lot of hair which we were always unable to clean up with a regular house mop this one has worked wonders it's so handy,easy,and spotless cleaning I would really recommend this product"
'B00INQMR4U','Must buy','5.0 out of 5 stars','Good one'
'B00INQMR4U','Easy use','4.0 out of 5 stars','Cannot say anything of dislike. Usable item.'
'B00INQMR4U','Good product','5.0 out of 5 stars','I like it'
'B00INQMR4U','.','1.0 out of 5 stars','Not useful'
'B00INQMR4U','Good product','5.0 out of 5 stars','A very handy mop for bathroom wet area. Absorbs quickly is easy to squeeze and reuse. Very happy with the purchase.'
'B00INQMR4U','Little weight','4.0 out of 5 stars','Nice one but rubber they given is little weight.we have put our energy.'
'B00INQMR4U','Beter','5.0 out of 5 stars','Good'
'B00INQMR4U','Wastage of money...','1.0 out of 5 stars',"Jaisa ki videos mein dikhate batate hain Vaisa ye product bilkul Nahin Hai so, please don't buy it...."
'B00INQMR4U','Very bed product','1.0 out of 5 stars','Very bed products'
'B00INQMR4U','Not good','1.0 out of 5 stars','If the results of Gala Mob are not good such results can be obtained from low priced mobs as well so why should we go for so many Gala Mobs? Pls refund my amount .'
'B00INQMR4U','This product broke within 3 months.','1.0 out of 5 stars','This product broke within 3 months. How do I claim a warranty?'
'B00INQMR4U','Wipper','5.0 out of 5 stars','Very good product. Very easy to use. No need to use your hands. Again n again. Must buy product.'
'B00INQMR4U','Durable','4.0 out of 5 stars','I bought four of them three and a half years ago. Should handle with care as the mechanism is a bit fragile. One has now broken as the sponge has torn. The other three are yet in perfect condition. But I repeat that the mechanism should be handled with care.'
'B00INQMR4U','पैसे की बर्बादी है','1.0 out of 5 stars','सफाई करने वाला भाग थोडा और बड़ा लगभग 6 इंच होता तो बेहतर था ||'
'B00INQMR4U','Super practical','5.0 out of 5 stars','Best moo Super absorbant Well thought product'
'B00INQMR4U','Quality of product','5.0 out of 5 stars','Overpriced Quality very good'
'B00INQMR4U','Bought in Jan 2023, Broke in June 2023',"'3.0 out of 5 stars'It is a great mop and easy to clean. The two joints to the squeezer handle isn't connected firmly, so after regular use of 5-6 months the base and the joints came out. Unable to use the mop now. Searching for something similar but sturdier. Manufacturers should see if those metal joints can be welded firmly so it serves longer, then it would be the best no-touch mop in the platform"
'B00INQMR4U','Good product','4.0 out of 5 stars','Good'
'B00INQMR4U','Superb product for Solar panel cleaning','5.0 out of 5 stars','Lock system is unique'
'B00INQMR4U','Good','5.0 out of 5 stars','Good'
'B00INQMR4U','Awesome product','5.0 out of 5 stars','Very helpful'
'B00INQMR4U','Thanks Amazon','4.0 out of 5 stars','Super quality. '
'B00INQMR4U','Gala pva mop, Awful','2.0 out of 5 stars'Product is poor and not upto the mark. Floor doesn't get fully cleaned.
'B00INQMR4U',This is the best I've ever had,'5.0 out of 5 stars',there's nothing not to like about it
'B00INQMR4U','Good','5.0 out of 5 stars','Good for the purpose'
