item,title,rating,body
'B00JJH9ZR4','Not Leak Proof','3.0 out of 5 stars','The box is good for its price but it is not leak proof. If you are looking for a leak proof box don’t go for it.'
'B00JJH9ZR4','Cheaper price than store','5.0 out of 5 stars',Good lunch for children's. It has 2 little box along with a main box. Good quality product.
'B00JJH9ZR4','No comparison with signoraware','5.0 out of 5 stars','Good quality attractive colour durable.'
'B00JJH9ZR4','Good for keeping 2 veg sandwiches','5.0 out of 5 stars',"It's slim , can keep 2 sandwiches and fit well in laptop bag"
'B00JJH9ZR4','Worth every penny…','5.0 out of 5 stars','Amazing quality at this rate is just awesome…holds food more than expected!'
'B00JJH9ZR4','Good fit','5.0 out of 5 stars','Good fit'
'B00JJH9ZR4','The box is not leak proof','2.0 out of 5 stars','I had to return this product because it leaked.'
'B00JJH9ZR4','Good Product','5.0 out of 5 stars','Worth it. 3 piece box.We have bought 2nd time also'
'B00JJH9ZR4','Good','4.0 out of 5 stars','Inner box is too small but quality is super good'
'B00JJH9ZR4','Satisfied','4.0 out of 5 stars','Nice product… good for dry lunch.'
'B00JJH9ZR4','GOOD','5.0 out of 5 stars','Nice Product for a kid as well as for who want dry snacks ..'
'B00JJH9ZR4','i purchase it for my neice','5.0 out of 5 stars','she is using the same daily. likeedit'
'B00JJH9ZR4','Nice','5.0 out of 5 stars','Good product'
'B00JJH9ZR4','Quality pproduct','5.0 out of 5 stars','There is no leakage so far.'
'B00JJH9ZR4','Leak proof','5.0 out of 5 stars','Great quality with service.'
'B00JJH9ZR4','Good','4.0 out of 5 stars',It's good
'B00JJH9ZR4','Wow','5.0 out of 5 stars','Nice'
'B00JJH9ZR4','V good','4.0 out of 5 stars','A good box for lunch for the kids.'
'B00JJH9ZR4','Good Quality','5.0 out of 5 stars','Good Quality product'
'B00JJH9ZR4','Its too good','5.0 out of 5 stars','I like the tifin. quality good'
'B00JJH9ZR4','Very good lunch box','5.0 out of 5 stars','Lunch box'
'B00JJH9ZR4','Its small containers start leaking after microwave','2.0 out of 5 stars','Its small containers start leaking after microwave'
'B00JJH9ZR4','Good','4.0 out of 5 stars','Takes some effort for closing the lid'
'B00JJH9ZR4','Good','4.0 out of 5 stars','Good product 👍👍'
'B00JJH9ZR4','Excellent...','5.0 out of 5 stars','Excellent product...but the size is little big...totally its very satisfying for me....😍'
'B00JJH9ZR4','Good product','4.0 out of 5 stars','The product is good .It is leak proof . Only one problem .The curry stain is difficult to remove from tiffin .'
'B00JJH9ZR4','Tiffin box for all','5.0 out of 5 stars','Material is of very good quality with rich finish'
'B00JJH9ZR4','Good','5.0 out of 5 stars','Good'
'B00JJH9ZR4','Good','5.0 out of 5 stars','Good quality'
'B00JJH9ZR4','Good product','5.0 out of 5 stars','Very good product.'
'B00JJH9ZR4','good','4.0 out of 5 stars','GOOD SO FAR'
'B00JJH9ZR4','Sturdy and leak proof','5.0 out of 5 stars','Very nice lunch box. Good for wet and dry food. Worth the price. The plastic is food grade material though not recommend for microwave warming. The two small containers fit well in the box.'
'B00JJH9ZR4','Good but','1.0 out of 5 stars','Good product but small 2 boxes are very small in comparison to big one. I was best if instead of 2 very small boxes of size100 ml there would be a small box of size 200 ml.'
'B00JJH9ZR4','Excellent','5.0 out of 5 stars','Quality'
'B00JJH9ZR4','Good nice product','5.0 out of 5 stars',S it's leak proof
'B00JJH9ZR4','Its really amazing product.','5.0 out of 5 stars','This product is equal to tupper ware boxes'
'B00JJH9ZR4','Value for money','5.0 out of 5 stars','Great product with good quality'
'B00JJH9ZR4','Very good','5.0 out of 5 stars','Very good space in tifin quality also very good go for it...........'
'B00JJH9ZR4','Worst quality.Not a Signoware standard.','1.0 out of 5 stars','Quality is the worst.'
'B00JJH9ZR4','Nice very useful. Quality also very nice','5.0 out of 5 stars','Nice very useful. Quality also very nice. I like it'
'B00JJH9ZR4','Good tiffin box to carry snacks','4.0 out of 5 stars','This tiffin box is very useful for carrying dry snacks sandwiches. The shape is perfect and it is compact easily fits in your small backpack or purse.'
'B00JJH9ZR4','Nice tiffin in 179','5.0 out of 5 stars','Nice lunch box .. I got in 179 and lock is also good'
'B00JJH9ZR4','Sturdy built,flexible and leak proof','4.0 out of 5 stars'''
'B00JJH9ZR4','best best','5.0 out of 5 stars','best'
'B00JJH9ZR4','good','5.0 out of 5 stars','good'
'B00JJH9ZR4','Size','4.0 out of 5 stars','Overall good product except size a bit small. You can expect 3-4 idly to fit in and the boxes can be used for chatney and all.'
'B00JJH9ZR4','average','4.0 out of 5 stars','average'
'B00JJH9ZR4',It's good to use for a college student and for school students.All in one lunch box.,'5.0 out of 5 stars','The media could not be loaded. I liked it.I will use it to carry lunch to college'
'B00JJH9ZR4','Value for Money','5.0 out of 5 stars','Good purchase.'
'B00JJH9ZR4',It's a very durable tiffin box. Look stylish,'5.0 out of 5 stars',''
