item,title,rating,body
'B00KYK2ABI','Good','5.0 out of 5 stars','Good'
'B00KYK2ABI','Transfer speed','2.0 out of 5 stars','Transfer is very low'
'B00KYK2ABI','Compatible to windows10','4.0 out of 5 stars','I use the product to store history photographs certificates etc.I am happy with its working'
'B00KYK2ABI','Very good quality, very fast transfer.','5.0 out of 5 stars''Good quality fast transfer compatible with any computer.'
'B00KYK2ABI','Good','5.0 out of 5 stars','Good Desu'
'B00KYK2ABI','Transfer Speed','1.0 out of 5 stars',"It is transferring files with not atleast100KB/s. But, they mentioned 100MB/s. Worst thing. It is taking transfer 300 MB file for 45 Min. It's too worst.😡"
'B00KYK2ABI','Good item','5.0 out of 5 stars','Good item in this value'
'B00KYK2ABI','Speed','2.0 out of 5 stars','Speed is very less. Speed is decreasing'
'B00KYK2ABI','Store your memories','5.0 out of 5 stars','An extremely useful product to store all your important data and carry it along everyday. Instead of carrying multiple less storage pendrives use this one and you can fit all your data into it. It is faster and compatible with all devices and it looks very elegant.'
'B00KYK2ABI','Worst product','1.0 out of 5 stars','It stopped working within 8 days . Its not showing in any computer device or mobile device. #bycot sandisk'
'B00KYK2ABI','Heating issues','3.0 out of 5 stars',"Working fine but i don't like heating issues,  Gets hot even with light work"
'B00KYK2ABI','Appearance is very good','5.0 out of 5 stars','Good pendrive this is my second purchase. Both pendrive work good as i expacted.'
'B00KYK2ABI','Good','3.0 out of 5 stars','Buy it'
'B00KYK2ABI','buy it','5.0 out of 5 stars','it is a good USB. me and my friend also using this usb.'
'B00KYK2ABI','Just go for it','5.0 out of 5 stars','Hot deal'
'B00KYK2ABI','Good','5.0 out of 5 stars','Good'
'B00KYK2ABI','Pendrive','5.0 out of 5 stars','Superb and useful'
'B00KYK2ABI','Nice pro','4.0 out of 5 stars','Nice'
'B00KYK2ABI','Working nicely','5.0 out of 5 stars',''
'B00KYK2ABI','Very good','5.0 out of 5 stars','Received product in good condition working as expected.'
'B00KYK2ABI','Best product','5.0 out of 5 stars','Best'
'B00KYK2ABI','Look','5.0 out of 5 stars','Good product'
'B00KYK2ABI','Best earphones','5.0 out of 5 stars','At good price boat earphones are available'
'B00KYK2ABI','ok','5.0 out of 5 stars','ok'
'B00KYK2ABI','😁😁😁😁','5.0 out of 5 stars','😁😁😁😁 b'
'B00KYK2ABI','must buy ..','4.0 out of 5 stars','nice pendrive .. quality is good and packing is also awesome and at affordable price  overall must buy ..'
'B00KYK2ABI','GOOD PRODUCT','5.0 out of 5 stars','GOOD PRODUCT'
'B00KYK2ABI','Worth it','5.0 out of 5 stars','This is really a good product that you can buy But only a problem that it heat up while connected to a laptop though it is not a big problem You can go for it'
'B00KYK2ABI','Ok','3.0 out of 5 stars','Good'
'B00KYK2ABI','Great Porduct','4.0 out of 5 stars','Good speed with overall qulity.😇'
'B00KYK2ABI','No speed copys','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r3o0ldf2vdwmj6_1697120529481""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-4090044-6166749""refMarkers:""vse_reviews_desktop_R3O0LDF2VDWMJ6_1697120529481_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""4RM3PRBB3GSD85RKP9MB""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3O0LDF2VDWMJ6""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3O0LDF2VDWMJ6_1697120529481_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/af30e78b-e995-4ce2-ad85-b0e1ea84dda2.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/1fee61bc-a602-4e50-9ac9-8f52829b3f4e/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R3O0LDF2VDWMJ6""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r3o0ldf2vdwmj6_1697120529481-player-7edda121-9b0a-4aff-8db2-59acfe30273f""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""4RM3PRBB3GSD85RKP9MB""pageAsin:""""sessionId:""260-4090044-6166749""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-4090044-6166749""refMarkers:""vse_reviews_desktop_R3O0LDF2VDWMJ6_1697120529481_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""4RM3PRBB3GSD85RKP9MB""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3O0LDF2VDWMJ6""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3O0LDF2VDWMJ6_1697120529481_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51QOvZg-KuL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Speed Very slow'"
'B00KYK2ABI','Best in price range','5.0 out of 5 stars','Best in price range'
'B00KYK2ABI','Good 👍','5.0 out of 5 stars','Good'
'B00KYK2ABI','Size','4.0 out of 5 stars','I used this product and it is too good product fast tranfering files. Its compact size is attractive to carry anywhere.'
'B00KYK2ABI','Working Well','4.0 out of 5 stars','Performing Well !'
'B00KYK2ABI','Pen drive','5.0 out of 5 stars','Good product'
'B00KYK2ABI','Very Good Quality Pen Drive for the price','5.0 out of 5 stars',"*Important* - Not sure why they sell it as 3.0 maybe not to eat into their 3.2 drives sales. but this is USB 3.2 Gen 1. While connecting to my pc it shows as 3.2.  The Speed is good, The write speed is 46 Mbps and above. while transferring small size files it will surely come down, I transferred 1.5 - 2 GB Movies. For that its very good. Read speed I'm sure its around 100 Mbps.  Not much of heating issue. I am using with my LG TV, works perfectly."
'B00KYK2ABI','Nice','5.0 out of 5 stars','Nice'
'B00KYK2ABI','Good','4.0 out of 5 stars','Good quality'
'B00KYK2ABI','Nice','5.0 out of 5 stars','Nice'
'B00KYK2ABI','Very Good','5.0 out of 5 stars','Very Good'
'B00KYK2ABI','best','4.0 out of 5 stars','good pen drive'
'B00KYK2ABI','Good','5.0 out of 5 stars','Good'
'B00KYK2ABI','Nice','5.0 out of 5 stars','Fast copying files...'
'B00KYK2ABI','Excellent','5.0 out of 5 stars','Good product .good appearance. Easy in detection to connecting device working properly.'
'B00KYK2ABI','Product damage','1.0 out of 5 stars',Product delivered dublicate it's damaged
'B00KYK2ABI','Worst','1.0 out of 5 stars','Worst'
'B00KYK2ABI','Sandisck','3.0 out of 5 stars','Good'
'B00KYK2ABI','Nice one','5.0 out of 5 stars','Very affordable price and amazing product'
'B00KYK2ABI','Good','4.0 out of 5 stars','Look good in hand from built quality Data transfer is good but not fast as mentioned open close system is useful for protection'
