item,title,rating,body
'B00LM4W1N2','Light ink , like fake product','1.0 out of 5 stars''Ink ✍️ very light As like wrong product or local product'
'B00LM4W1N2','Refill ink flow not smooth','3.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rj9vs21vot5t2_1697126789764""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-9770861-1698314""refMarkers:""vse_reviews_desktop_RJ9VS21VOT5T2_1697126789764_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""M3TWNQA0Y3M3M9CGN9GG""customerId:""0""sessionType:1}mimeType:""video/mp4""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RJ9VS21VOT5T2""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RJ9VS21VOT5T2_1697126789764_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/I/A17evN4X9OL.mp4""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RJ9VS21VOT5T2""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rj9vs21vot5t2_1697126789764-player-b82ec08d-bc15-4648-82b0-e100e239b35e""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""M3TWNQA0Y3M3M9CGN9GG""pageAsin:""""sessionId:""259-9770861-1698314""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-9770861-1698314""refMarkers:""vse_reviews_desktop_RJ9VS21VOT5T2_1697126789764_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""M3TWNQA0Y3M3M9CGN9GG""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RJ9VS21VOT5T2""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RJ9VS21VOT5T2_1697126789764_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/91J6y1DB0pL._SY256.png""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa0-:- Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. The media could not be loaded either because the server or network failed or because the format is not supported. Very bad experience. Ink flow is not at all smooth. I want to get it changed'"
'B00LM4W1N2','My dad Loved it','5.0 out of 5 stars','Got this as a gift for my dad and he carries it around daily when going out or to office. The ink is smooth!'
'B00LM4W1N2','Good','4.0 out of 5 stars','Good'
'B00LM4W1N2','Ok','3.0 out of 5 stars','Ok'
'B00LM4W1N2','About writing','1.0 out of 5 stars','It’s not writing what was open new in cover'
'B00LM4W1N2','A nice gifting option - Parker ballpoint pen -for executives','5.0 out of 5 stars','Ergonomic grip. Smooth writing. Worth buying.'
'B00LM4W1N2','Nice','5.0 out of 5 stars','Excellent product.'
'B00LM4W1N2','Good quality.','5.0 out of 5 stars','Nice Pen'
'B00LM4W1N2','Good product, but price higher','5.0 out of 5 stars''Price is pretty higher otherwise five star.'
'B00LM4W1N2','Good purchase','4.0 out of 5 stars',It's so nice and beautiful
'B00LM4W1N2','Gift','5.0 out of 5 stars','Gifted this product'
'B00LM4W1N2','Average than I expected','4.0 out of 5 stars',"I always have a love for parker pens. Recently when my parker fountain pen broke, I bought the same along with this one and since I'm a little addicted to fountain pens, this ball pen was not as proper as that. And speaking about this item only, It is very thin. If you are a thin pen lover, it will be good for you. Since I'm habituated to thick fountain pens, this pen seemed not my cup of tea."
'B00LM4W1N2','premium look','5.0 out of 5 stars','Premium + affordable Best for gifting someone'
'B00LM4W1N2','Good product','5.0 out of 5 stars','Good product'
'B00LM4W1N2','ok','1.0 out of 5 stars','ok'
'B00LM4W1N2','Very nice product','4.0 out of 5 stars','It is nice but little light in weight. Nice for doing signatures.'
'B00LM4W1N2','Very classic gold plated Parker pen','5.0 out of 5 stars','Sleek and light weight with the Parker elegance and writing magic.'
'B00LM4W1N2','Good','5.0 out of 5 stars','Good'
'B00LM4W1N2','Nice pen','5.0 out of 5 stars','Nice pen'
'B00LM4W1N2','Same as expectance','5.0 out of 5 stars','Same as expectance'
'B00LM4W1N2','Not satisfied with the quality','2.0 out of 5 stars',After spending this much we didn't expected this quality infant we can get good quality/ choices if we go offline
'B00LM4W1N2','Simply phenomenal','5.0 out of 5 stars','I am satisfied with this product in every was possible as not only does it look stunning but it also writes phenomenally well'
'B00LM4W1N2','Want replacement','1.0 out of 5 stars','Started leaking'
'B00LM4W1N2','Gift 🎁 very bad condition I want to refund for gift packing','5.0 out of 5 stars','The gift box is not at all the way I saw it there was no box it was given with a paper I want to refund gift amount'
'B00LM4W1N2','Stopped writing','1.0 out of 5 stars','I got two of these and both have stopped writing within few days. I haven’t extensively used these and didn’t expect a relatively expensive pen like these to dry up so soon! Very disappointing!'
'B00LM4W1N2','Defective piece','1.0 out of 5 stars','The pen had manufacturing defect and its to costly.'
'B00LM4W1N2','Bad product','1.0 out of 5 stars',Worst product I've ever purchased in Amazon! Such a disappointment! I don't think it's original Parker pen! Not working also not writing
'B00LM4W1N2','Most Stylish Pen','5.0 out of 5 stars','This pen is a beauty. Look wise I rate it 10/10. It has a splendid look looks very stylish. People will surely notice your pen. Writing is aslo very smooth and consistent. Grip is also comfortable. This is a must buy product for people working in corporate offices. Love this product 😍😍'
'B00LM4W1N2','Superb','5.0 out of 5 stars','Wounderful product😊 value for money. This product is very very useful.I Love this product. Quality wise superb. This is my recommendation.'
'B00LM4W1N2','Refills are leakage problem','1.0 out of 5 stars','I love very much this pen since 30 years but few years from the pens having leakage problem Iam very much disappointed'
'B00LM4W1N2','Smooth Writting','4.0 out of 5 stars',''
'B00LM4W1N2','Excellent','5.0 out of 5 stars','Parker is the Parker. No match of it...'
'B00LM4W1N2','Very good','5.0 out of 5 stars','Excellent'
'B00LM4W1N2','Great','5.0 out of 5 stars','Nice & beautiful product. Good quality pen.'
'B00LM4W1N2','Parker fine products','5.0 out of 5 stars','Packing is also good'
'B00LM4W1N2','Best','5.0 out of 5 stars','Best'
'B00LM4W1N2','Waste of money. Trust me, just buy a 10 rs pen instead.','1.0 out of 5 stars''Waste of money. Trust me just buy a 10 rs pen instead.'
'B00LM4W1N2','Good','4.0 out of 5 stars','Good'
'B00LM4W1N2','good packing','5.0 out of 5 stars','good quality'
'B00LM4W1N2','Bad','2.0 out of 5 stars','Poor quality'
'B00LM4W1N2','Worst product','1.0 out of 5 stars','Falut'
'B00LM4W1N2','🌟','5.0 out of 5 stars','🌟'
'B00LM4W1N2','Super cute and I love it❤','5.0 out of 5 stars','The media could not be loaded.'
'B00LM4W1N2','Attractive.','4.0 out of 5 stars','Smoothness'
'B00LM4W1N2','Fin','5.0 out of 5 stars','Fin'
'B00LM4W1N2','Nice','4.0 out of 5 stars','Like it'
'B00LM4W1N2','Looks And Design','5.0 out of 5 stars','Looks Good And Perform Well. Thanks To Amazon'
'B00LM4W1N2',I'm impressed,'5.0 out of 5 stars','Very extreme quality.. I am impressed❤'
'B00LM4W1N2','good','5.0 out of 5 stars','colour'
