item,title,rating,body
'B00P93X6EK','Heavy','1.0 out of 5 stars',When I was ordering it was showing returnable but now it shows as nonrefundable as it's too heavy I want to return it.
'B00P93X6EK','Superb🤩','5.0 out of 5 stars','Good in quality'
'B00P93X6EK','Got unruled pages','1.0 out of 5 stars','Ordered thinking the book had ruled pages. Received book with unruled pages. Call Center says everything was mentioned in the description and the product cannot be returned. They will not refund and they will not replace. Now I have a product which I paid for and cannot use. Thanks.'
'B00P93X6EK','Little costly, but high quality','5.0 out of 5 stars''Classmate is of course a high quality stationary brand and their notebooks are one of the best.  This product especially has metal wire used for binding so it gives a premium feel to the notebook and the price is also decent.'
'B00P93X6EK','Quality','1.0 out of 5 stars',The quality of the paper is very poor. I didn't expect from classmate
'B00P93X6EK','Bad quality product','2.0 out of 5 stars','The notebook looked quite oldas the steel of the spiral was rusted. The price sticker at the back also was faded. I expected better from Amazon.'
'B00P93X6EK','nothing special','1.0 out of 5 stars',"the paper quality isn't that good, it was missing few spirals so the notebook became like really tight and i had to just yk buy a new one... classmate & amazon should be ashamed like atleast pack it properly so that it wouldn't get damaged wdym ur sending it in a plastic packaging? y'all take the money & the time to get it ready yet you can't do ur job properly? cheapskates..."
'B00P93X6EK','Must buy','5.0 out of 5 stars','Quality is damn good..i have bought it when it was on sale.normal market price of this piece is 150-170rs.but i got it only on 100 rs...same quality same pages.. worthy'
'B00P93X6EK','Quality of pages','4.0 out of 5 stars',"I really love this product. Binding is awesome, Durable, smooth. But the only thing with which I'm not satisfy is that the quality of pages are degraded, pages are thin. If your writing is hard, then it may be visible to another side of page also. So , now it's your choice whether you should go with this product or not."
'B00P93X6EK','Good notebook','4.0 out of 5 stars','The media could not be loaded. Plain A4 size sheets to write Looks good Metal wire binding Page is light weight and the ink impression is little bit visible on other side of page.'
'B00P93X6EK','Nice','4.0 out of 5 stars','Nope'
'B00P93X6EK','Spiral string got rusted in less than 15 days','2.0 out of 5 stars','Along with metal the pages are also being affected by rust I didn’t expected classmate to use this kinda cheap material Dont buy it'
'B00P93X6EK','Osam.','5.0 out of 5 stars','This notebooks are very smooth as well as value for money ✨🥰'
'B00P93X6EK','Excellent','5.0 out of 5 stars','Good'
'B00P93X6EK',It's very good 👍,'5.0 out of 5 stars','Usefull worth money'
'B00P93X6EK','Good quality worth it','4.0 out of 5 stars','Quality was very good love to use it but design should more better than this'
'B00P93X6EK','Best notebooks','5.0 out of 5 stars','The media could not be loaded.'
'B00P93X6EK','Good product','5.0 out of 5 stars','Like the bindingmaterial and'
'B00P93X6EK','Sturdy, 6 subject notebook','4.0 out of 5 stars''The media could not be loaded. The major point of these notebooks is the binding. It is locked on both side which allows smooth opening of notebook without fear of pages ripping apart.'
'B00P93X6EK','Good','5.0 out of 5 stars','Good'
'B00P93X6EK','Good one','5.0 out of 5 stars','Worth the money'
'B00P93X6EK','Best Notebook','5.0 out of 5 stars','Bahut badiya Notebook he... Ankh band karke order kar do😎💜'
'B00P93X6EK','Good quality producy','5.0 out of 5 stars','Paper is of good quality. Have been using it for months now . Will totally recommend.'
'B00P93X6EK','Super....','5.0 out of 5 stars','The paper quality was very good'
'B00P93X6EK','❤️','5.0 out of 5 stars','Nice page quality.... 🥰🥰 must try to buy this... Spiral quality is very good.. Its of metal and the cover is of plastic.... Nice actually...'
'B00P93X6EK','Good quality','5.0 out of 5 stars','Liked it'
'B00P93X6EK','Good','4.0 out of 5 stars','Paper quality is thin .but item is not bad atalll.'
'B00P93X6EK','good one','5.0 out of 5 stars','not sure about prices of brand (if they are cheap /costly compared to other brands)....but always assured of quality....but ink prints on other side of paper also...so choose wisely'
'B00P93X6EK','Not received the same cover but love this product 😁','5.0 out of 5 stars',''
'B00P93X6EK','Value for money','5.0 out of 5 stars','Best qlty pages and got it below offline shop price.Satisfied and recomended'
'B00P93X6EK','😍😍😍too good','5.0 out of 5 stars','Worth it ❤❤❤'
'B00P93X6EK','Best','5.0 out of 5 stars','Best notebook for student and also value for money'
'B00P93X6EK','Best Quality, Value for Money Product.','5.0 out of 5 stars''Best Quality Value for Money. 💯🔥 Good Notebook'
'B00P93X6EK','Aswam','5.0 out of 5 stars','Very nice pics'
'B00P93X6EK','minimum order quantity should be done away','4.0 out of 5 stars',"Pro - Looks good - sectional copy - decent designs - round edges  Cons - Pages are a little thin but you will find them of decent quality. - the total number of sheets is 150-5(color pages in between)= 145 sheets, 24 sheets in each section.. i.e. total of 290 pages. -You can't choose the design"
'B00P93X6EK','Nice product','5.0 out of 5 stars','Nice book with premium quality pages'
'B00P93X6EK','Awesome product','5.0 out of 5 stars',''
'B00P93X6EK','You can buy','5.0 out of 5 stars','The notebook is super  But if you oder this then you might get the same as picture or different. Their are two types you might get 1 plastic binding spiral 2 metallic binding spiral  My option take metallic bind it is best and if you got plastic bind then you can replace it.'
'B00P93X6EK','Nothing','4.0 out of 5 stars','Like'
'B00P93X6EK','Worthy','4.0 out of 5 stars','Quality was awesome but the appearance is not same.'
'B00P93X6EK','Paper quality is too good 😊','5.0 out of 5 stars','Paper quality is too good'
'B00P93X6EK','Very good quality paper','5.0 out of 5 stars','Very good quality'
'B00P93X6EK','300 pages = 150 sheets','4.0 out of 5 stars','Paper is really smooth. Bought 26 of them each @100 Great deal!'
'B00P93X6EK','Very very best product and nice rate','5.0 out of 5 stars',''
'B00P93X6EK','As good as shown','5.0 out of 5 stars','Received the notebooks as good as expected.'
'B00P93X6EK','Bahot bahot zyada acchi aur sasti bhi mili','5.0 out of 5 stars','The media could not be loaded. Bahot zyada acchi aur 594 mein 6 notebook mili woh bhi 300 page ki'
'B00P93X6EK','Very nice product.... Thanks Amazon','5.0 out of 5 stars','Very nice product...'
'B00P93X6EK','It is a very nice notebook and worth buying and a very unique size(A5)','4.0 out of 5 stars','Very nice'
'B00P93X6EK','Quality product','5.0 out of 5 stars','Good qlty paper'
'B00P93X6EK','Paper quality is very low, If I write softly also opposite side paper becomea useless','1.0 out of 5 stars''The media could not be loaded.'
