item,title,rating,body
'B00S4R5RGI','Dry','1.0 out of 5 stars','It has dey up in 10 days'
'B00S4R5RGI','Waste of money on this Kajal','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r3sws2vxrblojc_1697144818901""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8542569-5278549""refMarkers:""vse_reviews_desktop_R3SWS2VXRBLOJC_1697144818901_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""X0XX4BX0E8XKY1S9X9CK""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3SWS2VXRBLOJC""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3SWS2VXRBLOJC_1697144818901_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/8617dac4-0ea6-475d-8de1-24e02de84faf.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/7d523efe-0553-4d89-8b0d-6a11d163dcb5/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R3SWS2VXRBLOJC""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r3sws2vxrblojc_1697144818901-player-34edc16d-1f4b-4f03-88f0-c2ee32df1f1a""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""X0XX4BX0E8XKY1S9X9CK""pageAsin:""""sessionId:""260-8542569-5278549""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8542569-5278549""refMarkers:""vse_reviews_desktop_R3SWS2VXRBLOJC_1697144818901_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""X0XX4BX0E8XKY1S9X9CK""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3SWS2VXRBLOJC""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3SWS2VXRBLOJC_1697144818901_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51gYi8D+w-L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'"
'B00S4R5RGI',It's good,'2.0 out of 5 stars',Product it's good 👍
'B00S4R5RGI','Super','5.0 out of 5 stars','Good'
'B00S4R5RGI','Waste of money...😡','1.0 out of 5 stars',You pay 300 rs for a branded product and it's just useless....it's not waterproof and smudge proof at all.....you buy 3 liners in just 100 ra on meesho and the are far far better then this.....I will not recommend this at all....go without a liner but don't buy this....
'B00S4R5RGI','Used product','1.0 out of 5 stars','It is not sealed and very old ...never buy this again..and it looks like it is used already..what worse product..very very worst'
'B00S4R5RGI','Look for other eyeliners in the market','2.0 out of 5 stars','only purchase this eyeliner if you are low on a budget considering it is not smudge-proof or water-resistant. would recommend that you look for other eyeliners in the market.'
'B00S4R5RGI','Opened product','2.0 out of 5 stars',It didn't come in its packaging and it of 17 January 2022. It looks like a used product.
'B00S4R5RGI','Disappointed!','1.0 out of 5 stars',"Utterly disappointed! It smudges, isn't waterproof and doesn't give matye finish. It looks cheap!"
'B00S4R5RGI','Not perfect black','2.0 out of 5 stars','The colour is not perfect black. It is not much visible in eye lids'
