item,title,rating,body
'B00UMVA51G','Excellent fabric','5.0 out of 5 stars','Colour and quality is very good.Premium quality product .highly recomended at this rate.'
'B00UMVA51G','Not good','2.0 out of 5 stars','This is not what I expected from Chromozome. After nearly using it for three months  small small tiny pin like hole developed and it started to torn out. Absolutely waste of money'
'B00UMVA51G','Super comfortable','5.0 out of 5 stars',These shorts are a must buy. It's fabric is soft and comfortable. There was no size issue. The colour is also not fading no matter how many times you wash.
'B00UMVA51G','Worst product','1.0 out of 5 stars','Fabric hopeless'
'B00UMVA51G','Not value for money average item','2.0 out of 5 stars','Nothing else'
'B00UMVA51G','Soft cloth, perfect fit','5.0 out of 5 stars'Fits perfectly as per size. Don't get fat or it won't fit anymore. Wish the naada was a bit longer though
'B00UMVA51G','Very soft','4.0 out of 5 stars',Very soft material that's why its very comfortable but the material very thin and little bit transparent...so keep that in mind.
'B00UMVA51G','Quality','3.0 out of 5 stars','Poor quality'
'B00UMVA51G','ऊंची दुकान फीके पकवान','1.0 out of 5 stars','बेकार item ke saath Amazon ka बेकार response'
'B00UMVA51G','Very good','5.0 out of 5 stars','Bought for 220 .. Worth the price'
'B00UMVA51G','Comfortable','4.0 out of 5 stars','Nice and comfortable shorts for daily wear'
'B00UMVA51G','Excellent purchase','5.0 out of 5 stars','Very good product quality of the product was great colour was also same size was perfect so 5 star from my side.'
'B00UMVA51G','Good','5.0 out of 5 stars','Good'
'B00UMVA51G','fabric is not 100% cotton, cheap polyester','1.0 out of 5 stars''fabric is of very poor quality and not cotton false advertising'
'B00UMVA51G','Good','3.0 out of 5 stars','Good one'
'B00UMVA51G','Over Paid for flimsy material','1.0 out of 5 stars','The shorts are comfortable .  Unfortunately after 2 walks and 3 washes I noticed there is a hole in the inseam.  Over paid for the shorts.  Material is too light and will not last long especially if you are on the heavier side.'
'B00UMVA51G','Not comfortable,Low quality product,tear in 3 days''1.0 out of 5 stars''Bad quality'
'B00UMVA51G','Value for money','5.0 out of 5 stars','This one fits as expected and value for money'
'B00UMVA51G','Not worth','2.0 out of 5 stars','This product is not worth for the money you are spend.The quality of the product is poor and cheap you get similar product with half of this price even in shops and streets. Unhappy with my choice.'
'B00UMVA51G','Super','5.0 out of 5 stars','Nice fitting and quality is just awesome at this price and colour also very good texture are very nice 👍'
'B00UMVA51G','Soft and comfy','5.0 out of 5 stars','Soft and comfortable. Value for money'
'B00UMVA51G','Good quality shorts','4.0 out of 5 stars','Highly recommended 👍🏻 Fast delivery Very comfortable relaxed fit Good quality cotton used I order 2 shorts (Black and Navy Blue) But Price is too high and quality of the drawstring is not good.'
'B00UMVA51G','Very bad quality and poor fabric.','1.0 out of 5 stars','Very bad quality and poor fabric.'
'B00UMVA51G','Ok','3.0 out of 5 stars','Ok'
'B00UMVA51G','Good','5.0 out of 5 stars','Comfortable and durable. Slightly loose in thighs'
'B00UMVA51G','Decline in quality','3.0 out of 5 stars','This is the third time I bought this. The first two were great. The ones I bought now are made of rougher cloth than before. The fit is also weird.'
'B00UMVA51G','Product quality is not good','1.0 out of 5 stars','Elastic is not good and product material also not good.'
'B00UMVA51G','Shspe','4.0 out of 5 stars','The shape is somehow not proper. Material is quite soft.'
'B00UMVA51G','Poor quality','1.0 out of 5 stars','Worthless'
'B00UMVA51G','Nice','5.0 out of 5 stars','Go ahead and buy one for your size.'
'B00UMVA51G','Size is different from other colours','4.0 out of 5 stars','The smallest size of this is big compared to other colors (black)'
'B00UMVA51G','Poor fabric quality','2.0 out of 5 stars',Won't last long. Maximum 6 months.
'B00UMVA51G','Nice Product','4.0 out of 5 stars','It is soft and comfortable'
'B00UMVA51G','A Decent buy','4.0 out of 5 stars','A decent product at a decent price point.'
'B00UMVA51G','Colour','1.0 out of 5 stars','Colour of the product is not like new one.'
'B00UMVA51G','Very comfortable and super quality','4.0 out of 5 stars','Nice product'
'B00UMVA51G','Go for if','4.0 out of 5 stars','Liked it'
'B00UMVA51G','A good buy , value for money','4.0 out of 5 stars''Quality comfort n materialand fittings fine as I expected'
'B00UMVA51G','Good product','4.0 out of 5 stars','Comfort but price little high'
'B00UMVA51G','Fit and feel is comfortable😊','5.0 out of 5 stars','In lockdown I was searching for short which will fit me. After receipt I verified the Size - matches to 34 waist comfortably Cloth feel is smooth Colour also retains after 8-10 washes Overall value for money product.'
'B00UMVA51G','Good cotton hosiery','4.0 out of 5 stars','Comfortable shorts. Wish the material was a little thicker.'
'B00UMVA51G','Super comfy!!','5.0 out of 5 stars','It’s very light and comfortable. The cloth material is also pretty good for the price. Got it for 265 during the Prime day sale. Absolutely loving it!'
'B00UMVA51G','Go for it. Worth buying','5.0 out of 5 stars','Good quality'
'B00UMVA51G','Poor quality shorts','1.0 out of 5 stars','The elastic has lost its strength within a year and the fabric gets torn very easily.'
'B00UMVA51G','Loved it','5.0 out of 5 stars','Good product at reasonable cost.'
'B00UMVA51G','Excellent Product','5.0 out of 5 stars','Excellent Product'
'B00UMVA51G','NOT WORTH OF PRICE!!','2.0 out of 5 stars',Not As expected!! It's better to buy from local shop if you want to buy such product ...  No Brand feel at all... Feels like local product
'B00UMVA51G','Good product.','5.0 out of 5 stars','Good product. Nice fitting.'
'B00UMVA51G','Tight and long....','2.0 out of 5 stars','Reaches knee yet tight ... not comfortable'
'B00UMVA51G','Sj','3.0 out of 5 stars','This shortwear come with an hole of genetial area'
