item,title,rating,body
'B016D7UJMW','Does the job','4.0 out of 5 stars','Less fluffy but does the job. Fear that it will shrink to bottom. Otherwise very nice and good. Like it. Will give a review afterwards'
'B016D7UJMW','Bad','1.0 out of 5 stars','Not at all comfortable for sleeping.Im returning it.'
'B016D7UJMW','Nice comfortable products','5.0 out of 5 stars','Satisfied with product quality. 100% recommended products.must go for it ......... . . . . . . . . . . .'
'B016D7UJMW','Great Product','5.0 out of 5 stars','The product iss extremely good and soft'
'B016D7UJMW','Great product.','5.0 out of 5 stars','The shape is really good. The size material quality and shape is of really good one. It gives great support. Very budget friendly product.'
'B016D7UJMW','Too good at this price...','5.0 out of 5 stars','Will update after few months of usage.. lets see how it works..'
'B016D7UJMW','Good','5.0 out of 5 stars','Good'
'B016D7UJMW','wohhh','5.0 out of 5 stars',very comfortable value for money strong enough to last it's structure for long time
'B016D7UJMW','Worth it','5.0 out of 5 stars','Good product in less cost'
'B016D7UJMW','Good','5.0 out of 5 stars','Good'
'B016D7UJMW','Soft and comfortable','4.0 out of 5 stars','Quality is good it is soft and durable'
'B016D7UJMW','A GOOD PRODUCT','4.0 out of 5 stars','Comfy and value for money. User recommendation- BUY.'
'B016D7UJMW','Good quality and comfortable','5.0 out of 5 stars','Comfort'
'B016D7UJMW','Nice and fluffy','5.0 out of 5 stars','Comfortable'
'B016D7UJMW','Crap!','1.0 out of 5 stars',"It's not 2 pillows as mentioned in the description, it's just 1! N' if that was not bad enough, they are so damn small!! You can purchase two fibre, cotton pillows of bigger size at the exact price from any place in the market!"
'B016D7UJMW','Comfort','5.0 out of 5 stars','Quality and comfort is good. And it’s too soft.'
'B016D7UJMW','Excellent Product','5.0 out of 5 stars','Good Quality Value for money conformable and good Material.'
'B016D7UJMW','Not worth buying duplicate','1.0 out of 5 stars','The media could not be loaded. Totally pathetic product'
'B016D7UJMW','Good investment for health and happiness','5.0 out of 5 stars','Very good pacakaging Best products for everyday use Quality is super awesome Loved it Must buy'
'B016D7UJMW','The pillows are perfect','5.0 out of 5 stars','The pillows when taken out of cover turn into such fluffy and big pillows. Thanks to Amazon for making my life easier. Love it.'
'B016D7UJMW','Worth for money','5.0 out of 5 stars','Comfortable good quality'
'B016D7UJMW','Relaxing','5.0 out of 5 stars','Relaxing pillow and spungy pillow we love it. Though we have purchased it long ago we are still using this'
'B016D7UJMW','Poor quality','1.0 out of 5 stars','Poor quality less amount of foam.'
'B016D7UJMW','Good quality','4.0 out of 5 stars','Good and economical quality'
'B016D7UJMW','Nice','5.0 out of 5 stars','Nice pillows 100% pure fiber and light weight. As i expected..... Thank you Amazon for bringing this product for us'
'B016D7UJMW','Excellent product 💯💯💯💯💯💯','5.0 out of 5 stars',Very good product . I'm very happy with Amazon.
'B016D7UJMW','Recorn fiber pillow','4.0 out of 5 stars','Good product I love recorn pillow. 🥰'
'B016D7UJMW','Great value, works like charm.','4.0 out of 5 stars'I've improved my sleep quality. It helps me sleep like a baby.
'B016D7UJMW','Not good.','1.0 out of 5 stars','Not comfortable.'
'B016D7UJMW','Good comfortable','5.0 out of 5 stars','Good good'
'B016D7UJMW','Best in class.','5.0 out of 5 stars','Best product with best price. Very soft and comfortable. Size is perfect.'
'B016D7UJMW','Worst products. West of Money and time. Not useful','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r1r866heql6z7f_1697136408229""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-9433439-9319307""refMarkers:""vse_reviews_desktop_R1R866HEQL6Z7F_1697136408229_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""K071CT8SJXNGD2NJC2ZX""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1R866HEQL6Z7F""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1R866HEQL6Z7F_1697136408229_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/bf3bdfd8-3776-4608-9a93-068ffaddc23b/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R1R866HEQL6Z7F""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r1r866heql6z7f_1697136408229-player-36e15a7d-3d39-4a40-8759-4b478818851c""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""K071CT8SJXNGD2NJC2ZX""pageAsin:""""sessionId:""261-9433439-9319307""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-9433439-9319307""refMarkers:""vse_reviews_desktop_R1R866HEQL6Z7F_1697136408229_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""K071CT8SJXNGD2NJC2ZX""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1R866HEQL6Z7F""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1R866HEQL6Z7F_1697136408229_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51I+4o9lVpL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. 3rd quality ka products hai. Time or paise ka loss. Not recommended. West of Money.'"
'B016D7UJMW','Very nice','5.0 out of 5 stars',The media could not be loaded. It's very comfortable.
'B016D7UJMW','Good quality products','5.0 out of 5 stars','Comfortable Value for money Good quality product'
'B016D7UJMW','Very comfortable and high quality pillows.','5.0 out of 5 stars','Great product from Amazon. Loved the quality and comfort of the product. Great value for money. Only issue is covers are not provided and covers for this size are rarely available.'
'B016D7UJMW','Probably not lasting','3.0 out of 5 stars','Initially came to normal thickness but slowly getting compressed without resilience.'
'B016D7UJMW','Good','4.0 out of 5 stars','excellent'
'B016D7UJMW','Quality & price','5.0 out of 5 stars','Quality & price seem to be reasonable.'
'B016D7UJMW','Fluffy and comfy .go for it','5.0 out of 5 stars','Worth money'
'B016D7UJMW','So comfortable','5.0 out of 5 stars',Money worth friends so comfortable so nice Parpect chala bagundi Meku kavali ante konukondi friends Good one It's my opinion
'B016D7UJMW','Nice','5.0 out of 5 stars','Nice'
'B016D7UJMW','QuaLity','5.0 out of 5 stars','NiCe'
'B016D7UJMW','Worth the price 👍','5.0 out of 5 stars',''
'B016D7UJMW','Non trusted','1.0 out of 5 stars','This was worse item as i received also no'
'B016D7UJMW','Size is small','3.0 out of 5 stars',It's okay okay product. Size is not like regular pillow it little small but one person can adjust
'B016D7UJMW','Hard','3.0 out of 5 stars','A bit too hard for comfort.'
'B016D7UJMW','Very disappointing, not vaccum packed.','2.0 out of 5 stars'The media could not be loaded. I bought 4 recron pillows thinking that it was vaccum packed. But it wasn't. The quality is also very poor. Not worth the money.
'B016D7UJMW','Lack of ergonomics','2.0 out of 5 stars','Not worth induces neck pain'
'B016D7UJMW','Nice nice','4.0 out of 5 stars','Nice'
'B016D7UJMW','Very comfortable','4.0 out of 5 stars','Pillows are very comfortable 👍🏻'
