item,title,rating,body
'B019RW88E6','Very sharp','5.0 out of 5 stars',Value for money. Very sharpness knifes. Anything can cut easily. Durability z also nice I'm using from many days. Quality z superb
'B019RW88E6','Sturdy and sharp','4.0 out of 5 stars',"Good set of knives. They are sturdy and sharp. I've been using for over a month. The peeler, however is a little wobbly."
'B019RW88E6','Good quality','4.0 out of 5 stars','Fruit peeler is not of good quality. All other knife are good.'
'B019RW88E6','Best in Category','5.0 out of 5 stars','Value for MoneySharpness is just amazing'
'B019RW88E6','Excellent ☺️','5.0 out of 5 stars','The media could not be loaded. Finally 😎  I was finding a best knife 🔪 set N I got it ☺️'
'B019RW88E6','Nice product 👌','5.0 out of 5 stars','Very nice product 👌'
'B019RW88E6','Very High quality knives','5.0 out of 5 stars','Excellent Knives for daily kitchen use.'
'B019RW88E6','Excellent','5.0 out of 5 stars','Excellent'
'B019RW88E6','Glare - Best in the price range','5.0 out of 5 stars','Sharp and Sturdy ...Best in the price range otherwise go for Victronix'
'B019RW88E6','Best service','5.0 out of 5 stars','Very nice one'
'B019RW88E6','Good one','5.0 out of 5 stars','Best knives for home'
'B019RW88E6','Can cut vegetables as you want','5.0 out of 5 stars','Good product'
'B019RW88E6','Blades are blunt','3.0 out of 5 stars','Blades are not sharp and broad as i want'
'B019RW88E6','Reliable','5.0 out of 5 stars','Product quality is superb.'
'B019RW88E6','Not good','1.0 out of 5 stars','Very bad quality steel . 2 knives broke.'
'B019RW88E6','Must for kitchen','5.0 out of 5 stars','It gives complete range of knife you should have in kitchen. Though they should also provide Glare Knife stand. It will complete the product .'
'B019RW88E6','About price','5.0 out of 5 stars','Product is Very good. I was paid 636/- rs. But its original price is 555/- inclusive of gst.please tell me why i am paid extra.'
'B019RW88E6','Good product','5.0 out of 5 stars','Useful product in kitchen'
'B019RW88E6','Worth the money spent','5.0 out of 5 stars','Really liked the product --> Sharp as expected --->Durability is maintained'
'B019RW88E6','Waste of money','1.0 out of 5 stars','Only one knife out of 5 have good sharpness other is waste'
'B019RW88E6','Same as display...good','5.0 out of 5 stars','Same as display ..good'
'B019RW88E6','Handy and sturdy','5.0 out of 5 stars','Buy without a doubt.'
'B019RW88E6','Excellent Product','5.0 out of 5 stars','Excellent Qualities'
'B019RW88E6','Gud','5.0 out of 5 stars','Lovely product my choping is now much faster then befour..but peelar it not gud'
'B019RW88E6','MISLEADING MRP DESCRIBED','1.0 out of 5 stars','MRP ON THE PRODUCT IS 555 ONLY. NOT 1015/- AS DESCRIBED. THIS IS QUITE MISLEADING.'
'B019RW88E6','Not recommend','1.0 out of 5 stars','The blade is too thin. While cutting even onions you get feeling that it is about to break.'
'B019RW88E6','Excellent','5.0 out of 5 stars','Value for money'
'B019RW88E6','Very Sharp','5.0 out of 5 stars','Very satisfied with the product very sharp and the steak knife is the one i use most!'
'B019RW88E6','Wonderful','5.0 out of 5 stars','Amazing product I loved it coz it made my work easy I m enjoying chopping I ❤😘 love it Kitchen lovers must buy and see the magic'
'B019RW88E6','buy only the curved knife seperately','3.0 out of 5 stars','Only two serrated knifes are useful for cutting something. Other knives edge is too thick to slice anything. Better just buy only the curved knife seperately.'
'B019RW88E6',Don't buy anything else. This is the best brand.,'4.0 out of 5 stars','Knives? Then look nowhere except GLARE. Go for it without a doubt.'
'B019RW88E6','Awesome knife best in market so far','5.0 out of 5 stars','I have using these knife from last 7 years still working in same way... i irdered this one set for my mother and she loved it too specially the biggest knife and smallest it as it dont cut ur finger but work exceptionally well for fruits and vegis all other knife we are not using as they are sharp to cut fingers'
'B019RW88E6','Unhappy','1.0 out of 5 stars','Retured parcel because peeler quality not good but still they do not return my money so much disappointed'
'B019RW88E6','very good quality and very very sharm','5.0 out of 5 stars','i use this product from last 10 years. I always purchase this set. very sharp and good quality'
'B019RW88E6','Best knives bought','5.0 out of 5 stars','Amazing'
'B019RW88E6','Good and too sharp','4.0 out of 5 stars','2 knives are too sharp to be used easily'
'B019RW88E6','Grab it','5.0 out of 5 stars','Amazing product'
'B019RW88E6','Good product','4.0 out of 5 stars','Nice product.. delivered on time and as shown in picture.'
'B019RW88E6','Knife with good grip','4.0 out of 5 stars','A solid grip is the highlight of these knives. However they tend to lose their sharpness after a few months. Package includes knives and fruit forks as shown in the image.'
'B019RW88E6','Poor','2.0 out of 5 stars','2 of 5 only good in use'
