item,title,rating,body
'B019XSHDL8','Totally dissatify','1.0 out of 5 stars','Very short'
'B019XSHDL8','Good product at reasonable price','5.0 out of 5 stars','First impression is very good... perfect size with comfort...need to see after using it few days.'
'B019XSHDL8','Jeans Pant Martin','4.0 out of 5 stars','Very good product quality is very good good comfortable..'
'B019XSHDL8','Fake product give','1.0 out of 5 stars','Fake product give and no refund'
'B019XSHDL8','Very nice','5.0 out of 5 stars','Very nice'
'B019XSHDL8','Very Comfortable & Good Quality','5.0 out of 5 stars','Nicely stitched soft denim fabric light weight and overall value for money in this range. Alas I am happy with the purchase.'
'B019XSHDL8','Quality good','3.0 out of 5 stars','Color fades after few washes I bought black jeans now it’s light black 😂🤣'
'B019XSHDL8','poor quality','1.0 out of 5 stars','poor quality in first liked it alot but after using it color faded  fabric faded weird wrinkles on jeans all the time'
'B019XSHDL8','Best durability and stretch ability','5.0 out of 5 stars','Amazing product'
'B019XSHDL8','A jeans displaying two size 34 and 32 together','1.0 out of 5 stars','Meet one of the wonders of world! A jeans showcasing two waist size (32 and 34) together. Because of the nonsense drop-down options I could not select exchange options with a 32! I had to select a return and refund. Now it is showing 12-15 days.....😂'
'B019XSHDL8','Colour faded','1.0 out of 5 stars','Colour faded after one wash😔'
'B019XSHDL8','Jeans quality','2.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rrwnuxk3kh8xf_1697140236847""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-9134415-1875023""refMarkers:""vse_reviews_desktop_RRWNUXK3KH8XF_1697140236847_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""KK21PXV54YX26S3JV4GK""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RRWNUXK3KH8XF""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RRWNUXK3KH8XF_1697140236847_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/689dfb76-1200-4431-9ce9-7e53f3361292.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/be049551-094c-46b0-8a36-7814b97fcbb6/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RRWNUXK3KH8XF""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rrwnuxk3kh8xf_1697140236847-player-1c457ff6-aae3-4a19-9034-e760274eae45""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""KK21PXV54YX26S3JV4GK""pageAsin:""""sessionId:""257-9134415-1875023""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-9134415-1875023""refMarkers:""vse_reviews_desktop_RRWNUXK3KH8XF_1697140236847_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""KK21PXV54YX26S3JV4GK""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RRWNUXK3KH8XF""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RRWNUXK3KH8XF_1697140236847_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/41WvDE7R5xL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. The jeans that I have ordered seems to be defective After 1 time wear faded from back Kindly help for this'"
'B019XSHDL8','Good','4.0 out of 5 stars','Good material'
'B019XSHDL8','Jeans','4.0 out of 5 stars','To small'
'B019XSHDL8','Very nice','4.0 out of 5 stars','Very nice product'
'B019XSHDL8','Not matching','1.0 out of 5 stars','Not good'
'B019XSHDL8','Worst product, waste of money, shrinks with every wash''1.0 out of 5 stars''Amazon should de-list this is a bad product it shrinks with every wash has bad quality waisted my time & money & got a bad products'
'B019XSHDL8','Quality','5.0 out of 5 stars','Excellent 👌'
'B019XSHDL8','Value for money product','5.0 out of 5 stars','Fit to size decent quality product quality to cost product.'
'B019XSHDL8','Poor quality','1.0 out of 5 stars','The media could not be loaded.'
'B019XSHDL8','Worth in product','5.0 out of 5 stars','Best quality zeans'
'B019XSHDL8','Worth money','4.0 out of 5 stars','According amout this is a nice product and comfortable to wear'
