item,title,rating,body
'B01BC3ADIW','Worth purchasing','5.0 out of 5 stars','Quality is very good and product is same as displayed…worthy and valued…'
'B01BC3ADIW','Bad','1.0 out of 5 stars','Bhut hi gatiya'
'B01BC3ADIW','Must buy...good quality....','5.0 out of 5 stars','To my son...Btech'
'B01BC3ADIW','Quality is good. And file Size A4.','4.0 out of 5 stars','The file Quality is good. And interior is good. And also good for A4 Document'
'B01BC3ADIW','Quality ✨️','5.0 out of 5 stars','Quality is better'
'B01BC3ADIW','😡😡😡😡😡 Damage already Used Product','1.0 out of 5 stars','The media could not be loaded. Worst My Time Waste'
'B01BC3ADIW','Useful','3.0 out of 5 stars','Useful'
'B01BC3ADIW','Value for money','4.0 out of 5 stars','It is exactly as you see in your phone Product quality nis also is good'
'B01BC3ADIW','Decent document holder','3.0 out of 5 stars','It is ok.'
'B01BC3ADIW','little bit expensive','5.0 out of 5 stars','its good but there is no zip inside it..'
