item,title,rating,body
'B01BJZ2N8G','Good','4.0 out of 5 stars','Size not fit.'
'B01BJZ2N8G','Good material and quality. and fitting.','5.0 out of 5 stars','Daily wear'
'B01BJZ2N8G','Good','4.0 out of 5 stars','Cloth material looks good. Fitting on little loose side.'
'B01BJZ2N8G','Not a good choice','3.0 out of 5 stars','Not exactly what we expected. Stitch needs to be better.'
'B01BJZ2N8G','Value for money.','4.0 out of 5 stars','Nice product. Quality is good.'
'B01BJZ2N8G','Thin material','3.0 out of 5 stars','Thin material. Although soft  can work as nightwear.'
'B01BJZ2N8G','Ok','3.0 out of 5 stars','Good'
'B01BJZ2N8G','Bad','1.0 out of 5 stars','Bad product'
'B01BJZ2N8G','No','2.0 out of 5 stars','Not suitable. Ordinary quality. Can be improved.'
'B01BJZ2N8G','Too bad','1.0 out of 5 stars',Product very low quality Don't buy within a week's start bubbling Too bad 😔
'B01BJZ2N8G','Worst material','1.0 out of 5 stars','Non breathable cloth. Extreme discomfort especially during summer season. Not recommended at all. Feels like cotton but nowhere closer to cotton.'
'B01BJZ2N8G','Good for the price','4.0 out of 5 stars','Worth the money nice and comfortable'
'B01BJZ2N8G','Good','4.0 out of 5 stars','Good'
'B01BJZ2N8G','Good quality pants','4.0 out of 5 stars','Good quality pants'
'B01BJZ2N8G','Value for money','4.0 out of 5 stars','Nice product 💯'
'B01BJZ2N8G','Very good.','5.0 out of 5 stars','Value for money. Recommend purchase. Cloth is of good quality. Stitching of fit is very nice. Happy with the purchase.'
'B01BJZ2N8G','Excellent','5.0 out of 5 stars',''
'B01BJZ2N8G','Bad quality.','1.0 out of 5 stars','Material of these pants are very bad you can see-through it. Color & fit are also not that great. Should do Better'
'B01BJZ2N8G','The quality of the product is very good but it is somewhat loose','5.0 out of 5 stars','quality is super durable I am writing this review after one month from the purchase date it is very good product.'
'B01BJZ2N8G','Good product but little thin','4.0 out of 5 stars','Stitching is good comfort and fit well value for money but little thin it other then that good product on good price'
'B01BJZ2N8G','Good','5.0 out of 5 stars','Good'
'B01BJZ2N8G','Nice and good fitting','5.0 out of 5 stars','Good quality product'
'B01BJZ2N8G','Good','4.0 out of 5 stars','I will buy next samegood product comfortable'
'B01BJZ2N8G','Very good product','5.0 out of 5 stars','Good product Good fitting'
'B01BJZ2N8G','Must buy','5.0 out of 5 stars','Awesome product'
'B01BJZ2N8G','Material is not good and not value for money','1.0 out of 5 stars','Material'
'B01BJZ2N8G','Value for Money','3.0 out of 5 stars','Overall these pants are good Value for money cloth is very soft and easy to wear feeling good to buy'
'B01BJZ2N8G','आराम दायक बढिया कपड़ा अच्छा है','5.0 out of 5 stars','मुझे आराम दायक कपड़े पसंद है इसलिए मैंने इसे चुना और मुझे क्वालिटी पर भी विश्वास है'
'B01BJZ2N8G','Nice','5.0 out of 5 stars',Value of money and very good products but thin cloth it's not bad
'B01BJZ2N8G','Poor quality','1.0 out of 5 stars',"Please don't buy this product I am writing this after 15 days of use ..it's very poor quality dress .very bad quality ..now it's colourless ,it's like old clothes"
'B01BJZ2N8G','Low quality','1.0 out of 5 stars','I am already used Vimal Jonny track pant. But this pair is low quality material received.'
'B01BJZ2N8G','Product is good also fitting is perfect','3.0 out of 5 stars','No issue in fitting and comfort. Pocket need some big and fabric discolored after 5 to 6 wash.'
'B01BJZ2N8G','मतलब ठीक है, फिटिंग गड़बड़ है जॉकी से कंपेयर न कारें','2.0 out of 5 stars''ठीक ठाक है और 18 और words type karne pe majbur karha hai AI kya लिखें और सब कृपा है मालिक की कभी सोचा है अमेजन कितना पन्नी का इस्तेमाल करता होगा पैकिंग के लिए दुनिया खतरे में है इस प्रदूषण से'
'B01BJZ2N8G','track pants.Thank you Vimal','5.0 out of 5 stars','Excellent.for this price it is a steal'
'B01BJZ2N8G','Let of dirt and stains','1.0 out of 5 stars','Doesn’t look like a new product'
'B01BJZ2N8G','Good quality product','4.0 out of 5 stars','Pure cotton material and good quality product'
'B01BJZ2N8G','good product','4.0 out of 5 stars','good productbut one pant size is confortableother pant size is loose'
'B01BJZ2N8G','Super','5.0 out of 5 stars','Very comfortable'
'B01BJZ2N8G','super','5.0 out of 5 stars','సూపర్'
'B01BJZ2N8G','Low quality cloth and it will be torn easily with hand.','1.0 out of 5 stars','I thought item would be of good quality.Its so delicate and can be easily torn. Its completely waste of money. Go for other options.'
'B01BJZ2N8G','Cloth quality','1.0 out of 5 stars','In this combo pack grey colour lowers cloth quality is good as expected but Navy blue colour lowers quality is not same as gray.'
'B01BJZ2N8G','Not a price worthy product','3.0 out of 5 stars',These are normal cotton longue wears. Very thin material. You can see the behind lights through the cloth. I won't recommend.
'B01BJZ2N8G','Poor quality clothing','3.0 out of 5 stars',According to Price it is nice but the quality of cloth is just ok ok it wasn't a cotton cloth
'B01BJZ2N8G','Very nice','5.0 out of 5 stars','Nice product'
'B01BJZ2N8G',"Not pure cotton, it's a blended variety but finishing is good👍",'4.0 out of 5 stars','Was satisfied with the product'
'B01BJZ2N8G','Good quality','4.0 out of 5 stars','👍🏻'
'B01BJZ2N8G','Good','3.0 out of 5 stars','Good quality of clothes but poorer quality of pakage'
'B01BJZ2N8G','Track pants','4.0 out of 5 stars','Value for the money. Good fitting.'
'B01BJZ2N8G','Worst','1.0 out of 5 stars',Don't buy
'B01BJZ2N8G','Not as expected','2.0 out of 5 stars','We can use only for Indoors the quality is expected'
