item,title,rating,body
'B01BP08MO4','Worth purchasing','5.0 out of 5 stars','Quality is very good and product is same as displayed…worthy and valued…'
'B01BP08MO4','Bad','1.0 out of 5 stars','Bhut hi gatiya'
'B01BP08MO4','Must buy...good quality....','5.0 out of 5 stars','To my son...Btech'
'B01BP08MO4','Quality is good. And file Size A4.','4.0 out of 5 stars','The file Quality is good. And interior is good. And also good for A4 Document'
'B01BP08MO4','Quality ✨️','5.0 out of 5 stars','Quality is better'
'B01BP08MO4','😡😡😡😡😡 Damage already Used Product','1.0 out of 5 stars','The media could not be loaded. Worst My Time Waste'
'B01BP08MO4','Useful','3.0 out of 5 stars','Useful'
'B01BP08MO4','Value for money','4.0 out of 5 stars','It is exactly as you see in your phone Product quality nis also is good'
'B01BP08MO4','Decent document holder','3.0 out of 5 stars','It is ok.'
'B01BP08MO4','little bit expensive','5.0 out of 5 stars','its good but there is no zip inside it..'
