item,title,rating,body
'B01BYBTU1S','Delivered only 5 bottles out of 6','1.0 out of 5 stars','I got only 5 bottles instead of 6. Highly disappointed. Please check and get back to me. Otherwise I will return'
'B01BYBTU1S','Product quality','1.0 out of 5 stars','In seven days bottles started stinking not satisfied with quality'
'B01BYBTU1S','Apperance','1.0 out of 5 stars','Scratches everywhere on product. look like used product ....'
'B01BYBTU1S',It's not air tight or leakage.,'3.0 out of 5 stars',Unfortunately it's not air tight bottle but good to use on regular basis
'B01BYBTU1S','Great quality','5.0 out of 5 stars',"It's a value for money product with good quality, easy to clean bottles but comes with vertical narrow mouth not the widen mouth. Durability stays for 6 months or so if you use it for school or college or while travelling. Just to keep in fridge it will remain for 9 months too or an year depends on how you clean them properly."
'B01BYBTU1S','Quality issues','1.0 out of 5 stars','The media could not be loaded. The bottles recieved by me were all scratched from the outside..'
'B01BYBTU1S','Fabulous','5.0 out of 5 stars','I love so much because 60rs one bottle in local market thanks for Amazon'
'B01BYBTU1S','Good enough','5.0 out of 5 stars','You can buy this product these having good quality and design but in my packet in some bottles there were some scratches (very minor)'
'B01BYBTU1S','quality is much better in that segment','5.0 out of 5 stars','The media could not be loaded. at very low price i got it of cello company bottle 6 nice build plastic is aslo good'
'B01BYBTU1S','Good product','5.0 out of 5 stars','Good product'
'B01BYBTU1S','Good quality','5.0 out of 5 stars','Quality was good'
'B01BYBTU1S','Flimsy but good','5.0 out of 5 stars','Good'
'B01BYBTU1S','Manufacturing default','1.0 out of 5 stars','To much scratches already without use'
'B01BYBTU1S','Low quality','1.0 out of 5 stars','Very thin plastic'
'B01BYBTU1S','Good product','4.0 out of 5 stars','Good product from cello in pocket friendly range.'
'B01BYBTU1S',It's second quality products,'1.0 out of 5 stars','All of the bottles are scratched and dent on it. Plastic also very flexible. Not strong. Not worth buying.'
'B01BYBTU1S','Average','3.0 out of 5 stars','Good - as expected'
'B01BYBTU1S','Thik he','1.0 out of 5 stars','Very bed quality'
'B01BYBTU1S','Good','5.0 out of 5 stars','Worth it'
'B01BYBTU1S','Quality not good','3.0 out of 5 stars','The quality of plastic is not up to the mark it is making sound when pressed with light hand'
'B01BYBTU1S','Very bad','1.0 out of 5 stars','All water bottle s delicate s no good'
'B01BYBTU1S','Very strong','5.0 out of 5 stars','Awesome'
'B01BYBTU1S','Third class','1.0 out of 5 stars','Worst quality……'
'B01BYBTU1S','Good','5.0 out of 5 stars','Good'
'B01BYBTU1S','Squished & banged up','1.0 out of 5 stars','This came a lil banged up & one even had a unsteady base'
'B01BYBTU1S','Nice','5.0 out of 5 stars','Super'
'B01BYBTU1S','Great product','5.0 out of 5 stars','Grea'
'B01BYBTU1S','Good product','5.0 out of 5 stars','Good product'
'B01BYBTU1S','Bottles damaged','1.0 out of 5 stars','Bottles shape out 😔'
'B01BYBTU1S','Worst product','1.0 out of 5 stars','Selling their damaged products in the name of discount'
'B01BYBTU1S','Economic but not good','3.0 out of 5 stars','The kid of the bottles are not good. Water keeps leaking'
'B01BYBTU1S','Ok Ok product','4.0 out of 5 stars','Like it Good work in refrigerator'
'B01BYBTU1S','Awesome👍👏','5.0 out of 5 stars','Bht acha product hai ❤❤ love it'
'B01BYBTU1S','Bad quality','1.0 out of 5 stars','The bottles leak and break easily'
'B01BYBTU1S','Good','5.0 out of 5 stars','Super product in this price but I canceled my order just because I was not available on that expected delivery date.'
'B01BYBTU1S','Nice','4.0 out of 5 stars','Nice'
'B01BYBTU1S','Damage product','1.0 out of 5 stars','Damage Product'
'B01BYBTU1S','GOOD','5.0 out of 5 stars','GOOD'
'B01BYBTU1S','Very Bad quality ....','1.0 out of 5 stars','Very Bad quality .... I put the return... I got a message that return date is May 09. But no one came... It shows that the return is complete.'
'B01BYBTU1S','It’s not original cello','1.0 out of 5 stars','All bottles are leaking'
'B01BYBTU1S','Nice quality','4.0 out of 5 stars','Look so awesome'
'B01BYBTU1S','Very nice 👍👍👍','5.0 out of 5 stars','बहुत ही अच्छी है'
'B01BYBTU1S','Nice','5.0 out of 5 stars','Good quality'
'B01BYBTU1S','Material is not good','1.0 out of 5 stars','Material is not good'
'B01BYBTU1S','Worst product','1.0 out of 5 stars','Cheap and worst product easily breakable.'
'B01BYBTU1S','Worst Bottel','2.0 out of 5 stars','Bottel me se Pani leak hota hai.'
'B01BYBTU1S','Good product','5.0 out of 5 stars','Good quality and good design'
'B01BYBTU1S','Nice','4.0 out of 5 stars','Super 👍'
'B01BYBTU1S','Average','3.0 out of 5 stars','Changed my mind and cancelled the order looked average product read reviews so did not like it looks were not appealing'
'B01BYBTU1S','Not Very Sturdy','3.0 out of 5 stars','For the price range these are fine. Not very sturdy. Just expect them to survive one season.'
