item,title,rating,body
'B01DEWVZ2C','Build Quality','5.0 out of 5 stars',"I am using this headphone approximately 4.5 years, Yes It's Unbelievable. The headfone build quality is too much Durable and no Changes of SOUND AND BASE. Must buy i suggest. But it's need new upgrades and better Looking. Thankyou....👍😃🔱🙏🙏🙏"
'B01DEWVZ2C','Value for money','5.0 out of 5 stars','Sound quality top notch'
'B01DEWVZ2C','Not durable','2.0 out of 5 stars',It's been 5months.. and it's gone...one of the headphones is not working
'B01DEWVZ2C','Sound is low','1.0 out of 5 stars','The media could not be loaded. Sound Is low'
'B01DEWVZ2C','Samany','3.0 out of 5 stars','The media could not be loaded. Samany'
'B01DEWVZ2C',I don't hear any bass poor quality product,'2.0 out of 5 stars',Don't buy cheap poor quality product definitely not recommend this product ❌❌❌❌❌
'B01DEWVZ2C','Budget earphone','5.0 out of 5 stars',These are budget earphones and best in class. Don't for the cheaper products. You won't regret unless you were using Bose.
'B01DEWVZ2C','Good sound and bad build quality','3.0 out of 5 stars',"The sound quality is good as you expect from a JBL device, but everything else about it is bad. The comfort isn't good, kinda hurts my ear for using more than for 30 mins. The quality of wire is very cheap, it's awful thin, looks very weak which would snap if given pressure upon"
'B01DEWVZ2C','Go with best music experience','5.0 out of 5 stars','Better to hear music without disturbance. Sound clarity was good nice fitting.'
'B01DEWVZ2C',Overrated didn't reach the expectations,'2.0 out of 5 stars','In terms of price segment the audio quality could be much better It has very less bass'
'B01DEWVZ2C','Need improvement','2.0 out of 5 stars','After around 1 year use not working'
'B01DEWVZ2C','Great Sound','5.0 out of 5 stars','The beautiful Harmaan signature sound.. loved it ❤️'
'B01DEWVZ2C','It was a great buy for the price I paid.','4.0 out of 5 stars',Does its job well for the price category. It has decent noise cancellation and bass. I also feel people here who are complaining about the bass simply don't know how music is supposed to sound.
'B01DEWVZ2C','decent Bass better than that avaialable on regular low end ear phones','4.0 out of 5 stars','if you want some decent Bass at entry lever earphones ...go for this product. product is as per expectations'
'B01DEWVZ2C','Good headphones, not so good durability','4.0 out of 5 stars''-Pros Perfectly meets audio quality expectations.  -Cons Very thin wires which means that headphones are not very durable.'
'B01DEWVZ2C','Overall good product','5.0 out of 5 stars','Sound quality is good'
'B01DEWVZ2C','Quality is aswome','5.0 out of 5 stars','Great product at this rate'
'B01DEWVZ2C','Excellent performance','5.0 out of 5 stars','Value for money.'
'B01DEWVZ2C','Best quality earphone','5.0 out of 5 stars','The performance is good Sound sound quality also'
'B01DEWVZ2C','Value for money','4.0 out of 5 stars','Good quality'
'B01DEWVZ2C','Money waste','1.0 out of 5 stars','Not working'
'B01DEWVZ2C','No volume control','2.0 out of 5 stars','No volume control button provided. Should be part of the machine.'
'B01DEWVZ2C','Superb','3.0 out of 5 stars','Nice product'
'B01DEWVZ2C','Good','4.0 out of 5 stars','Its good but boat can offer this kind of earphones with same built quality in 400 rs'
'B01DEWVZ2C','Earphones','3.0 out of 5 stars','Average fit'
