item,title,rating,body
'B01GGKYLW0','Good Product','5.0 out of 5 stars','Good Product'
'B01GGKYLW0','Durable','5.0 out of 5 stars','Worth the money'
'B01GGKYLW0','Good','5.0 out of 5 stars','Good'
'B01GGKYLW0','Serves the purpose','5.0 out of 5 stars',"My mom needed a long charging cable hence purchased this. It's been very useful, is still In a great condition and serves the purpose perfectly. It's durable."
'B01GGKYLW0','Good quality','5.0 out of 5 stars','Lasts long. Economical. Good brand.'
'B01GGKYLW0','Fast Charging Supported','4.0 out of 5 stars','it supports fast charging for most of the android devices.'
'B01GGKYLW0','Good','5.0 out of 5 stars','Amazon cables are too good than other.'
'B01GGKYLW0','Feed back','5.0 out of 5 stars','Good...'
'B01GGKYLW0','Excellent','5.0 out of 5 stars','Excellent'
'B01GGKYLW0','Serves purpose','4.0 out of 5 stars','Serves purpose'
'B01GGKYLW0','Cable Qulity not good according to price','1.0 out of 5 stars','Not working. Price is to high.'
'B01GGKYLW0','Charging speed upto 15w','2.0 out of 5 stars','Amazon is saying this is fast charging and I believe anything above 5w is considered these days as fast charging. Speed is only 15w (5v x 3A). This is very ordinary cable with basic quality better go to local store or supermarket and buy a better quality cable it will be cheaper and more reliable'
'B01GGKYLW0','Cheap build quality','2.0 out of 5 stars','Literally a crap cable with branding. I have used ambrane and stock Motorola cables and those are just way better than this thing.'
'B01GGKYLW0','it heats up my device','2.0 out of 5 stars','built quality is good length is also good this cable supports fast charging but while i charge my Device with it my device gets heated up this does not happens with other cables in same device maybe this cable is faulty'
'B01GGKYLW0','Branded','5.0 out of 5 stars','Super and branded 5 stars'
'B01GGKYLW0',Isn't long-lasting has connectivity issues within a year or two,'1.0 out of 5 stars',"Never buy Amazon Basics USB charging cables , they go kaput within 2 years max. The connectivity issues they develop with time means your phone won't charge at all no matter what it's fast charging wattage is."
'B01GGKYLW0','I liked the quality','5.0 out of 5 stars','Right length. You will yet as mentioned. Thank you amazon basics for althea right product an an affordable price.'
'B01GGKYLW0','superb quality 3x better than original one','5.0 out of 5 stars','looking sturdy and great quality product 👍'
'B01GGKYLW0','Doesnt support one plus fast charge','4.0 out of 5 stars','Nice cable good quality. But doesnt support one plus fast charge'
'B01GGKYLW0','Value for money','5.0 out of 5 stars','Best for the basic price and good enough quality for the price'
