item,title,rating,body
'B01JYVTJZ2','Not good quality','1.0 out of 5 stars','Socks are not of good quality'
'B01JYVTJZ2','THIS IS NOT ATALL COTTON SOCKS.','1.0 out of 5 stars','THIS IS NOT ATALL COTTON SOCKS QUALITY IS VERY POOR'
'B01JYVTJZ2','Worst quality','4.0 out of 5 stars','Yarns came out on the first day even before washing'
'B01JYVTJZ2','quality is very poor','1.0 out of 5 stars','quality is not good enough to with stand more than 5 time of usage'
'B01JYVTJZ2','Perfect for the price','5.0 out of 5 stars','Perfect size fit and nice colors.'
'B01JYVTJZ2','Very poor quality.','1.0 out of 5 stars','Threads came out after 8 hours of usage'
'B01JYVTJZ2','Very average quality.','2.0 out of 5 stars','The material is very thin and the thread from the insides is already loose.'
'B01JYVTJZ2','Very good material used. Perfect fittings','5.0 out of 5 stars','Very good material used. Perfect fittings'
'B01JYVTJZ2','Value for money.','5.0 out of 5 stars','The quality offered at the price is justified...they do show on the MRP tag to be thrice the price at which they are offered. Overall a good buy.'
'B01JYVTJZ2','Good quality','5.0 out of 5 stars','They are good.'
'B01JYVTJZ2','Amazing','5.0 out of 5 stars','Super & comfortable product.... V. Good material'
'B01JYVTJZ2','Good Product','4.0 out of 5 stars','Value for money 💰'
'B01JYVTJZ2','Quality p','5.0 out of 5 stars','Quality product'
'B01JYVTJZ2',It's a good product,'4.0 out of 5 stars','The only issue is all the socks in dark colors'
'B01JYVTJZ2','The socks tore away within 3 days of using. Useless product.','1.0 out of 5 stars','The socks tore away within 3 days of using. Useless product.'
'B01JYVTJZ2','Best Socks Ever.','5.0 out of 5 stars','Pros  a) Great packaging b) Great design even better than the images c) Fits very well d) Smooth body and cloth e) Very high quality f) Inexpensive (I can order 2 more of these) g) Seem long lasting  10/10  No complaints. Close your eyes and buy.'
'B01JYVTJZ2','Good Socks','4.0 out of 5 stars','Comfortable'
'B01JYVTJZ2','Good','5.0 out of 5 stars','Best one from Amazon'
'B01JYVTJZ2','Good quality and quite warm','5.0 out of 5 stars','Good quality. Nice option for Delhi winters'
'B01JYVTJZ2','Its ok','4.0 out of 5 stars','Its ok'
'B01JYVTJZ2','Nice product','5.0 out of 5 stars','Nice'
'B01JYVTJZ2','Quality socks, good brand!','4.0 out of 5 stars''Nice socks 4 pairs at a good price.'
'B01JYVTJZ2','Real value for money.','4.0 out of 5 stars','Comfortable and value for money.'
'B01JYVTJZ2','Superb product','5.0 out of 5 stars','Everything is fine. Jst go for it guys'
'B01JYVTJZ2','Good','5.0 out of 5 stars','Good'
'B01JYVTJZ2','Good','4.0 out of 5 stars','Good'
'B01JYVTJZ2','Good one','5.0 out of 5 stars','Soft cloth with good elasticity and tensility.'
'B01JYVTJZ2','Quality product at a reasonable price.','5.0 out of 5 stars',"My requirements are met. I have used two of these and felt much comfortable with these socks. Good formal socks. I didn't feel I am wearing an interior quality product. Much better than the locally available socks in big bazaar and other stores. I have used Allen solley, van Heusen, jockey etc, I can't say it is in par with those brands, which are around minimum 130 per pair, but at this price point I am satisfied without compromising on quality as well. I have washed it once. Sure a decent quality socks at a reasonable price. I bought 5 pairs for 299."
'B01JYVTJZ2','Excellent product','5.0 out of 5 stars','superb quality ..!!!'
'B01JYVTJZ2','Nice','5.0 out of 5 stars','Normal n nice'
'B01JYVTJZ2','Must buy','4.0 out of 5 stars','Good product'
'B01JYVTJZ2','Not good for big foot','3.0 out of 5 stars','Too small'
'B01JYVTJZ2',',','1.0 out of 5 stars''quality too poor'
'B01JYVTJZ2','Nice one!','5.0 out of 5 stars','Very soft and smooth feel!'
'B01JYVTJZ2','Excellent product','5.0 out of 5 stars','The socks are very good in terms of quality and comfort . The material of socks is pretty good . Loved the product .👍🏻👍🏻'
'B01JYVTJZ2','Awesome','5.0 out of 5 stars','I liked this product nice... thank you Amazon'
'B01JYVTJZ2','Great Product','5.0 out of 5 stars',It fits perfectly. I'm a size 9 so good for most adults. The material is very nice.
'B01JYVTJZ2','Good','5.0 out of 5 stars','Good quality'
'B01JYVTJZ2','Five Stars','5.0 out of 5 stars','worth buying... comfortable'
'B01JYVTJZ2','Two Stars','2.0 out of 5 stars','Not in original packing. Original wrapping band broken. Two pairs of socks inserted from some other lot.'
'B01JYVTJZ2','Not so good..','3.0 out of 5 stars','There are only 4 pack.... Not so good.......'
'B01JYVTJZ2','Good but should have been a cotton socks....','4.0 out of 5 stars','Not cotton!!'
'B01JYVTJZ2','Worth it..','5.0 out of 5 stars','Good material... buy it..  Multiple washes do not deteriorate material quality.  Softness is good and its breathable.'
'B01JYVTJZ2','Good','5.0 out of 5 stars','Good'
'B01JYVTJZ2','Two Stars','2.0 out of 5 stars','Very poor quality'
'B01JYVTJZ2','SUPERB PRODUCT','5.0 out of 5 stars','best value for money'
