item,title,rating,body
'B01MZ6UEDQ','Watch Box quality is pathetic,','1.0 out of 5 stars'Has fungus on the top lid and screen cover is cracked. Lid is loose and does lock lock properly. Please don't buy.... apperance is deceptive and bad. Fit and finish is horrible...
'B01MZ6UEDQ','Received broken pc.','1.0 out of 5 stars','Packing was intact. Peice was broken'
'B01MZ6UEDQ','Damaged , product not shown as picture','1.0 out of 5 stars''Pls don’t buy'
'B01MZ6UEDQ','N/A','N/A','Conforme à la description belle finition'
'B01MZ6UEDQ','N/A','N/A','Its makes my watch collection really organized. As advertised and very elegant'
'B01MZ6UEDQ','N/A','N/A','Die Box sieht wirklich hochwertig aus und gefüllt mit Uhren macht sie wirklich was her! Stabil ist sie noch dazu und vor allem kostet sie nicht so viel. Ich bin begeistert und würde nochmal kaufen!'
'B01MZ6UEDQ','N/A','N/A','Love the look and display. I have smaller wrists so I’m unable to close the bracelet fully on my watches but I’m still able to make it work.'
'B01MZ6UEDQ','N/A','N/A','Excellent looking we’ll made product bought for my son’s birthday as he has started a watch collection very pleased with the purchase'
'B01MZ6UEDQ','N/A','N/A','The watch case was a present for my son. It was just what he wanted and it looks elegant.'
'B01MZ6UEDQ','N/A','N/A',Correspond à l'annonce. Sobre et élégant. Satisfait de l'achat
'B01MZ6UEDQ','N/A','N/A','It was a great gift packaged great and arrive early.'
'B01MZ6UEDQ','N/A','N/A','Per il prezzo richiesto la qualità è ottima. Rifinita bene materiale davvero buono. Attualmente è in condizione impeccabile quindi consiglio'
'B01MZ6UEDQ','N/A','N/A','Bought this as anniversary present for my husband. Looks expensive'
'B01MZ6UEDQ','N/A','N/A','Nice looking case at a fair price with good quality.'
'B01MZ6UEDQ','N/A','N/A','Toll zum verschenken wenn es an Leute geht welche mit dem Uhrensammeln anfangen oder einfach nur einen Ort brauchen um die Uhren zu lagern. Für den Preis könnte es schon ein bisschen hochwertiger sein aber es ist ausreichend. Für Sammler die Wert auf das Aussehen legen kann man überlegen ob man nicht vielleicht mehr Geld in die Hand nimmt.'
'B01MZ6UEDQ','N/A','N/A','Der Deckel öffnete bei meinem Exemplar nur 90 Grad was ich in der Bewertung bemängelt hatte. Der Hersteller reagierte sofort und ungefragt mit einer kostenlosen Ersatzlieferung. Vorbildlich!'
'B01MZ6UEDQ','N/A','N/A','Such a nice box! Great gift for an special occasion!'
'B01MZ6UEDQ','N/A','N/A','Esteticamente è bellissimo ma la qualità dei cuscini e dell’apertura lascia molto a desiderare. Gli orologi non stanno fermi col rischio che si possano danneggiare. Peccato'
'B01MZ6UEDQ','N/A','N/A','Nice quality'
'B01MZ6UEDQ','N/A','N/A','Big fan of this I have my seikos and citizens and orients on display...'
'B01MZ6UEDQ','N/A','N/A','Sehr gut verarbeitet'
'B01MZ6UEDQ','N/A','N/A','Me sumo a los muchos comentarios positivos que he leído. Queda muy bien  donde lo pongas y buena calidad.'
'B01MZ6UEDQ','N/A','N/A','I ordered for my husband at Christmas. He loves it. The size is perfect for him. Good quality.'
'B01MZ6UEDQ','N/A','N/A','Habe die Box meinem Partner zu Weihnachten geschenkt. Sie wirkt hochwertig und bietet eine tolle Möglichkeit die Uhren optisch ansprechend und geschützt aufzubewahren.'
'B01MZ6UEDQ','N/A','N/A',A great way to stylishly store the hubby's watches.
'B01MZ6UEDQ','N/A','N/A','This watch box is well made and makes a stylish addition to a room.'
'B01MZ6UEDQ','N/A','N/A',L'ensemble
'B01MZ6UEDQ','N/A','N/A','Me encanto'
