item,title,rating,body
'B06WWR7W3V','Good product','5.0 out of 5 stars','LIKE : No damages with the item. Value for money. Trust to buy it.'
'B06WWR7W3V','Good one','5.0 out of 5 stars','Good'
'B06WWR7W3V','Good','5.0 out of 5 stars','The product is too good'
'B06WWR7W3V','Good','5.0 out of 5 stars','Good'
'B06WWR7W3V','Fake selling price written on amazon','5.0 out of 5 stars','The product box says MRP is 350/-'
'B06WWR7W3V','Quality and efficiency','5.0 out of 5 stars','Cleanliness softnesssmell and good effect on skin. Always first preference ☺️'
'B06WWR7W3V','very nice product','5.0 out of 5 stars','liked it and using from very long time.'
'B06WWR7W3V','Good','4.0 out of 5 stars','Pears soap is very soft and it keeps me fresh many houra'
'B06WWR7W3V','Good Soap','5.0 out of 5 stars','This soap is very good'
'B06WWR7W3V','Odour is too strong','3.0 out of 5 stars',This variant of Pears has a very strong odor which many may not like. Otherwise it's good for skin with high glycerine content.
'B06WWR7W3V','excellent','5.0 out of 5 stars','excellent'
'B06WWR7W3V','Very good','5.0 out of 5 stars','Very good.'
'B06WWR7W3V','Value for money','5.0 out of 5 stars','The media could not be loaded.'
'B06WWR7W3V','Very nice','5.0 out of 5 stars',This is the best soap I've found
'B06WWR7W3V','Not good for skin','1.0 out of 5 stars','This shop is not good for our skin'
'B06WWR7W3V','Trusted Brand still Effective','4.0 out of 5 stars',Even with the oil clear variant Pears has maintained it's individuality with impressive smell of freshness and active vibe we get post a shower. It is true to its name and worth buying!
'B06WWR7W3V','Yes','5.0 out of 5 stars','Good'
'B06WWR7W3V','Bad shop','1.0 out of 5 stars',This shop created infection.don't buy
'B06WWR7W3V','Melting in normal temperature','1.0 out of 5 stars','Soap melt too fast in normal condition.'
'B06WWR7W3V','Superb','5.0 out of 5 stars','Superb pj'
'B06WWR7W3V','Pears for me is a Hallmark brand','5.0 out of 5 stars','Love the aroma the after feel. Makes me want to go back to it again n again. And I do'
'B06WWR7W3V','Review','5.0 out of 5 stars','Liked.used as Bath soap'
'B06WWR7W3V','Pears is a reliable soap','5.0 out of 5 stars','Fragrance foam. What else other than bathing'
'B06WWR7W3V','Best soap for me','5.0 out of 5 stars','Had got it cheap. Now so expensive. All in one soap. Dissolves fast. Best aroma for body as well as bathroom'
'B06WWR7W3V','Good 👍','5.0 out of 5 stars','Value for money. Soothing effect 😌'
'B06WWR7W3V','good','3.0 out of 5 stars','good'
'B06WWR7W3V','Pears ,Do they need a review','5.0 out of 5 stars''I am 56 in my childhood too I use to take bath in 4 soaps Pears Hamam  Red Cinthol  No advertisement needed for the freshness you get after a pears soap bath . Your padosi too will smell the fragrance.'
'B06WWR7W3V','Good','4.0 out of 5 stars','Ok'
'B06WWR7W3V','Best product from pears','5.0 out of 5 stars','Best product from pears'
'B06WWR7W3V','Good Product','5.0 out of 5 stars','Good Product'
'B06WWR7W3V','Soaps','5.0 out of 5 stars','Nice'
'B06WWR7W3V','Soap','5.0 out of 5 stars','Worth'
'B06WWR7W3V','Vary gud','4.0 out of 5 stars','Buht accha tha'
'B06WWR7W3V','मुझे समान नहीं मिला है','1.0 out of 5 stars','जब डिलीवरी बॉय डिलीवरी करने आया तो मुझे कॉल तक नहीं किया  और मेरा सामान को किसी और को दे दिया मुझे बिना कन्फर्म किए मुझे इस कारण बहुत तकलीफ का सामना करना पड़ रहा है मुझे टाइम से समान नहीं मिलने से वही समान को दुकान से दुबारा खरीदना पड़ा तो प्लीज मुझे बताए मेरे इस नुकसान का भार कौन उठाएगा कौन दोषी है मेरे कॉल का जवाब डिलीवरी बॉय क्यों नही उठता और बिना कन्फर्म करे कही भी मेरा सामान फेक कर क्यूं चला जाता है प्लीज मुझे जल्दी समाधान देवे तुरंत कॉल करे'
'B06WWR7W3V','Rightly priced','5.0 out of 5 stars','The packaging good.'
'B06WWR7W3V','Nice product for reasonable price','5.0 out of 5 stars','Nice product for reasonable price'
'B06WWR7W3V','Excellent','5.0 out of 5 stars','Excellent'
'B06WWR7W3V','Na','4.0 out of 5 stars','Na'
'B06WWR7W3V','Good','5.0 out of 5 stars','Good'
'B06WWR7W3V','Good','5.0 out of 5 stars','Good for skin'
'B06WWR7W3V','Useful product','4.0 out of 5 stars',It's cool bath nice to use this product
'B06WWR7W3V','खुशबूदार और ठंडक','5.0 out of 5 stars','तेज अच्छी खूशबू के साथ गर्मी मे आरामदायक'
'B06WWR7W3V','Value for money','5.0 out of 5 stars','Quality and packaging excellent'
'B06WWR7W3V','Nice quality osam product packaging is very good 👍','5.0 out of 5 stars','The media could not be loaded.'
'B06WWR7W3V','Not safe for babies, pets," or the elderly. Overpriced too.''2.0 out of 5 stars'Both Limonene and Mentha are absorbed though uncut skin and can damage baby's liver and nervous system.  Not safe for babies, pets, or the elderly  Overpriced and not a great soap. Not a premium soap in any manner apart from the logo. Hindustan Unilever needs to do better than this; many other glycerin soaps on the market, now."
'B06WWR7W3V','Soap','5.0 out of 5 stars','Nice'
'B06WWR7W3V','Delivery and product','5.0 out of 5 stars','Delivery boy is Incomparable and the product also.'
'B06WWR7W3V','Good','4.0 out of 5 stars','Good product and this price product is good I am thankful to amazon'
'B06WWR7W3V',Please don't buy this shop provide etching,'1.0 out of 5 stars',Please don't buy this shop provide etching
'B06WWR7W3V','Good','5.0 out of 5 stars','Good'
