item,title,rating,body
'B071X8YK8S','Size mismatch','1.0 out of 5 stars','Size mentioned in the chart is not matching and is non-returnable waste of money'
'B071X8YK8S','Overpriced','5.0 out of 5 stars',"It's a good product, the fabric is thick and comfortable, pure cotton, good quality stitching as well."
'B071X8YK8S','Jus ok','3.0 out of 5 stars','Very average'
'B071X8YK8S','Product got shrinked after one wash','2.0 out of 5 stars','The quality of the product is good but after one wash it shrinkened too much. For example if you buy XL size after one wash it will be come L size. So better to buy the larger size. Thank you..'
'B071X8YK8S','Not satisfied','1.0 out of 5 stars','Very bad quilty'
'B071X8YK8S','Tooooo Small','1.0 out of 5 stars',Lost my money by purchasing this product.. Don't purchase at all
'B071X8YK8S','Fabric is good','4.0 out of 5 stars','Fabric is also good'
'B071X8YK8S','No exchange or return','1.0 out of 5 stars',Buy wisely They don't provide return or even exchange. Quality is just okay not good. And colour is not white ( this they have already mentioned)
'B071X8YK8S','I don’t recommend','2.0 out of 5 stars','Not good quality. Looks like it’s for technicians'
'B071X8YK8S','😒','1.0 out of 5 stars',This is the worst apron. Please don't buy it.
'B071X8YK8S','Best','5.0 out of 5 stars','Very comfortable'
'B071X8YK8S','Product is of cheap quality','1.0 out of 5 stars','It was torn'
'B071X8YK8S','Wrongly described and poor quality','1.0 out of 5 stars','Pathetic material and as per the image given and description it was supposed to be receiving full sleeves lab coat but this is half sleeves...Very bad from Amazonshowing something else and delivering something else Disappointed'
'B071X8YK8S','Worst Product','1.0 out of 5 stars','Its worst product Waste of money'
'B071X8YK8S','Good Product.','5.0 out of 5 stars','Everything is fine but the sleeves are not that long. Rest all good.'
'B071X8YK8S','Nice','5.0 out of 5 stars','Nice'
'B071X8YK8S','Want to return the item due to small size than ordered.','1.0 out of 5 stars',I have received the product of smaller size. It is totally different from the size mentioned in size chart & I want to return it. They don't even have a return or replacement policy.
'B071X8YK8S','excellent','4.0 out of 5 stars','Excellent'
'B071X8YK8S','Not satisfied','1.0 out of 5 stars','Very poor kind of apron. Its just like a cotton shirt with apron shape and size'
'B071X8YK8S','Good fabric at reasonable rate **','4.0 out of 5 stars','Very nice & made of good fabric ::'
'B071X8YK8S','Perfect...','4.0 out of 5 stars','Good product.. And thanx to delivered tamely'
'B071X8YK8S','Value for money','4.0 out of 5 stars','Nice product'
'B071X8YK8S','Best coat','5.0 out of 5 stars','Very good quality'
'B071X8YK8S','Nice quality cloth','4.0 out of 5 stars','Nice quality cloth'
'B071X8YK8S','Good product!','5.0 out of 5 stars','Super👌!!'
'B071X8YK8S','Awesome','4.0 out of 5 stars','Awesome'
'B071X8YK8S','Fully satisfied with this product','5.0 out of 5 stars','Awesome product. Good stuff and I love this'
'B071X8YK8S','Very good product with a speedy delivery','5.0 out of 5 stars','Very good quality pure cotton apron/lab coat. Fitting is correct and stitching and finishing is also good.. Overall a very good product. Super fast delivery by amazon within 48hrs.'
'B071X8YK8S','Good','5.0 out of 5 stars','Good quality product'
'B071X8YK8S','it was a good product..','5.0 out of 5 stars','it was good. good product...'
'B071X8YK8S','Material!!','5.0 out of 5 stars','Amazing stuff. Soft cloth . Very comfortable'
'B071X8YK8S','Five Stars','5.0 out of 5 stars','Nice fabric and pure cotton ! good for chemistry lab !'
