item,title,rating,body
'B073V4XQKX','Plastic bottles','5.0 out of 5 stars','Excellent product'
'B073V4XQKX','Quality not good','2.0 out of 5 stars','Scratches on bottle'
'B073V4XQKX','Bought with high expectations..bt 👎','1.0 out of 5 stars',"I bought this 3 piece set thinking cello as a trusted brand..after using 1-2weeks the water started smelling plastic water..I washed thoroughly, after 1-2days use again it started smelling like that...all of them.. I'll not recommend this brand anymore to anyone.. hugely disappointed"
'B073V4XQKX','good buy','5.0 out of 5 stars','nice'
'B073V4XQKX','Waste of money','1.0 out of 5 stars','Plastic quality is badsmell is coming from it even after washing it properly the smell is not going so I would suggest no one should buy it'
'B073V4XQKX','Bad odour','1.0 out of 5 stars','This product gives odour if water is stored for a day or two..rashes prone product'
'B073V4XQKX','Good','5.0 out of 5 stars','Looks nice Premium.'
'B073V4XQKX','Good Quality Product.','5.0 out of 5 stars',"Looks nice and clear. I ride Dio on worst type of indian road, still water doesn't leak. Good Quality Product."
'B073V4XQKX','Good','5.0 out of 5 stars','quality is good'
'B073V4XQKX','Smells terrible','1.0 out of 5 stars','Even after washing several times it smells plastic .'
'B073V4XQKX','Damage','2.0 out of 5 stars','Like- Branded product transparent look Dislike - out of three bottles one of them was out of package during delivery having scratches on body as well as near the throat..... photo attached.'
'B073V4XQKX',It's ok,'4.0 out of 5 stars','Quality is Good.But not so good as per price.'
'B073V4XQKX','Good','5.0 out of 5 stars','Good'
'B073V4XQKX','It smells bad when you open the bottle','1.0 out of 5 stars','Not a good choice better go for steel bottle'
'B073V4XQKX','Bottles','5.0 out of 5 stars','Simply awesome'
'B073V4XQKX','Value for Money','5.0 out of 5 stars','Excellent quality and size'
'B073V4XQKX','Poor quality','1.0 out of 5 stars','Really shocked to see this quality of product from such a reputed brand. Cello have seriously disappointed with these below standard bottles which have cracks at bottom and are very brittle. They wrongfully claim it to be break proof.'
'B073V4XQKX','One bottom is defective, please provide the replacement','1.0 out of 5 stars''One bottol lid is defective and white spot you can see it in picture. Kindly provide the repoacement of this single bottom only rest are good.'
'B073V4XQKX','Caps will break quickly after couple fall downs','1.0 out of 5 stars','Caps will break quickly after couple fall downs Even small scratches will be visible clearly hard maintain also plastic smells not premium from cello'
'B073V4XQKX','Great addition','5.0 out of 5 stars','Use it directly from the refrigerator on to serving tray let visitors pour the amount they require. Child friengly durable and looks sleek'
'B073V4XQKX','Good','4.0 out of 5 stars','Quality is fine'
'B073V4XQKX','Look and feel premium','5.0 out of 5 stars','Good quality product looks and feels premium solid and sturdy'
'B073V4XQKX','Worth buying','4.0 out of 5 stars','A good to buy product. Clear and clean no odur in water. Steady plastic.'
'B073V4XQKX','….','5.0 out of 5 stars','Super bottles'
'B073V4XQKX','Not a new product','1.0 out of 5 stars','I wanted to return as the products was heavily scratched when i opened the parcel and bottle was not packed in brand box. Attached all 3 bottles in cello tape making the bottle surface more messy'
'B073V4XQKX','Definetly NOT Freezer Safe','3.0 out of 5 stars','1 month from purchase yesterday night I put them in the freezer fully filled waking up in the morning with this fully broken fully ice.  I highly recommend not to put in the freezer not too cold or not too hot is manageable. Can be used normally in the fridge.'
'B073V4XQKX','Best water bottles','5.0 out of 5 stars','Good Product worth the money 💰'
'B073V4XQKX','Decent Quality','4.0 out of 5 stars','Decent product'
'B073V4XQKX','Very sturdy. It is Cello. You need not doubt.','5.0 out of 5 stars','Classy look. Clear bottle. Perfect for fridge.'
'B073V4XQKX','Gets scratches easily','3.0 out of 5 stars','The usual cleaning brought scratches all over. The bottles became hazy within the first few days of use'
'B073V4XQKX','Good quality','5.0 out of 5 stars','Go for it'
