item,title,rating,body
'B073XL19QZ','Ok type quality','4.0 out of 5 stars','Not to good not too bad you can try.'
'B073XL19QZ','Good quality bag but 80 cms is too big but budjet friendly for hostliers','4.0 out of 5 stars',''
'B073XL19QZ','Quality product','5.0 out of 5 stars','Sturdy'
'B073XL19QZ','Poor','1.0 out of 5 stars','Not satisfied 😭'
'B073XL19QZ','Good','5.0 out of 5 stars','Best'
'B073XL19QZ','Very good quality','5.0 out of 5 stars','Good quality and good product 👍'
'B073XL19QZ','Not worth','1.0 out of 5 stars','No value for money. No side pocket inside to keep valuables. Belt is not sufficient to keep your stuff intact.'
'B073XL19QZ','Just go for it !!!','5.0 out of 5 stars',Very good quality.....I want a 28 inch trolly but it's size is quite big...suitable for long tour...
'B073XL19QZ','Brand and value for money','4.0 out of 5 stars','This product colour and authentic product..velue for money'
'B073XL19QZ','Good quality strudy bag','3.0 out of 5 stars',"It has been three weeks since i bought this bag it's bit expensive but quality is good, good for rough use I liked it. I have kept this in bad condition also you as you can see in the picture"
'B073XL19QZ','Plz check the dimensions','3.0 out of 5 stars','We ordered large size say 80 cms  but wen actually measures it is 71 cms...Rest all good color  zips  quality. Have attached dimensions photo too  compare with the product details n then decide if u really want to buy or not as dimensions are matched but size only height wise. Hope this helps. Got for Rs. 4399.'
'B073XL19QZ','Functioning','4.0 out of 5 stars','Procedure to change the figures in lock not given.'
'B073XL19QZ','Good to buy at best rate','5.0 out of 5 stars','Excellent bag with spacious storage'
'B073XL19QZ','Price reduced from 5k to 3.5k within weeks of buying which makes me sad','3.0 out of 5 stars','I like this suitcase so far. Only complaint is that I bought it for 5k ( under discount ) and after 2 week of buying  price reduced by 30%.'
'B073XL19QZ','Must buy','5.0 out of 5 stars','Best product durable sturdy and huge for taking good amount of luggage with you for long journey.'
'B073XL19QZ','Please check international aiways maximum allowable diemension','3.0 out of 5 stars','This bag is not eligible for qualifying the maximum allowable dimension of Europe airways since length + width + height would be equal or less than 158cm HOWEVER this bag is having 161 CM so not qualify for the Europe airways'
'B073XL19QZ','Poor quality','1.0 out of 5 stars',Worst product don't buy
'B073XL19QZ','Zipper was broken. The product is not usable','1.0 out of 5 stars','The media could not be loaded. Product delivered is damaged'
'B073XL19QZ','the quality is correct','5.0 out of 5 stars','the quality is correct'
'B073XL19QZ','Good service','5.0 out of 5 stars','Very good product'
'B073XL19QZ','Absolutely worth it !','5.0 out of 5 stars','Fantastic well packaged product is exactly how it is in the pic light weight !'
'B073XL19QZ','Broken wheel base','2.0 out of 5 stars','Wheel base broke after just a few days of usage.'
'B073XL19QZ','Poor quality','1.0 out of 5 stars','Infferear quality product in name of AT'
'B073XL19QZ','Horrible','1.0 out of 5 stars','Really horrible product. The zipper not working before even used once.'
'B073XL19QZ','Not a good buying experience','1.0 out of 5 stars','Downgrading business practice on Amazon by shipping defective items in the name of great deals. Not a good buying experience.'
'B073XL19QZ','Good one','5.0 out of 5 stars','Good one'
'B073XL19QZ','Worth buying','5.0 out of 5 stars','Bought two bags both are awesome'
'B073XL19QZ','Incorrect Product Information','1.0 out of 5 stars','This is much smaller then what is mentioned in the product info. The actual size of the product is 45 cms X 25 cms X 77 cms only.'
'B073XL19QZ','good','5.0 out of 5 stars','I really liked the product. It is exactly same as in description. Color can be bit better though but good.'
'B073XL19QZ','Good Quality and pricing','5.0 out of 5 stars','Thankyou for replacing faulty suitcase with correct one .Really appreciate for such a quick delivery and response. Cheers'
'B073XL19QZ','Wow','5.0 out of 5 stars','Filling so nice'
'B073XL19QZ','Zip','4.0 out of 5 stars','1. The main zip occasionally gets stuck.  2. The outer pocket zip should have an arrangement for locking'
'B073XL19QZ','Damaged wheel','1.0 out of 5 stars',The wheel of the product is damage.... I am not able to move the bag.... Pls don't buy
'B073XL19QZ','Good','5.0 out of 5 stars','Worth the money good'
'B073XL19QZ','Horrible quality','1.0 out of 5 stars','The chains opened up while packing for first time itself and it’s impossible to use this bag now.. also there is noway to reach the seller to fix the issue.. not covered by Amazon warranty either'
'B073XL19QZ','Perfect for long travel','5.0 out of 5 stars','Good enough space for long trips. Color and material quality are good.  Just the lock feels like made of cheap plastic would have been better with good plastic but it does it jobs.'
'B073XL19QZ','Average','2.0 out of 5 stars',Started tearing after 1 or 2 times of use. They marking as universal warranty but warranty won't cover for tearing.
'B073XL19QZ','Good','3.0 out of 5 stars','Good'
'B073XL19QZ','It seems duplicate bag','1.0 out of 5 stars','Recently I purchased bag.But in first travel faced issue with chain lock. It looks like not a original product of American tourister.'
'B073XL19QZ','Travelmate','5.0 out of 5 stars','Spacious. Light weight'
'B073XL19QZ','Durability','5.0 out of 5 stars','The bag design is the best light weight but durable'
'B073XL19QZ','Not big not medium size bag','3.0 out of 5 stars','Bag size different than mentioned colour is good  doubtful about capacity upto 23kg .'
'B073XL19QZ','No sturdy at all,','2.0 out of 5 stars''flimsy bag after my 1st international trip with it itself i think it would not last another one.'
'B073XL19QZ','Economic trolley good features','4.0 out of 5 stars','Got at good offer price with nice packing'
'B073XL19QZ','Quality','4.0 out of 5 stars','Liked the capacity Didn’t like the flimsiness of the material'
'B073XL19QZ','Reasonably good for traveling.','5.0 out of 5 stars','It was for convenience and easy to use by single person. Just keep rolling the suitcases no need to put it on the cart.'
'B073XL19QZ','Super','5.0 out of 5 stars','Very big.Good product'
'B073XL19QZ','Best','5.0 out of 5 stars','Best product'
'B073XL19QZ','Decent and spacious','5.0 out of 5 stars','Decent and spacious'
'B073XL19QZ','Bakwas','1.0 out of 5 stars','Duplicate bag I want to return this bag'
