item,title,rating,body
'B0747WD32Q','Product is not good','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r3tcueani0xzd3_1697150418575""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-3862184-3476234""refMarkers:""vse_reviews_desktop_R3TCUEANI0XZD3_1697150418575_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""PA5E2WS9YET477XY2T3F""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3TCUEANI0XZD3""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3TCUEANI0XZD3_1697150418575_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/a0d6692d-8c50-46eb-bfda-1e63352176ea.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/697509d9-2120-4139-a01a-d603f33ea975/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R3TCUEANI0XZD3""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r3tcueani0xzd3_1697150418575-player-c6a45c04-e6ed-4998-978f-c15019f8ff33""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""PA5E2WS9YET477XY2T3F""pageAsin:""""sessionId:""257-3862184-3476234""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-3862184-3476234""refMarkers:""vse_reviews_desktop_R3TCUEANI0XZD3_1697150418575_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""PA5E2WS9YET477XY2T3F""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R3TCUEANI0XZD3""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R3TCUEANI0XZD3_1697150418575_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51KYcocMZzL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. by this belt 15 day belts buckle is broken'"
'B0747WD32Q','Good product','5.0 out of 5 stars','I lke'
'B0747WD32Q','Looks classy','5.0 out of 5 stars','Nice belt good quality. Value for money'
'B0747WD32Q','Product','4.0 out of 5 stars','Good product'
'B0747WD32Q','Good product!','4.0 out of 5 stars',"Color is same as shown in the picture. Just flip the buckle and ready to go. As a person who uses.brown and black formal shoes, this is worthy and material is good for everyday use. Don't tighten it too much or the blue starts separating. Wear it correctly for long life."
'B0747WD32Q','Nice','4.0 out of 5 stars','Value for money'
'B0747WD32Q','Buckle','1.0 out of 5 stars','Learher was not good buckle is worst'
'B0747WD32Q','Superb','5.0 out of 5 stars','Good product'
'B0747WD32Q','Not good Quality','3.0 out of 5 stars','Only avg quality'
'B0747WD32Q','Belt','1.0 out of 5 stars','The belt looks great as an image shown in the Amazon website. Looks not that great. The brown side is too dark. Personally I don’t like it. Returning is hassle. So I am keeping it.'
