item,title,rating,body
'B075MGGBL1','Park avenue deodorant','4.0 out of 5 stars','Product is good and has good fragrance'
'B075MGGBL1','Avenge','3.0 out of 5 stars','Fregren is very good but not long lasting.'
'B075MGGBL1','Best combo for cheap price','5.0 out of 5 stars','Best deo with good fragrance'
'B075MGGBL1','Fake or duplicate product','1.0 out of 5 stars',This is not an original park Avenue deodrant. It's duplicate product
'B075MGGBL1','Only gas.','2.0 out of 5 stars','Last 1-2 hour in normal day. Only gas. Smell - pink one smells -V john blue shaving cream. Blue one -dettol cool soap in mild sweetness.'
'B075MGGBL1','Very good','5.0 out of 5 stars','Good'
'B075MGGBL1','Bad product','1.0 out of 5 stars','This is not original I think this is duplicate 1 hr after use no smell'
'B075MGGBL1','Good','4.0 out of 5 stars','Worth'
'B075MGGBL1','Awesome','5.0 out of 5 stars','Smells great'
'B075MGGBL1','Best','5.0 out of 5 stars','Best'
'B075MGGBL1','1 among 3 is useless','4.0 out of 5 stars','1 among 3 is uselesstwo of them are (cool blue diamond)are goodbut wakeup is totally smell less only gas bottle'
'B075MGGBL1','Nice fregrance and Long Lasting','4.0 out of 5 stars','The three different types of fregrance makes you fresh after applying. Even it lasts long like arround 7hrs. I am satisfied.'
'B075MGGBL1','Nice combo in affordable prices','5.0 out of 5 stars','Good quality n useful products'
'B075MGGBL1','Not happy','1.0 out of 5 stars',Seems to be a fake product. Bottle cap not fixed properly. Fragrance doesn't stay long.
'B075MGGBL1','The perfume are good','5.0 out of 5 stars','I like the good morning perfume'
'B075MGGBL1','Long Lasting Fragrance.','5.0 out of 5 stars','Product is having great price.  Good fragrance and the original Park Avenue Collection.  Quick Delivery and the Value for the money'
'B075MGGBL1',"It's more like for morning, afternoon & evening application as those scents match times of day.",'5.0 out of 5 stars',"It's more like for morning, afternoon & evening application as those scents match those times of day. Value for $$"
'B075MGGBL1','Smell of deo is pathetic','1.0 out of 5 stars','Pathetic smell'
'B075MGGBL1','Not good at all. Left skin rashes and severe itchiness.','1.0 out of 5 stars','Not good at all. Left skin rashes and severe itchiness. Red rash areas around the spray area. Definitely avoid. All 3 bottles were similar. Had to dispose completely.'
'B075MGGBL1','Quality Scent','5.0 out of 5 stars','Nice product. Nice fragrance. Value for money.'
'B075MGGBL1','Fargi','1.0 out of 5 stars','This is FARGI.'
'B075MGGBL1','One pack found fully empty','1.0 out of 5 stars','I have purchased this last month and when received found one pack totally emptied and one 60% and last full..this is d mischief done wth me..don’t understand how ths happens..last time I had also purchased and found satisfactory…don’t know how to proceed further'
'B075MGGBL1','Best as price but not active for long-lasting','3.0 out of 5 stars',Product best as price. But perfume effect not working long it's just for 5 minutes to 10 hour around only.
'B075MGGBL1','Nice','5.0 out of 5 stars','VALUE 💯'
'B075MGGBL1','Satisfied my expectation','5.0 out of 5 stars','I recommend everyone to buy this product without any doubt.'
'B075MGGBL1','Bad experience','1.0 out of 5 stars',"Don't purchase. Out of three, two are almost empty."
'B075MGGBL1','AWOSOME product','4.0 out of 5 stars','Performance not good Teste lite Use body smell not life long'
'B075MGGBL1','Good product.','5.0 out of 5 stars','The purple one and blue one smells best.'
'B075MGGBL1','Good product','5.0 out of 5 stars','Good product'
'B075MGGBL1','Fragrance','4.0 out of 5 stars','Value for money'
'B075MGGBL1','Refreshing','5.0 out of 5 stars','Nice deodorant'
'B075MGGBL1','Its a fake product','1.0 out of 5 stars','Dont buy it... Only gas that lasts only 15 minutes.'
'B075MGGBL1','Not good product','1.0 out of 5 stars','Not good'
'B075MGGBL1','Half qty','1.0 out of 5 stars','Bottle main aadha hi deo hai'
'B075MGGBL1','Good one','5.0 out of 5 stars','Good one'
'B075MGGBL1','Bad experience','2.0 out of 5 stars','Very bad'
'B075MGGBL1','Average','2.0 out of 5 stars','Fragrance is not lasting'
'B075MGGBL1','Excellent','5.0 out of 5 stars','All the fragrance Awesome'
'B075MGGBL1','there was no seal on the cap','1.0 out of 5 stars','Very chip products. Perfume stay time maximum 1.5 hours. there was no seal on the cap'
'B075MGGBL1','Value for money','5.0 out of 5 stars','Nice fragrance'
'B075MGGBL1','Deo','5.0 out of 5 stars','Nice'
'B075MGGBL1',Don't waste your money on this product.,'3.0 out of 5 stars','Not good.'
'B075MGGBL1','Good packing and very nice smell','5.0 out of 5 stars','Smells of all three items are very nice. Long lasting smells. Very impressive .'
'B075MGGBL1','Good product','4.0 out of 5 stars','Quality was ok but not up to the mark.'
'B075MGGBL1','Fragrance','4.0 out of 5 stars','Good fragrance nice one orginal park Avenue collection it is'
'B075MGGBL1','Good','5.0 out of 5 stars','Good'
'B075MGGBL1','Horrible','1.0 out of 5 stars','Received used product'
'B075MGGBL1','Worst product','1.0 out of 5 stars','Low quality don’t buy'
'B075MGGBL1','Value for Money.','5.0 out of 5 stars','Great product at this price'
'B075MGGBL1','Good','3.0 out of 5 stars','Fregnence is average for a change'
