item,title,rating,body
'B075Y72PHZ','Fashionable','4.0 out of 5 stars','Attractive and durable'
'B075Y72PHZ','Not recommend','2.0 out of 5 stars',Initially looked good then it's threads started coming out in few months. I just carry one laptop and charger thru my car to office. Still all it's cloth started tearing. Very Bad
'B075Y72PHZ','Very good product','5.0 out of 5 stars','Very good product'
'B075Y72PHZ','Good laptop bag','5.0 out of 5 stars','For someone like who likes more of a sling bag this is also a good option. The bag has ample space and enough pockets to carry stuff. No space for bottle of water through outside. Rest all value for money.'
'B075Y72PHZ','Loved it','5.0 out of 5 stars','Nice light weight bag with enough pockets to store things. The laptop is also well padded and protected inside the bag. The bag is not stiff and so easy to carry along.'
'B075Y72PHZ','thik hai.','3.0 out of 5 stars','thik hai.'
'B075Y72PHZ','Defective product received','1.0 out of 5 stars','Defective product torn from inside'
'B075Y72PHZ','Best laptop bag ig','4.0 out of 5 stars',It's very comfortable. It's quite good
'B075Y72PHZ','Bad Lenovo bag','1.0 out of 5 stars',"Worst product, worst quality. Got bad within 8 months of use and now I'm unable to return it"
'B075Y72PHZ','Good one','4.0 out of 5 stars','Can use it for any laptop and the quality is good and durable'
'B075Y72PHZ','Everage as per cost','4.0 out of 5 stars',As per cost it's good
'B075Y72PHZ','Not as expected','2.0 out of 5 stars','Quality not as described in the pic very crumpled and shabby product......'
'B075Y72PHZ','Good but bit out of shape','4.0 out of 5 stars','Bag is quite good and fitting but recived in out of shape once started to use its back to that square shape'
'B075Y72PHZ','Low quality stitching','3.0 out of 5 stars',''
'B075Y72PHZ','The material and space is good','4.0 out of 5 stars','While carrying 2 laptops and all the accessories necessary. This bag has enough space for it.'
'B075Y72PHZ','Bag','1.0 out of 5 stars','Worst 😤'
'B075Y72PHZ','Price','5.0 out of 5 stars','Best in 500'
'B075Y72PHZ','Best product i bought on amazon','5.0 out of 5 stars','Its like i got everything in this price range.'
'B075Y72PHZ','Good to use','5.0 out of 5 stars','Achha prodcut nikla  abhi tk fata nahi hai'
'B075Y72PHZ','Poor quality','1.0 out of 5 stars','The quality of the bag is poor . It got torn in just 4-5 months from bottom . Not worthy according to price.'
'B075Y72PHZ','Value for money','4.0 out of 5 stars','Best for laptop carry bag and also useful for personal purpose.'
'B075Y72PHZ','Nice','4.0 out of 5 stars','Nice product'
'B075Y72PHZ','Quality of Upper layer material is bad','3.0 out of 5 stars',Quality is good inside material and space is also good. But the quality to top layer of material is bad and cheap polyester which doesn't give impressive look.
'B075Y72PHZ','Not premium','2.0 out of 5 stars','I bought for 499 but i checked other sites it shows 1000 so i thougt it was good buy but after receving the bag i was dispointed with the quality'
'B075Y72PHZ','Good','4.0 out of 5 stars',''
'B075Y72PHZ','Finishing or look not upto the mark as shown in pictures.','2.0 out of 5 stars','Finishing or look not upto the mark as shown in pictures. expected straight line edges however this is normal bag like as other bag.'
'B075Y72PHZ','Misleading Product: Looks Different from the Image','1.0 out of 5 stars',"I recently purchased the backpack from Amazon, and unfortunately, I'm disappointed with my purchase. The product I received looks significantly different from the image shown during the buying process.  Moreover, the design elements and overall construction of the backpack are not accurately represented in the product image. The materials used feel cheaper and less durable than I had anticipated. The stitching is not as neat and secure as shown, and the overall quality is underwhelming.  Overall, the disparity between the product received and the image shown on the Amazon listing is disappointing. The backpack's appearance, quality, and size differ significantly from what was presented, which has left me unsatisfied with my purchase."
'B075Y72PHZ','Worth of cost','5.0 out of 5 stars',"It's light weight, worth for price ."
'B075Y72PHZ','Bag Quality is decent','4.0 out of 5 stars',''
