item,title,rating,body
'B075Z4J346','The best quality','5.0 out of 5 stars',The quality of cloth sustains even after several washes. Elasticity to be increased little bit especially at thighs portion. Transparency is not there. Quite comfortable thickness. Overall it' quite good.
'B075Z4J346','Item received in good condition but there is size issue.','3.0 out of 5 stars','Size'
'B075Z4J346','Elastic very very bad','1.0 out of 5 stars','Elastic of the leggings was very bad... do not buy this product... complete money waste.'
'B075Z4J346','Good','5.0 out of 5 stars','Slightly different color from image'
'B075Z4J346','Very disappointed with the product quality','1.0 out of 5 stars','Quantity was very poor'
'B075Z4J346','Very good','4.0 out of 5 stars','Very good'
'B075Z4J346','Nice fabric...soft and stretchable','5.0 out of 5 stars','Got for it...thick fabric... quality is good'
'B075Z4J346',"Worst fit, legs are too thin, couldn't keep them on for 10 min",'1.0 out of 5 stars','Not good. Go for other brands like true spirit for 2xl'
'B075Z4J346','Good quality','4.0 out of 5 stars','Quality is good'
'B075Z4J346','Soooo soft and comfortable, but order bigger','4.0 out of 5 stars''Love these. I wanted comfortable and soft cotton. They are. But had to return a BIG size I bought. Basically 2 sizes too small. But love them once I got the right ones.'
'B075Z4J346','Excellent , well stitched, first well soft and very comfortable''5.0 out of 5 stars''Very very good quality..loved it fits well very comfortable.9k even after washing..no shrinkage.'
'B075Z4J346','Quality','5.0 out of 5 stars','Good fit and excellent quality'
'B075Z4J346','Good','5.0 out of 5 stars','superb quality perfect fit very nice.'
'B075Z4J346','Excellent!!','5.0 out of 5 stars','Lovely product I hv ordered 3xl n size-fit is Amazing highly recommend  buy it to believe it the best part the material is awesome n breathable.'
'B075Z4J346','Nice product','5.0 out of 5 stars','Good quality products 👌'
'B075Z4J346','Perfect','5.0 out of 5 stars',Very comfy and soft. The material just hugs and pulls in my my skin to give me good shape and extremely comfortable to wear all day long. And at the price you are getting it at! Buy 2 of each! It's worth it!!
'B075Z4J346','Size mentioned is incorrect','1.0 out of 5 stars','It does not fit'
'B075Z4J346','Quality','4.0 out of 5 stars','I. Like it so much So soft'
'B075Z4J346','Size','1.0 out of 5 stars','Product is not searchable and tight on waist and thighs.'
'B075Z4J346','Not good','3.0 out of 5 stars',I didn't like it
'B075Z4J346','Good quality','5.0 out of 5 stars','Very good quality n perfect size'
'B075Z4J346','Not satisfied','1.0 out of 5 stars','Not satisfied'
'B075Z4J346',Don't buy,'1.0 out of 5 stars','Material is not good. Ordered XL got S size'
'B075Z4J346','Average','1.0 out of 5 stars','Not good very very average'
'B075Z4J346','Good','4.0 out of 5 stars','Good quality. Worth buying'
'B075Z4J346','Used product delivered','1.0 out of 5 stars','Disappointed ☹️'
'B075Z4J346','Comfortable leggings','4.0 out of 5 stars','Its very comfortable and really liked it'
'B075Z4J346','About the type of material','2.0 out of 5 stars','Material is not good'
'B075Z4J346','Poor quality. Waste of Money','1.0 out of 5 stars','In First wear legging got holes. Very uncomfortable. Poor quality.'
'B075Z4J346','Ill fitting','2.0 out of 5 stars','The fit was not ok. Also material was not good for summer wear.'
'B075Z4J346','Irregularly sized throughout the length','2.0 out of 5 stars','This leggings has no particular size I ordered 4xl after reading reviews to order 2 sizes up as I was in a hurry and wanted this color. the hips are smaller than xxl in places the pant is matching l size in places xl in places a little bigger thzn xl but not equal to xxl as in orion/twin birds brands. The material is soft though not sure how it would have been after washing.Not at all worth.'
'B075Z4J346','Quality bad','1.0 out of 5 stars','Quality is too bad. Too thin. Got product without price tag'
'B075Z4J346','Worst fit for buy','1.0 out of 5 stars',I have recieved product on time .. but as i was out stationy return policy was expired.. so i have to keep this scrap... Stupid manufacturer.. they don't even know the size stitching properly even putting larger price .. how come.they seller this scrap to people... Need to order double larger size then us... Very disappointed
'B075Z4J346',Money west poor don't purchase,'1.0 out of 5 stars',Don't purchase
'B075Z4J346','Very worst product','1.0 out of 5 stars','Very very worst product'
'B075Z4J346','quality','5.0 out of 5 stars',it's too good quality to buy
'B075Z4J346','Ok','2.0 out of 5 stars','Ok'
'B075Z4J346','Suggestion','5.0 out of 5 stars',"I purchased 6xl. I love the material. Humble request , it would be nice if it's a bite stretchable near calf muscle and knees. Thanks"
'B075Z4J346','Quality leggins,but size issue','5.0 out of 5 stars''The leggings are of very good quality fabriconly issue is size.u need to order one size up.'
'B075Z4J346','Very bad','1.0 out of 5 stars','Size chota diya ha or quality b kharab ha 👎👎'
'B075Z4J346','Good one','5.0 out of 5 stars','Material better than lyra & other brands 👍🏼'
'B075Z4J346','Legins is not churidar','3.0 out of 5 stars','Quality is good .. but i select churidar legins .and you send me short legins.. very disappointed amezon.size is perfect .'
'B075Z4J346','Nice quality','4.0 out of 5 stars','Nice quality'
'B075Z4J346','A little smaller than expected','3.0 out of 5 stars','I found the garment smaller than expected the stretch was also less  so it sort of was tight on me.'
'B075Z4J346','Size','3.0 out of 5 stars',"As per Amazon suggestion ordered for XL, but this doesn't seems to be fitting as usual size. May be go for next size"
'B075Z4J346',It's Cotton leggings,'5.0 out of 5 stars',It's quality is 👌 worth for money
'B075Z4J346','Fitting is good. Even fabric','4.0 out of 5 stars','For self.'
'B075Z4J346','Narrow from bottom','3.0 out of 5 stars','Very narrow frm bottom'
'B075Z4J346','Good product','5.0 out of 5 stars','This was perfect but a bit loose at ankel Material is thick. Good product.'
'B075Z4J346','Bad product','1.0 out of 5 stars','Leggings hip elastic getten loose after first wash and too small in XXL. Waste of money.'
