item,title,rating,body
'B076BML23T','Looks Fantastic','5.0 out of 5 stars','Quite happy with the purchase the look and feel is premium and fantastic.'
'B076BML23T','A must buy','5.0 out of 5 stars',This is my 3rd time purchase. It is a quilt-cum-comforter. Can be used in all season. Very soft & light weight. Easily foldable & doesn't take much space on the bed. I have been using it since last 2years and i am very satisfied with the product.
'B076BML23T','Very good','4.0 out of 5 stars','Quality is good soft with nice finish. Colour is vibrant.'
'B076BML23T','Excellent product','5.0 out of 5 stars',"Very happy with the comforter. Dual tone looks nice and it's quite warm for slightly chilly nights. Not warm enough for winter but great for mild cold, fan, air conditioned room. Very easy to fold and store. Delivered in one day. Very satisfied"
'B076BML23T','Worst quality','1.0 out of 5 stars',I don't like that wality n material
'B076BML23T','Utility','5.0 out of 5 stars','Very nice. Very lightweight. Warm. Worth it.'
'B076BML23T','Satisfied','5.0 out of 5 stars','I liked product very much planned to put anoth er 2 more orders'
'B076BML23T','Nice blanket','5.0 out of 5 stars','Good product'
'B076BML23T','Worth every penny - Super Comfy','5.0 out of 5 stars',"The media could not be loaded. Product I received was exactly as shown in the picture. It was prettier in real. The packaging was impressive. The quality of the comforter is incredible. Its got a delicate, cottony touch which I loved the most. The material is dense as it says 200 GSM, the higher the number of GSM, the denser the cloth is. Initially, I was skeptical to buy this product as there were mixed reviews about it, but I thought to give it a try. And I am loving it. The only drawback is, its a little crumpled. But an iron is always at rescue. I will iron it lightly. Otherwise, trust me it is a saviour, as I am a person who loves to set the AC to 17 degree all night. It has definitely solved my purpose. Worth every penny!!! Go ahead and buy it, and you'll know it!! Thanks Amazon <3"
'B076BML23T','Quality is not good.','5.0 out of 5 stars','Quality is not good at all for comparing the value'
'B076BML23T','Great product','5.0 out of 5 stars','The product is very cosy and comfortable slip in and hou will feel the warmth. Great product for Bengaluru weather.'
'B076BML23T','Very nic','5.0 out of 5 stars','Very nice product'
'B076BML23T','Excellent value for money.','5.0 out of 5 stars','Good 👍'
'B076BML23T','Must buy','5.0 out of 5 stars','I purchased this blanket 2 years ago & I am still using it this product is worth every penny. This product is highly recommended.'
'B076BML23T','First look and feel','4.0 out of 5 stars','The media could not be loaded. The packaging was good but it was a little torn from the top corner of the box but the product was fine inside. When I opened the plastic wrap… The first impression was great it’s look and feel is great worth the money at this price point…but when I started unfolding it I saw dirt and dust on the comforter l it was not clean… so I checked the whole comforter to see if there’s any blotch or pockmark on it but other than dirt and dust there was nothing. SO THE FINAL REVIEW IS go for this brand Solimo and this product if your budget is low and you want that luxury feel and comfort.'
