item,title,rating,body
'B077T3BG5L','Product is not working','1.0 out of 5 stars','Product is not working'
'B077T3BG5L','bad product','1.0 out of 5 stars','very bad'
'B077T3BG5L','Best buy','4.0 out of 5 stars','Good keyboard must buy'
'B077T3BG5L',Keys aren't working,'1.0 out of 5 stars','0 star money wasted.'
'B077T3BG5L',Good for the price. But don't expect much!,'5.0 out of 5 stars','The keyboard is good with a lot of feature keys. I have been using it for around 3 years now. It is working fine for daily work but does not work well during gaming. Not suitable for fast typing and the build quality is weak. But for the price it is good.'
'B077T3BG5L','Key and wire both not good condition within 3 months.','1.0 out of 5 stars','The media could not be loaded. Quality'
'B077T3BG5L','worst product','1.0 out of 5 stars','You press other it Types something else and lags'
'B077T3BG5L','many keys not working & no return option','1.0 out of 5 stars','many keys not working & no return option'
'B077T3BG5L','👍','4.0 out of 5 stars','Good'
'B077T3BG5L','3rd class products','2.0 out of 5 stars',After 10 to 15 days keyboard keys is to hard Doesn't work properly
'B077T3BG5L','Waste of money.','1.0 out of 5 stars','Of no use. Keeps disconnecting every 10 seconds.'
'B077T3BG5L','Bad quality','1.0 out of 5 stars','I prefer to buy little more expensive keyboard'
'B077T3BG5L','Good','4.0 out of 5 stars','Good'
'B077T3BG5L','STOPPED WORKING!!!','1.0 out of 5 stars','STOPPED WORKING!!!'
'B077T3BG5L','Defective keyboard','1.0 out of 5 stars','Keyboard defective piece received Replacement not received till date'
'B077T3BG5L','Best product','5.0 out of 5 stars','Go for it'
'B077T3BG5L','Nice','3.0 out of 5 stars','Nice yaaar nice yaar nice very nice wonderful very full money nice very nice yaar lovely o Sam nice lovely'
'B077T3BG5L','Good','4.0 out of 5 stars','Good'
'B077T3BG5L','Worst. Stopped working after 1 year. Chinese product .','1.0 out of 5 stars','Not good. Keys got loosened and it stopped working.'
'B077T3BG5L','Cheap quality material used','1.0 out of 5 stars','Keys are not good...gives a cheap touch and very difficult to type with them continuously...not at all a soft or silent....can avoid buying it'
'B077T3BG5L','Bad & Worst product','1.0 out of 5 stars','Never buy it'
