item,title,rating,body
'B0799C44B7','Very nice','5.0 out of 5 stars','Gripsize are ok.'
'B0799C44B7','Superb design','5.0 out of 5 stars','Good knife must buy'
'B0799C44B7','Gud quality & prompt delivery','5.0 out of 5 stars','Very gud product'
'B0799C44B7','Very good','4.0 out of 5 stars','Excellent at this price range'
'B0799C44B7','Perfect','5.0 out of 5 stars',"Nothing much to say, its an Amazon brand and it's just perfect. Highly recommended."
'B0799C44B7','It is not steel, it is rusting.','1.0 out of 5 stars''When I order the product after two or three days it start rusting and now after a month I am not able to use this.'
'B0799C44B7','Superb product','5.0 out of 5 stars',''
'B0799C44B7',Could be more sharp but it's still a great purchase for the price,'4.0 out of 5 stars',It could be a lot more sharper and smoother but at this price it's really great and a pretty decent knife set overall.  No complaints really besides the lack of a proper sheathe.
'B0799C44B7','Broken tip on the first day, cheapest quality knife ever seen in my life','1.0 out of 5 stars''The media could not be loaded. Cheap metals are used like 3rd grade. Knife brokes suddenly All 3 knifes has broken while cutting normal oil packets and vegetables'
'B0799C44B7','Great product','5.0 out of 5 stars',It's great just the handle is not that good in quality
'B0799C44B7','Shap and good edge','5.0 out of 5 stars','It is sharp which made easy to cut. I recommend you to buy it .'
'B0799C44B7','Good','5.0 out of 5 stars','Nice product 👌'
'B0799C44B7','Very sharp','5.0 out of 5 stars','3 pics are very nice and sharp 👌👍'
'B0799C44B7','Just wow','5.0 out of 5 stars','Very Very sharp i just love it'
'B0799C44B7','Really really sharp.','5.0 out of 5 stars','Possibly the definition of “sharp as a blade.” The knives are indeed razor sharp and sturdy. Cuts meat including pork fat and skin like butter! Beware some may find it a bit too sharp. My maid won’t touch the knives as she thinks they are dangerously sharp!'
'B0799C44B7','Good product. Go for it','5.0 out of 5 stars','Truly value for money'
'B0799C44B7','Worst knife , made in China',"'2.0 out of 5 stars'There are three quantity of knife, one large one medium and one small but the large knife is broke from it's handle, it's very poor and disgusting product, and the knife Quality is very bad"
'B0799C44B7','good','3.0 out of 5 stars','The smallest one has got the best sharpness....all 3 of them works fine..not very sharp so chnces of cut is not thr....good for this price range...'
'B0799C44B7','Fair Enough','3.0 out of 5 stars','It is a decent knife set. however not that sturdy. Though they look sturdy.'
'B0799C44B7','Amazing products','5.0 out of 5 stars','My mom loved it!'
'B0799C44B7','Very bad sharpness','1.0 out of 5 stars',"After using one month, it's show that it's worth of money"
'B0799C44B7',Don't buy,'2.0 out of 5 stars',Poor quality. Don't buy
'B0799C44B7','Good Knife','5.0 out of 5 stars','Nice set of knives'
'B0799C44B7','Very sharp','5.0 out of 5 stars','Excellent'
'B0799C44B7','great product for the budget','5.0 out of 5 stars',"this are awesome knives. all the three are of good quality. u basically good a fruit cutting knife, vegetables cutting knife and a big knife which is generally used for cutting meat but it's fun to use for big vegetables also. they look same like in the picture."
'B0799C44B7','can speak neither bad nor good medium','2.0 out of 5 stars','If the knife is to be used everyday then there is no special power in it like not buying it.'
'B0799C44B7','Bad experience','1.0 out of 5 stars','Got used item'
'B0799C44B7','good','4.0 out of 5 stars','Steel is good and also sharp but handle no guarantee for handle bcoz it is plastic.'
'B0799C44B7','The company is the best','5.0 out of 5 stars','It is the best quality knife'
'B0799C44B7','Good product','5.0 out of 5 stars','Very good product and sharp knife Value for money'
'B0799C44B7','Go for it','5.0 out of 5 stars','Very nice product.Quality is good.'
'B0799C44B7','Sturdy & Sharp','5.0 out of 5 stars','I was looking for a nice set of knives and I truly felt delighted after using this set of knives. Sharp sturdy & nice design. Worth it.'
'B0799C44B7',Beat from Amazon's own home.,'5.0 out of 5 stars',"Won't 'mince' any more words and make this review lengthy. Will cut it short and keep it a one liner. It Cuts veggies like a Katana on a bamboo. Gift it to the Uma Thurman of your house. Also make sure to blunt the point of the knife on an emery paper, nail file or just on your kitchen granite (if the Boss allows you). It pokes like a needle if handled in a wrong way. Not an ordinary knife. Handle with Care or keep a Bandage in Spare. Also the one liner I promised- It's SHARP. :D"
'B0799C44B7','Excellent knife','5.0 out of 5 stars','The knives are in very good quality'
'B0799C44B7','Good shape and sharp enough','4.0 out of 5 stars','This is in good shape and sharp enough.'
'B0799C44B7',It's waste of money,'2.0 out of 5 stars',It's sharpness gone under 1 month of use. Very bad experience. Don't buy.
'B0799C44B7','Worst','1.0 out of 5 stars',Not sharp. It can't even cut vegetables properly.
'B0799C44B7','Not worth the money','3.0 out of 5 stars',They didn't looked as good when they were delivered. I didn't find them worth the price so it was returned
'B0799C44B7','Must have for every kitchen','5.0 out of 5 stars','Is Nike has got its use and there drop the product quality is very good and strong it must have for every kitchen.'
'B0799C44B7','Hopeless','1.0 out of 5 stars',Don't go for it. They are quite blunt. Waste of money
'B0799C44B7','Worth it!!','5.0 out of 5 stars',The knives are of good quality and are ergonomic to handle. If you want knives that are not on the heavy side and want sharp knives go for it. It's totally worth it!
