item,title,rating,body
'B079M5SS8Y','MRP is less than price mentioned','1.0 out of 5 stars','Not good faded'
'B079M5SS8Y','Appearance','5.0 out of 5 stars',''
'B079M5SS8Y','Old stock pencils','1.0 out of 5 stars','Old stock'
'B079M5SS8Y','Bad quality','1.0 out of 5 stars','Quality is inferior'
'B079M5SS8Y',You don't get what you see,'1.0 out of 5 stars',"These pencil are not of good quality, most of them are of dull colours from outside and kachchi pencil which breaks upon sharpening...I had bought them for looks as I thought my child may feel excited to see pretty pencils, they aren't even that..."
'B079M5SS8Y','Product rate hisab se jiyada liya gaya hai','1.0 out of 5 stars','Product acha hai but amount jiyada liya gaya hai 40 rupees ka ek pack hai 5 pack hai toh 200 rupees hota hai par amount 260 liya jaraha hai plz calculate amount liya kare.'
'B079M5SS8Y','Ok','5.0 out of 5 stars','Too costly each packet has MRP 50Rs. But I got these in Rs. 261.'
'B079M5SS8Y','Very nice','2.0 out of 5 stars','Very good my product.'
'B079M5SS8Y','Good quality','5.0 out of 5 stars','Worth buying guys'
'B079M5SS8Y','Worst Quality','1.0 out of 5 stars',"It's Suppose to be a Gift, or for usage purpose. U only sharpen it till then end wishing for One little Led to wait for you to use.. but nothing till the end. So can't use...."
'B079M5SS8Y','Good Quality as described','5.0 out of 5 stars','Good Quality as described'
'B079M5SS8Y','Good dark pancil','5.0 out of 5 stars','Dark lid n sharp Easley... Nice pencils.......'
'B079M5SS8Y','Don’t Buy Dis product, worst Quality','1.0 out of 5 stars''Very bad quality Money waste'
'B079M5SS8Y','Not good at all','1.0 out of 5 stars','Print on pencils is very light... Wooden quality is very bad.. I thought Natraj pencils were so good.. But far better pencils are there in market at lower price...'
'B079M5SS8Y','Good','2.0 out of 5 stars','Good'
'B079M5SS8Y',Natraj pencil's,'5.0 out of 5 stars',The media could not be loaded. Nice pencil's
'B079M5SS8Y','Not at par','1.0 out of 5 stars','Item different from display'
'B079M5SS8Y','Very bad','1.0 out of 5 stars','Bad bad'
'B079M5SS8Y','Lead Not dark enough.. & wood quality is weak.','1.0 out of 5 stars','Not dark enough for kids.. Wood not gud quality.. Print on the pencil is not gud.'
'B079M5SS8Y','Not good','1.0 out of 5 stars','Pencil quality is not good'
'B079M5SS8Y','Good product','4.0 out of 5 stars','Nice'
'B079M5SS8Y','Good product...','5.0 out of 5 stars','Good quality...'
'B079M5SS8Y',Didn't get what had ordered for. All the packs are the same,'1.0 out of 5 stars','Received just one sort of pencil.'
'B079M5SS8Y','Nice Quality','5.0 out of 5 stars','Nice Quality'
'B079M5SS8Y','Good','4.0 out of 5 stars','Good'
'B079M5SS8Y','what to pencil then take it this one','5.0 out of 5 stars','good quality pencils'
'B079M5SS8Y','Ok','3.0 out of 5 stars','The wood is of bad quality'
'B079M5SS8Y','Need to improve quality','1.0 out of 5 stars','Pencil black led quality is poor when writting not in dark black  need to improve quality. IT SHOULD BE HB'
'B079M5SS8Y','Not a good purchase','1.0 out of 5 stars',"This product is not good, not upto the mark . Quality of the pencil is cheap .. so don't buy ..."
'B079M5SS8Y','Not up to the mark','1.0 out of 5 stars','Dis product is not as shown in picture The print of pencils are same  Very disappointed'
'B079M5SS8Y','Same color and design . Worst experience😡','1.0 out of 5 stars','Worst . Never buy it. It shows different colors of pencil but when i receive the parcel . they all are same color. And design even quality is not so good. 1 st time I am disappointed with Amazone 😡😡😡'
'B079M5SS8Y','Product not as shown','1.0 out of 5 stars','Product not shown as in the pic.....not at all happy'
'B079M5SS8Y','Average product','3.0 out of 5 stars','Average product'
'B079M5SS8Y','Quality bad','1.0 out of 5 stars','Third class pencil'
'B079M5SS8Y','Ok ok wala hai','3.0 out of 5 stars','Little disappointed coz it was showing 5 boxes with different colour but i got 2 yellow 2 red and one pink ......😖😖  Well never mind but pencils are good...👍'
'B079M5SS8Y','Natraj Pencil 50 Pics Pack.','1.0 out of 5 stars','Dislike Quality is very bad Quantity not delivered as per order all Pencil Boxes was opened.'
'B079M5SS8Y','Wasted','2.0 out of 5 stars',Does not write dark don't buy
'B079M5SS8Y','Nice','4.0 out of 5 stars','Little shorter then other pencils but dark and beautiful.'
'B079M5SS8Y','Very bad','1.0 out of 5 stars','Zero star rating .very worst'
'B079M5SS8Y','Fake pricing ...poor quality product','1.0 out of 5 stars',Don't buy this ...this seller is cheating ..i returned them back...waste product
'B079M5SS8Y','Not satisfied','1.0 out of 5 stars','Total fraud .total mprice is just 150 N they show 300 .cheat'
'B079M5SS8Y','Worst','1.0 out of 5 stars','Not worth the money and price is more than MRP'
'B079M5SS8Y','Quality is not good','2.0 out of 5 stars','Bad quality'
'B079M5SS8Y','Ok','1.0 out of 5 stars','Ok'
'B079M5SS8Y','Nataraj pencil','3.0 out of 5 stars',It's not same as picture because all colors are same and it look like old pencil bit disappointed with nataraj pencil.
'B079M5SS8Y','Best pencils','5.0 out of 5 stars','Good quality pencils fully satisfied'
'B079M5SS8Y','All pencil are same','3.0 out of 5 stars','All pencil are same colour not just like the picture.colour is like old pencil.'
'B079M5SS8Y','Ok product','3.0 out of 5 stars','Good'
'B079M5SS8Y','Good','5.0 out of 5 stars','Nice'
