item,title,rating,body
'B079QKGNB9','18 pcs only..','2.0 out of 5 stars','Good buy...but rcvd only 18 pcs.'
'B079QKGNB9','Poor quality..','2.0 out of 5 stars','Its only good to look at rest when it comes about writing the lead gets breaked ecen at sharpening time so u can never write... BAD Product....'
'B079QKGNB9','Good','3.0 out of 5 stars','Good but it could be cheaper'
'B079QKGNB9','Worst quality.','1.0 out of 5 stars','Its breaking while writing. Returned'
'B079QKGNB9','Beautiful packaging','4.0 out of 5 stars','Really really Gud product with beautiful packaging.'
'B079QKGNB9','V.good product','4.0 out of 5 stars','I Like this product too much'
'B079QKGNB9','Poor quality pencils','1.0 out of 5 stars','Only decorative poor quality pencils cannot sharp it lead broke all the time.'
'B079QKGNB9','Missing','4.0 out of 5 stars','We got only 22 pencils  quality is ok'
'B079QKGNB9','Pencil not good','3.0 out of 5 stars','Quality not good.point breaking always..'
'B079QKGNB9','Poor quality','1.0 out of 5 stars','Very poor quality'
'B079QKGNB9','On time delivery','5.0 out of 5 stars','Good quality pencils with lovely packaging delivered on time!'
'B079QKGNB9','Product missing','1.0 out of 5 stars','Instead of 24 pieces of pencils received 23 pieces only. I need this gift pack on urgent basis otherwise I will return and refund my amount. This is simply cheating with customer. Amazon should take necessary action on this.'
'B079QKGNB9','Quality','1.0 out of 5 stars','Bad quality'
'B079QKGNB9','Nice','3.0 out of 5 stars','The pencils and toppers were all good..however each pencil had to be wiped clean. Not sure if it was storage dust or what...overall were nice.'
'B079QKGNB9','Cute pencils','5.0 out of 5 stars','The packing is good for gifting purpose. And u have different different character earser on each pencils.'
'B079QKGNB9','Don’t buy','1.0 out of 5 stars','The pencils don’t sharpen well the plastic cover comes off and leaves a wooden stick behind. The erasers are very good. Thank you.'
'B079QKGNB9','Love it','5.0 out of 5 stars','Beautiful rubbers and beautifully packed'
'B079QKGNB9','Very bad quality','1.0 out of 5 stars','I am prime member of Amazon but this product is very bad quality I never brought pencil from Amazon'
'B079QKGNB9','Nice gift for kids.','5.0 out of 5 stars','Received as was shown. Happy with the pencils. Nice gift for kids.'
'B079QKGNB9','8 Pencil is missing','5.0 out of 5 stars',''
'B079QKGNB9','speechless','1.0 out of 5 stars','no words to say product is very bad'
'B079QKGNB9','Not matching photo','1.0 out of 5 stars','Rubbers were very dirty and different from those shown in picture Poor quality'
'B079QKGNB9','Good quality','5.0 out of 5 stars','wonderful pencils...with differently shaped erasers ...really nice'
'B079QKGNB9','Don’t buy','1.0 out of 5 stars','Worst'
'B079QKGNB9','Ordered one received another','3.0 out of 5 stars',''
'B079QKGNB9','Average looking','2.0 out of 5 stars','I ordered these because they looked nice. What we got were not very nice looking and look very tacky'
'B079QKGNB9','Very bad quality. Received only 22 out of 24 pencils','1.0 out of 5 stars','Very bad quality. Received only 22 out of 24 pencils'
'B079QKGNB9','Wrong item','1.0 out of 5 stars','Not received as ordered and received only 23 pieces instead of 24'
'B079QKGNB9','Poor quality','1.0 out of 5 stars','Poor quality wood is used waste of money although the eraser is good.'
'B079QKGNB9','Good','2.0 out of 5 stars','The erasers were nice in use but the pencils can not even sharp the wood quality used in pencils is very bad but erasers are very nice.'
'B079QKGNB9','बहुत ही खराब है','5.0 out of 5 stars','कोई काम की नहीं है'
'B079QKGNB9','bad quality pencil but looks nyc with erasers','2.0 out of 5 stars','dint get to use only sharpenin again n again.... waste of money'
'B079QKGNB9','Quality of erasers','3.0 out of 5 stars','As a return gift.Few erasers were damaged'
'B079QKGNB9','Not satisfied','2.0 out of 5 stars','I gave a message in the box. But the message was not mentioned. Lack of due diligence. Not satisfied customer.'
'B079QKGNB9','Ok','2.0 out of 5 stars','Nice but I got all the erasers were broken in two pieces'
'B079QKGNB9','👌👌','4.0 out of 5 stars','Very nice product quality was good... happy for this'
'B079QKGNB9','okok','3.0 out of 5 stars','This product is ok 😊but i got 4 pencil damages'
'B079QKGNB9','Not happy','2.0 out of 5 stars','Not happy some are damaged not happy with packing but i erases well'
'B079QKGNB9','Bad quality','1.0 out of 5 stars','Disappointed. Very bad quality. Broken box broken pencils.'
'B079QKGNB9','Bad product','1.0 out of 5 stars','Bad product'
'B079QKGNB9','Not quality','1.0 out of 5 stars','Not worthy..product totally waste for money'
'B079QKGNB9','Horrible pencil quality','1.0 out of 5 stars',"Horrible quality of the pencil. Not able to sharp and if we sharpen it, it's very hard n cutting into pieces. Waste of money. Don't give it as return gift."
'B079QKGNB9','Excellent','5.0 out of 5 stars','In time delivery and items received were very good.'
'B079QKGNB9','Good, value for money','4.0 out of 5 stars''Very good return gift'
'B079QKGNB9','Good for Birthday return gift','5.0 out of 5 stars','They are pretty looking well packed individual pieces ( covering the eraser & half the pencil) They look nice to give away as birthday return gift. Worth the money spent.'
'B079QKGNB9','Overall product is good','3.0 out of 5 stars','Average product but kids are happy'
'B079QKGNB9','excellent','5.0 out of 5 stars','Good for return gift'
'B079QKGNB9','Average','3.0 out of 5 stars','Average'
'B079QKGNB9','Okk okk product','4.0 out of 5 stars','Pencils are not good to write'
'B079QKGNB9','Not','1.0 out of 5 stars',Don't buy
