item,title,rating,body
'B07BFBNFSF','Value for money','4.0 out of 5 stars','Premium quality'
'B07BFBNFSF','Awesome','5.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r132qprwn0jfmp_1697113915930""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-8804067-4144002""refMarkers:""vse_reviews_desktop_R132QPRWN0JFMP_1697113915930_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""KFSZRHVK4SWVDMR3BSN9""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R132QPRWN0JFMP""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R132QPRWN0JFMP_1697113915930_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/719cd630-a756-4818-8227-c0bc11a07119/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R132QPRWN0JFMP""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r132qprwn0jfmp_1697113915930-player-adef5c25-a5ba-4100-bc2d-ae326bdc7ded""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""KFSZRHVK4SWVDMR3BSN9""pageAsin:""""sessionId:""257-8804067-4144002""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-8804067-4144002""refMarkers:""vse_reviews_desktop_R132QPRWN0JFMP_1697113915930_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""KFSZRHVK4SWVDMR3BSN9""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R132QPRWN0JFMP""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R132QPRWN0JFMP_1697113915930_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61HZ3FzKiWL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. This product is very good.'"
'B07BFBNFSF',"Poor quality bottles, didn't last for 3 months",'2.0 out of 5 stars','The caps of 2 out of the 5 bottles are already damaged within 3 months of purchasing. Disappointed by the poor quality.  Not recommended. Please go ahead with Tupperware bottles.'
'B07BFBNFSF','After using two months, smell giving out from it.','3.0 out of 5 stars''two months smell giving out from it.'
'B07BFBNFSF','Useful','4.0 out of 5 stars','Bahut hi achi product'
'B07BFBNFSF','Cello vence','5.0 out of 5 stars','Nice quality is good 👍'
'B07BFBNFSF','Okay Okay','2.0 out of 5 stars',"1. The bottle isn't the sturdiest. You can squeeze the bottle. The Plastic isn't that hard. But it's usable. Not a big deal.  2. The cap however has a band as shown in the picture and it's loose. It doesn't stick to the cap well. So if you open the bottle, it gets stuck on the mouth of the bottle. You have to manually remove it each time and refix it on the cap. Pretty annoying if you're on the go. If you discard the band, water will leak."
'B07BFBNFSF','Good product','5.0 out of 5 stars',''
'B07BFBNFSF','Good','4.0 out of 5 stars','Veryy good'
'B07BFBNFSF','Plastic quality is good.','5.0 out of 5 stars','Value for money.'
'B07BFBNFSF','Water Bottle','5.0 out of 5 stars','Value'
'B07BFBNFSF','Poor quality caps','1.0 out of 5 stars','Bottle caps gets break within few days. Caps are of very poor quality'
'B07BFBNFSF','Awesome Product','5.0 out of 5 stars','I really recommend you to buy this product awesome quality.'
'B07BFBNFSF','Not dishwasher safe!','2.0 out of 5 stars','Bottles got all misshapen when put in the dishwasher not a sturdy set of bottles. Avoid buying if you plan to clean it in a dishwasher or with hot water.'
'B07BFBNFSF','Very bad material','1.0 out of 5 stars','Bottle Plastic Materials isn’t good also bottle cap is creaking on one day.  West of money'
'B07BFBNFSF','Nice product','3.0 out of 5 stars','The media could not be loaded. Cap bhut jaldi tut rha hai'
'B07BFBNFSF','please check before dispatch','3.0 out of 5 stars','we have order combo set of five bottlesone of the bottle cap is missing'
'B07BFBNFSF','Quality of the Product','5.0 out of 5 stars','Fridge bottle is very good and I received the original product and you get the return window also for 10 days which makes it more trustable.'
'B07BFBNFSF','Good product 😄','4.0 out of 5 stars','I really appreciate it 😊🙏'
'B07BFBNFSF','Best product','5.0 out of 5 stars','Good quality leak proof 👍'
'B07BFBNFSF','Awesome','5.0 out of 5 stars','Awesome product. Value for money. Good design. Good colour range leakage proof. Compact.'
'B07BFBNFSF','Its cap quality is very poor...','1.0 out of 5 stars','Its cap quality is very poor... My 4 bottle caps started having cracks from day 3. I would only recommend this if you like bottle with no caps...'
'B07BFBNFSF','Value for money','5.0 out of 5 stars','The media could not be loaded.'
'B07BFBNFSF','Good','5.0 out of 5 stars','Good'
'B07BFBNFSF','Good quality','5.0 out of 5 stars','Product is good quality'
'B07BFBNFSF','Excellent product','5.0 out of 5 stars','Amazing colors and sturdy'
'B07BFBNFSF','Good one','4.0 out of 5 stars','Good quality plastic'
'B07BFBNFSF','GOOD','5.0 out of 5 stars','product looks good automatic cracks are developing in cap.'
'B07BFBNFSF','Good quality','5.0 out of 5 stars','Good quality and nice colours'
'B07BFBNFSF','The product quality is too good !','5.0 out of 5 stars','Affordable good durable'
'B07BFBNFSF','Bottle colour and product is good','3.0 out of 5 stars','Bottle product is nice but lid of bottle is breakable'
'B07BFBNFSF','Value for money','5.0 out of 5 stars','a must buy'
'B07BFBNFSF','Authentic Plastic bottles','5.0 out of 5 stars','These are a must have it is strong and looks good too! At this price it is way more valuable.'
'B07BFBNFSF','Its crack','1.0 out of 5 stars','The media could not be loaded. I Dislike this bottle. One bottle is crack'
'B07BFBNFSF','Poor quality','1.0 out of 5 stars','The cap of the bottles are getting cracked after 9 to 10 days automatically..'
'B07BFBNFSF','Strongly recommend not to purchase 🚫','1.0 out of 5 stars','Will break after one or two falls. Cap breaks easily if you close it a little bit tight. Not worth to buy.'
'B07BFBNFSF','Best Bottle.','5.0 out of 5 stars','This bottle is very good than other brands like milton.Very satisfied with the purchase.Found it cheaper than the flipkart and market.'
'B07BFBNFSF','Low quality item','1.0 out of 5 stars','Bottle cap will crake in 1-2 drop'
'B07BFBNFSF','Value for Money','5.0 out of 5 stars','Nice product. Reasonable price'
'B07BFBNFSF','Best','5.0 out of 5 stars','great quality'
'B07BFBNFSF','Great Quality Product','5.0 out of 5 stars','Its not about the quality its about how you use it.'
'B07BFBNFSF','Caps are broken within 1 month','2.0 out of 5 stars','Caps are broken within 1 month'
'B07BFBNFSF','Best bottls','5.0 out of 5 stars','Best quality...n nice colours'
'B07BFBNFSF','Good as expected','5.0 out of 5 stars','Nice product'
'B07BFBNFSF','Not buying again','1.0 out of 5 stars','Not good'
'B07BFBNFSF','Awesome product','5.0 out of 5 stars',"Awesome bottles and looking elegant, it has rubber inside the cap that make it's leak proof."
'B07BFBNFSF','Nice','5.0 out of 5 stars','Best bottle'
'B07BFBNFSF','Broken the caps within 1 days','1.0 out of 5 stars','Not buy items from amazone. Poor quality'
'B07BFBNFSF','Cello Venice Water Bottle 1000Ml','5.0 out of 5 stars','Very nice product of cello venice water bottle 1000ml.'
'B07BFBNFSF','Great Deal','5.0 out of 5 stars',"Bottle colours are good, it is pretty durable and shape is also easy to fit in hand and bags, didn't notice any leaks after continuous use. Great deal for this price."
