item,title,rating,body
'B07BWBB729','different from picture shown','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2zg2z9z1iblqv_1697143988561""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""262-8984774-3181860""refMarkers:""vse_reviews_desktop_R2ZG2Z9Z1IBLQV_1697143988561_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""5B8N6X1Z161ZRXF44HHF""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2ZG2Z9Z1IBLQV""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2ZG2Z9Z1IBLQV_1697143988561_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/31d9776a-66ec-4890-9b92-e86c9566aabd.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/f082f457-a11c-4774-8700-390d4fd2d10f/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2ZG2Z9Z1IBLQV""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2zg2z9z1iblqv_1697143988561-player-b0a23a87-5aaf-4cb4-bfea-22253ccda665""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""5B8N6X1Z161ZRXF44HHF""pageAsin:""""sessionId:""262-8984774-3181860""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""262-8984774-3181860""refMarkers:""vse_reviews_desktop_R2ZG2Z9Z1IBLQV_1697143988561_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""5B8N6X1Z161ZRXF44HHF""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2ZG2Z9Z1IBLQV""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2ZG2Z9Z1IBLQV_1697143988561_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/514tKCLDZzL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. brand is also not the same'"
'B07BWBB729','Goox','4.0 out of 5 stars','Like'
'B07BWBB729',"Doesn't goes in thumb and fingers, but good in quality",'4.0 out of 5 stars',"Doesn't goes in thumb and fingers, but good in quality"
'B07BWBB729','Good product in good price','5.0 out of 5 stars','.'
'B07BWBB729','Good','5.0 out of 5 stars','Good product valve for money easy comfort durable handy sleeky attractive perfect one for perfection al ways reliable economical Rrr ttt'
'B07BWBB729','Bakwaas','1.0 out of 5 stars',"Worst. Very Costly it is, given the size of this scissors. Won't recommend to anyone"
'B07BWBB729','Small size not 8 inch','3.0 out of 5 stars','Size not worth'
'B07BWBB729','Gud','5.0 out of 5 stars','Nice'
'B07BWBB729','Good product.','4.0 out of 5 stars','Thumbs up for this As it comes in the range and it very comfortable. Nevertheless I Loved the packaging and the quality of the product.'
'B07BWBB729','Good product','5.0 out of 5 stars','Good multipurpose use'
'B07BWBB729','Needs improvement','3.0 out of 5 stars','Only the leading edge cuts'
'B07BWBB729','Good at this price','4.0 out of 5 stars','Good at this price'
'B07BWBB729',The dimensions of the scissor mentioned in the photo doesn't match with the item sent to me.,'1.0 out of 5 stars','I required a bigger scissor & I received a small one.'
'B07BWBB729','dimension is 15 cm and not 20 as described','1.0 out of 5 stars','The item dimension was mentioned as 20 cm but the actual dimension is much smaller only 15 cm. If I had known this before purchase I would have not purchased it. Since the item is non returnable I am stuck with it and tricked into buying it.'
'B07BWBB729','Good product','3.0 out of 5 stars','Very good'
'B07BWBB729','Rusted after some time. Not stainless steel','1.0 out of 5 stars','Rusted after some time. Not stainless steel'
'B07BWBB729','Happy with the purchase','5.0 out of 5 stars','Happy with the purchase'
'B07BWBB729','Excellent','5.0 out of 5 stars','No rust. Genuine Valuable Usage friendly Nice look Good sharp cutting edges'
'B07BWBB729','Useful','4.0 out of 5 stars','Good product'
'B07BWBB729','Nice','4.0 out of 5 stars','Nice'
'B07BWBB729','Not good for money','2.0 out of 5 stars','Small one'
'B07BWBB729','Good','4.0 out of 5 stars','Good. Small size.'
'B07BWBB729','Perfectly matches in its category','5.0 out of 5 stars','Perfectly matches in its category'
'B07BWBB729','Good scissor','5.0 out of 5 stars','Value for money'
'B07BWBB729','Recommend','5.0 out of 5 stars','Good and a sharp product'
'B07BWBB729','Quality','4.0 out of 5 stars','Good'
'B07BWBB729','Good product','5.0 out of 5 stars','i like it'
'B07BWBB729','Ok','5.0 out of 5 stars','Nice but little costly ...'
'B07BWBB729','Good product','4.0 out of 5 stars','Good and sharp scissors'
'B07BWBB729','Worthless','1.0 out of 5 stars','Not at all good'
'B07BWBB729','Good','5.0 out of 5 stars','Good simple scissors'
'B07BWBB729','Average quality scissors','3.0 out of 5 stars','Not the sharpest of scissors. The size is convenient for its purpose.'
'B07BWBB729','Too small','1.0 out of 5 stars',It's a a small scissor. About the length of your palm and fingers. But looks big in the Pic. Returned it
'B07BWBB729','Nice.','5.0 out of 5 stars','Nice product sharp one and price worthy'
'B07BWBB729','Nice product','4.0 out of 5 stars','Very good for home office ...Using in first aid box'
'B07BWBB729','Built is good','4.0 out of 5 stars','just as 3xpected'
'B07BWBB729','Not found as expected','1.0 out of 5 stars','Found small size Not found as expected as per image'
'B07BWBB729','Good','4.0 out of 5 stars','Value of money'
'B07BWBB729','Its ok','4.0 out of 5 stars','Its good but tough to insert hand in both curves'
'B07BWBB729','Value for money','5.0 out of 5 stars','Good quality'
'B07BWBB729','Ok','5.0 out of 5 stars','Ok'
'B07BWBB729','Good','4.0 out of 5 stars','Nice and steady one.'
'B07BWBB729','Good Quality','5.0 out of 5 stars','Good Build Quality. Good for multi Purpose use.'
'B07BWBB729','Good','4.0 out of 5 stars','Good quality scissors. thank you team Amazon'
'B07BWBB729','Too small for fingers','2.0 out of 5 stars','Low quality product and small size'
'B07BWBB729','Medium quality','3.0 out of 5 stars','Quality is okay . It’s very hard'
'B07BWBB729','good','5.0 out of 5 stars','note the size. make sure its the one you want. overall good.'
