item,title,rating,body
'B07CKY9K93','One Stop solution to kitchen cutting needs','5.0 out of 5 stars','One Stop solution to kitchen cutting needs Value for money. Go for itmust have in kitchen. It will speed up the cooking'
'B07CKY9K93','Easy to handle, sharp, Works really well for others items''4.0 out of 5 stars''Just 2-3days of initial handling make you expert to use it. Make sure you run it correctly while cutting. (hecksaw motion for best result) Easy to handle sharp Works really well for others items.'
'B07CKY9K93','👍🏻','4.0 out of 5 stars','Good'
'B07CKY9K93','Sharpe ness, Julien cuts','5.0 out of 5 stars''High quality steel consistently implemented for everyday morning kitchen works to be very quick and perfect. Recommended for all cooking lovers.'
'B07CKY9K93','Good One','5.0 out of 5 stars','Good One'
'B07CKY9K93','Very sharp','4.0 out of 5 stars','Good for chopping tomatoes'
'B07CKY9K93','Value for Money','4.0 out of 5 stars','Good one and recommendable product'
'B07CKY9K93','Good','3.0 out of 5 stars','Good 👍'
'B07CKY9K93','Very nice 👍🏻','5.0 out of 5 stars','Good excellent'
'B07CKY9K93','Excellent Product','5.0 out of 5 stars','Strongly recommend 👌'
'B07CKY9K93','Not good quality','1.0 out of 5 stars','Not good quality'
'B07CKY9K93','Very useful','5.0 out of 5 stars','Does its work wonderfully'
'B07CKY9K93','Good product','5.0 out of 5 stars','Good product size is small'
'B07CKY9K93','One of the best knife from Glare','5.0 out of 5 stars','This is my second one ...One of the best knife from Glare...edges are just fine to make thinnest slice... Superb product!'
'B07CKY9K93','Very sharp knife with a sturdy handle','4.0 out of 5 stars',"The first thing to notice about the knife after I took it out was how sharp the serrated edge is. You will definitely need to be careful while using it, because their is a risk of getting your fingers cut. It cuts through most vegetables and fruits that I have tried this far by without any effort.  The handle also looks sturdy and doesn't buckle at all even when a little pressure is applied. The knife edge will last i am certain, whether the handle is durable, will have to wait and see. Looks good as well. Definitely worth the price."
'B07CKY9K93','Nice product','5.0 out of 5 stars','Very sharp and good quality'
'B07CKY9K93','Excellent','5.0 out of 5 stars','Very sharp and good'
'B07CKY9K93',It's nice and sharp,'5.0 out of 5 stars','Can easily cut tomatoes'
'B07CKY9K93','Very good knife for tomato cutting.','5.0 out of 5 stars','Best'
'B07CKY9K93','Very sharp','5.0 out of 5 stars','Good useful'
'B07CKY9K93','Been using this for a year now','5.0 out of 5 stars','I have been using this product for a year now and my maid was so impressed with it she wanted me to order one for her. I ordered one for her. This is not exactly the same brand as I am using but looks like same product with different label. Will update the review soon.'
'B07CKY9K93','The Tomato knife','5.0 out of 5 stars','MY DIL bought me this knife on her last visit to India. I cant tell you how perfect it is to pare any kind of fruit. Its great ofcourse to chop tomatoes but it also does a lot of other stuff.  Buy one or GIFT it if you are a cook. Makes life so much simpler and easy.  Marianne'
'B07CKY9K93','Rubber handle will disintegrate over time','4.0 out of 5 stars','The knife’s edge will last longer than the rubber handle.'
'B07CKY9K93','👍 excellent','5.0 out of 5 stars','Very good product Cuts very sharp Excellent for cooking 👍👍👍👍👍👍👍'
'B07CKY9K93','Super','5.0 out of 5 stars','Items is very good and use full'
'B07CKY9K93','Bill torn. Shot handle.','3.0 out of 5 stars','The product arrived with the MRP information torn on purpose what looks like. The handle as well as the blade are shorter than an earlier tomato knife from ace. Its also made of a grain thinner steel so flexes a bit in cutting.'
'B07CKY9K93','Very sharp ..good one','5.0 out of 5 stars','Nice 🔪'
'B07CKY9K93','V good knife','5.0 out of 5 stars','Good product'
