item,title,rating,body
'B07CZP59RM','Worst','1.0 out of 5 stars','Easily broken Not even withstand 2nd class kids pressure. Worst.'
'B07CZP59RM','Good one','5.0 out of 5 stars','Good one'
'B07CZP59RM','Nice','5.0 out of 5 stars','Colour  J'
'B07CZP59RM','Very good writing','5.0 out of 5 stars','Nice n smooth... No sharpening issues... Very good'
'B07CZP59RM','Good product','5.0 out of 5 stars','I like this product'
'B07CZP59RM','Missing items','3.0 out of 5 stars','Sharpener and eraser are missing.'
'B07CZP59RM','Rylan watch','4.0 out of 5 stars','Excellent product'
'B07CZP59RM','Fine writing','5.0 out of 5 stars','Good quality'
'B07CZP59RM','Horrible bad','1.0 out of 5 stars','Horrible one broken into pieces one was missing and one was used. Wow. Who has time to keep on exchanging products and returning. Please check what is dispatch'
'B07CZP59RM','Good quality product','5.0 out of 5 stars','Very nice and attractive pencils. Girl child will love it mine one is very happy'
'B07CZP59RM','Boxes are not sealed','1.0 out of 5 stars','There are 9 pencils in one of the pack. Disappointed.'
'B07CZP59RM','Grate product','5.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r76iygps3w3pa_1697136180553""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8526918-3515121""refMarkers:""vse_reviews_desktop_R76IYGPS3W3PA_1697136180553_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""X5V0P9ETNCJPQ7PKGWNJ""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R76IYGPS3W3PA""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R76IYGPS3W3PA_1697136180553_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/1e25cbba-6372-4cf3-83d7-e5bf80994508/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R76IYGPS3W3PA""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r76iygps3w3pa_1697136180553-player-96de2679-e1d4-4dc4-ac99-d1f1e227a2e5""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""X5V0P9ETNCJPQ7PKGWNJ""pageAsin:""""sessionId:""260-8526918-3515121""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8526918-3515121""refMarkers:""vse_reviews_desktop_R76IYGPS3W3PA_1697136180553_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""X5V0P9ETNCJPQ7PKGWNJ""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R76IYGPS3W3PA""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R76IYGPS3W3PA_1697136180553_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51nwc6GVG8L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Loved this pencils...it was very useful for good handwriting. .My daughter loved this ...'"
'B07CZP59RM','Worth','5.0 out of 5 stars','Like'
'B07CZP59RM','Only 9 pencils were there','2.0 out of 5 stars','Only 9 pencils were there. Packet of the pencil was opened'
'B07CZP59RM','Always used Apsara. Old user!','5.0 out of 5 stars','Old user!'
'B07CZP59RM','Useless','1.0 out of 5 stars','Very bad product … just waste of money .. all u can do is sharpen it all the time n point breaks n u lose ur time only in sharpening them'
'B07CZP59RM','Ok','4.0 out of 5 stars','In one box 1 pencil was missing.. otherwise overall good purchase'
'B07CZP59RM','Bad Quality','1.0 out of 5 stars','Pencils are only beautiful but they do not do the job they are meant for. The lead does not sustain needing a sharpening again and again. Very weak lead also leading to dirtying hands.'
'B07CZP59RM','My daughter loved it','5.0 out of 5 stars','My daughter is a big fan of Disney princess. She liked the pencils very much. Thanks!'
'B07CZP59RM','Good','5.0 out of 5 stars','Descent'
'B07CZP59RM','Nice product','5.0 out of 5 stars','My 8 year old loved it.'
'B07CZP59RM','Dark pencils','5.0 out of 5 stars','Always good'
'B07CZP59RM','Worse pencil','3.0 out of 5 stars',"I am giving you all a valuable free advice, don't waste your money on this product."
'B07CZP59RM','Best','5.0 out of 5 stars','As says extra dark'
'B07CZP59RM','Quality','5.0 out of 5 stars','Good'
'B07CZP59RM','We','5.0 out of 5 stars','I liked it .I used as nose hair trimmer'
'B07CZP59RM','I love apsara dark pencil for writing, but 1 eraser is missing in the package','5.0 out of 5 stars''I love apsara dark pencil for writing but 1 eraser is missing in the package'
'B07CZP59RM','Waste of money..quality was too low','5.0 out of 5 stars',''
'B07CZP59RM','Good','5.0 out of 5 stars','Good'
'B07CZP59RM','Worst Ever','1.0 out of 5 stars','The tip of the pencil break whenever I sharp it.i could not use a single pencil from the box. Going to throw all the pencil in Dustbin. Worst worst...'
'B07CZP59RM','Sharpner is missing and box damaged','1.0 out of 5 stars','Sharpner is missing'
'B07CZP59RM','This is worst order that I have received so far','4.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rt6ymg5t112k8_1697136188555""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8526918-3515121""refMarkers:""vse_reviews_desktop_RT6YMG5T112K8_1697136188555_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""GMCXQS7TH46DB0J7XWT6""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RT6YMG5T112K8""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RT6YMG5T112K8_1697136188555_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/34e33cdf-4ba5-4e41-8d98-6a5749f0aef7.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/4d53f6e9-75c0-46f9-bffc-27e15a8093a3/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RT6YMG5T112K8""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rt6ymg5t112k8_1697136188555-player-49b9b90c-6afd-4208-8fe7-41a141915463""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""GMCXQS7TH46DB0J7XWT6""pageAsin:""""sessionId:""260-8526918-3515121""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-8526918-3515121""refMarkers:""vse_reviews_desktop_RT6YMG5T112K8_1697136188555_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""GMCXQS7TH46DB0J7XWT6""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RT6YMG5T112K8""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RT6YMG5T112K8_1697136188555_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51c9mTm1MtL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Received only 13 pocket out of twenty. Product got damage also'"
'B07CZP59RM','So cute','5.0 out of 5 stars',''
'B07CZP59RM','Cheating','1.0 out of 5 stars','I got only one pack'
'B07CZP59RM','Good quality product.','5.0 out of 5 stars','Happy with the buy. Very good quality. Works good on all the surfaces. I specially ordered these pencils for glass bottle marking'
'B07CZP59RM','Limited purpose use','1.0 out of 5 stars',Keeps breaking and doesn't even show up when layered on oil pastels. I I I I I I I I I I
'B07CZP59RM','Best quality products','5.0 out of 5 stars',It's good product value of money
'B07CZP59RM','Eraser is missing and some pencils are damaged','2.0 out of 5 stars','Poor'
'B07CZP59RM','Good product..','4.0 out of 5 stars','I like the product.'
