item,title,rating,body
'B07D6MZSFZ','Very bad quality','1.0 out of 5 stars',Very bad quality I don't recommend to buy
'B07D6MZSFZ','Good','4.0 out of 5 stars','Good'
'B07D6MZSFZ','Comfort','4.0 out of 5 stars','Feel good'
'B07D6MZSFZ','Worst quality material','1.0 out of 5 stars','The media could not be loaded. The colour of the pant is losing even after the first wash . After doing each wash the pant become more faded'
'B07D6MZSFZ','Material','5.0 out of 5 stars',Good product from urbano fashion. Thanks. But the one I bought before in white colour had the belt loops. This one don't have those loops. That's the problem. Anyway thanks.
'B07D6MZSFZ','Easy to wear','5.0 out of 5 stars','Perfect fitting'
'B07D6MZSFZ','Qulity very bad an smell also very bad','1.0 out of 5 stars','No good qulity.. Very old product. Smell like fungus..'
'B07D6MZSFZ','Size difference','1.0 out of 5 stars','Size difference and not as we expected'
'B07D6MZSFZ','Comfort','5.0 out of 5 stars','Good'
'B07D6MZSFZ','Exchange','1.0 out of 5 stars','Pant is big in size'
'B07D6MZSFZ','WORTH IT.....','4.0 out of 5 stars','NICE MATERIAL OF THIS JOGGER...98%COTTON AND 2%ELASTANE.... I THINK THIS IS THE BEST JOGGER UNDER 700 Must Buy....VALUE FOR MONEY'
'B07D6MZSFZ','Good quality','4.0 out of 5 stars','Quality is good but not have ZIP'
'B07D6MZSFZ','Size issue','3.0 out of 5 stars','Its good alsoo and not alsoo'
'B07D6MZSFZ','Nice survive sir','5.0 out of 5 stars','Ilike amazon products'
'B07D6MZSFZ','Tie lace should be better','4.0 out of 5 stars','Overall good'
'B07D6MZSFZ','Waste','1.0 out of 5 stars','Do not choose this one.... fitting also irritating'
'B07D6MZSFZ','Product is good but low quality','3.0 out of 5 stars',"I bought this product twice and the first time I bought, it has good quality and overall it's perfect and value for money but the second time product has quality issues, when I compared both i understood that there is difference in quality and waste of money"
'B07D6MZSFZ','Superb product','5.0 out of 5 stars','Worth it fitting and quality is good.'
'B07D6MZSFZ','Good jeans, it is like a pyjama with string','5.0 out of 5 stars''It has strings and elastic. The fit otherwise is good. Looks good so I kept it and didnt return. I did not expect the elastic waist band.'
'B07D6MZSFZ','Different product','1.0 out of 5 stars',''
