item,title,rating,body
'B07DPTVQN7','Colore..','4.0 out of 5 stars',Overall febric material is good But the color which shown on picture... Is not actually what we get... It's more brighter in picture but little more dull in real ( Maroon) color.
'B07DPTVQN7','Worthy','4.0 out of 5 stars','Fitting'
'B07DPTVQN7','Used product','1.0 out of 5 stars','Used product no proper packing'
'B07DPTVQN7','Thickness','5.0 out of 5 stars','Amazing for light winters'
'B07DPTVQN7','Awesome quality','5.0 out of 5 stars',It's very good swat shirt for winter and quality is very good
'B07DPTVQN7','Full T-Sat','4.0 out of 5 stars','Good but also big on S size.'
'B07DPTVQN7','Colour and Quality also not that muc compar to grey colour','2.0 out of 5 stars','Compare to grey melange to maroone colour is dull and quality also not that much'
'B07DPTVQN7','Worst packing','3.0 out of 5 stars','Product is goodbut need to be maintain the proper packing before dispatch the product.'
'B07DPTVQN7',Don't buy worst product,'1.0 out of 5 stars',Price high but product is poor quality only one washing and product damaged so i suggest all Amazon buyer don't buy this product
'B07DPTVQN7','Useless Clothe','1.0 out of 5 stars','Don’t buy from here go to offline stores'
'B07DPTVQN7','Good','3.0 out of 5 stars','Fabric smoothness good but colour fainted at 1 wash'
'B07DPTVQN7','Best quality','5.0 out of 5 stars','Good for mild winter and stylish with bright colour'
'B07DPTVQN7','Setisfy Gray Melange & Not Setisfy Navy','5.0 out of 5 stars',"'You say amazon if I want to give details on this *grey melange* item is very nice but perfect material is good what is very good thing is that the item is exactly as shown on the item and delivered to my doorstep. Delivered the price is small so it can be called ""Allen Solly"" brand name  ***If I Want To Give Details On This *navy* Item The *navy* Is Very Useless Yes Even At The Price Of ₹809 The Material Cannot Be Said To Be Branded At All The Quality Is Different The One *grey melange* Is Very Nice It Is Called Perfect ""Alan Soli"" Brand.... Who Solved My Problem Thank You Very Much ""Amazon\' & ""Alan Soli\' Seller.'"
'B07DPTVQN7','Good quality ✔️','4.0 out of 5 stars',''
'B07DPTVQN7','Fabric','3.0 out of 5 stars','Colour Fading'
'B07DPTVQN7','Package was open','1.0 out of 5 stars','While receiving the package the item was open not sure whether the product is guine was replaced'
'B07DPTVQN7','Not So Good','2.0 out of 5 stars','Looked Good When It Arrived But It Has Fabric Pilling In Just 2-3 Washes.'
'B07DPTVQN7','Allen solly sweatshirt','3.0 out of 5 stars','Ease of cleaning'
'B07DPTVQN7','Nice','5.0 out of 5 stars','Look good'
'B07DPTVQN7','Quality','4.0 out of 5 stars',"Really I love the stitching quality,orange color and fabric awesome but the XL size look likes L because I bought XL and tight in chest. I will say if u want XL than go with XXL that's correct fit in chest."
'B07DPTVQN7','Awesome grey and black.','5.0 out of 5 stars','I have ordered greyblack and orange out of which grey and black are just awesome.Orange is suitable for colder regions or climate.Value for money.Fitting is good.Fabric and color awesome.'
'B07DPTVQN7','Best for the Value - Quality and Material','5.0 out of 5 stars','Quality rest assured Best in class material ans Awesome Stiching make it comfortable to wear'
'B07DPTVQN7','Looks as branded','5.0 out of 5 stars','The look is good n fitting also…looks as a branded wear..you can definitely buy this.'
'B07DPTVQN7','Amazing 🤩','5.0 out of 5 stars','Amazing 😍🤩'
'B07DPTVQN7','Great','5.0 out of 5 stars','Best sweatshirt i hav ever purchased. It is thick and comfortable'
'B07DPTVQN7','superb quality','5.0 out of 5 stars','Awesome fabric. I love to wear it'
'B07DPTVQN7','Perfect fit, moderately woolen material, has discreet pockets''4.0 out of 5 stars''The sweatshirt was a perfect fit. The sleeves are at the right length and the length was also just right. I found out that it had pockets too after 2 uses but they are kept far towards the sides. Would highly recommend if you like sweatshirts in general.'
'B07DPTVQN7','Excellent solly','5.0 out of 5 stars','Super product'
'B07DPTVQN7','So so','3.0 out of 5 stars','So so'
'B07DPTVQN7','Best quality product','5.0 out of 5 stars','Love this using from 3 years till no colour loss'
'B07DPTVQN7','Not good','2.0 out of 5 stars','Lost its color very fast'
'B07DPTVQN7','Good','4.0 out of 5 stars','Good quality'
'B07DPTVQN7','Cozy','5.0 out of 5 stars','Fabric stuff is good.Wearing is comfortable. Size is best fitting.color is excellent. Looks very good.Quite cozy and warm.Prise is best and affordable.'
'B07DPTVQN7','After Wash','4.0 out of 5 stars','GOOD material'
'B07DPTVQN7','Good','4.0 out of 5 stars','Product is good'
'B07DPTVQN7','Material quality is not good','3.0 out of 5 stars','color is good'
'B07DPTVQN7','Good','5.0 out of 5 stars','Its good'
'B07DPTVQN7','Price','5.0 out of 5 stars',"I got it for 900 and its colour looks perfect and the fit is good. So yes, it's a thumbs-up 👍"
'B07DPTVQN7','Quality was good enough.','4.0 out of 5 stars','Good fit and quality of production'
'B07DPTVQN7','Suggestable','4.0 out of 5 stars','Only winter season it is useful like sweater'
'B07DPTVQN7','Nice','3.0 out of 5 stars','Same product as ordered'
'B07DPTVQN7','Fabric is good','4.0 out of 5 stars','I love the product'
'B07DPTVQN7','Average','1.0 out of 5 stars','Average not so good'
'B07DPTVQN7','Good','1.0 out of 5 stars','Very good'
'B07DPTVQN7','Collouer is low quality','1.0 out of 5 stars','Not good'
'B07DPTVQN7','నాణ్యమైన క్వాలిటీ అందించారు మీకు మా హృదయపూర్వక ధన్యవాదాలు','4.0 out of 5 stars','మాట తప్పనిది మడమ తిప్పనిది నీ సర్వీస్'
'B07DPTVQN7','WORTH EVERY PENNY BEST FOR WINTER','5.0 out of 5 stars','WORTH EVERY PENNY BEST FOR WINTER'
'B07DPTVQN7',It's quality very poor,'1.0 out of 5 stars','Very very bad quality'
'B07DPTVQN7',Allen Solly Men's Cotton Crew Neck Sweatshirt,'5.0 out of 5 stars',"Liked, Good to wear the Allen solly crewed sweatshirt.And it makes me warm all times and it doesn't get cool in any season or weather but it's comfortable to wear.I will surely recommend this Product to buy. Disclaimer : It may vary from person to person."
'B07DPTVQN7','Sweatshirt','5.0 out of 5 stars','I bought this product twice.the product is very good and warm also.'
