item,title,rating,body
'B07HL7FW8R','Value for money','5.0 out of 5 stars','Fit to size decent quality product quality to cost product.'
'B07HL7FW8R','Worst experience','2.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2l90uxg582jay_1697124974898""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-3880715-9444916""refMarkers:""vse_reviews_desktop_R2L90UXG582JAY_1697124974898_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""YF57206GF91NN3YTHZS7""customerId:""0""sessionType:1}mimeType:""video/mp4""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2L90UXG582JAY""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2L90UXG582JAY_1697124974898_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/I/B1GDIKsAqpL.mp4""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2L90UXG582JAY""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2l90uxg582jay_1697124974898-player-eb436973-bb81-4696-b711-75d450160d44""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""YF57206GF91NN3YTHZS7""pageAsin:""""sessionId:""259-3880715-9444916""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-3880715-9444916""refMarkers:""vse_reviews_desktop_R2L90UXG582JAY_1697124974898_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""YF57206GF91NN3YTHZS7""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2L90UXG582JAY""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2L90UXG582JAY_1697124974898_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/91yiHxe9T6L._SY256.png""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa0-:- Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. The media could not be loaded either because the server or network failed or because the format is not supported. Product not same as shown in advertise after that i accept the product but after one day used the thread come out from stitch. I am very disappointed with it.'"
'B07HL7FW8R','Its a used product','1.0 out of 5 stars','Totally west of money like used product I cont imagine by the Amazon'
'B07HL7FW8R','Nice product','4.0 out of 5 stars','Minimum price top quality product'
'B07HL7FW8R','Fast delivery','5.0 out of 5 stars','Fabric is too good according to price good cloth and colour is same in the shown'
'B07HL7FW8R','The product seems to be a used one.','1.0 out of 5 stars','The product seems to be a used one'
'B07HL7FW8R','Jeans','5.0 out of 5 stars','Weast is 1 inch extended'
'B07HL7FW8R','Worst product','1.0 out of 5 stars','Amazon is cheating xtremly.when i ordered the product which i get the product is the quality of the product is worst than actual.'
'B07HL7FW8R','Mast','5.0 out of 5 stars','Good Product'
'B07HL7FW8R','Average product','2.0 out of 5 stars','Benmartin brand total flop hota ja rha hai.. Image me kuchh or hai aur mila kuchh or hi product.. Quality going to wrost day by day..'
'B07HL7FW8R','Fit is not appropriate','1.0 out of 5 stars','I have returned the jeans.'
'B07HL7FW8R','As shown in the Amazon Website','5.0 out of 5 stars','Quality is good for this price. As shown in Amazon website.'
'B07HL7FW8R','Nice','5.0 out of 5 stars','Good quality'
'B07HL7FW8R',It's old stock product aftone or two wash it's damage,'1.0 out of 5 stars',"Don't purchase this product , seller send old stock product which is after 1or 2 time wash it's destroy."
'B07HL7FW8R','Product can need improvement','3.0 out of 5 stars','Product can be improved in the colour accuracy and quality'
'B07HL7FW8R','Worst quality','1.0 out of 5 stars',"Please don't buy. Very thin, worst product. Not recommended. Please go for brand. This looks poor."
'B07HL7FW8R','Cheating','1.0 out of 5 stars','Material was nothing. Colour got faded from the first day'
'B07HL7FW8R','Good one','3.0 out of 5 stars','Product arrived at destination but delivery came late after one week so look into this every thing is ok'
'B07HL7FW8R','Not comfortable, very bad .same brand was good in previous order','5.0 out of 5 stars''Not good same brand previous order was good.'
'B07HL7FW8R','I think just below my expectations','3.0 out of 5 stars','Not bad  just avg'
'B07HL7FW8R','Good','5.0 out of 5 stars','Size is perfect.'
'B07HL7FW8R','Good','4.0 out of 5 stars','Good quality'
'B07HL7FW8R','Product is not good','1.0 out of 5 stars','Product is not good Quality for this'
'B07HL7FW8R','Got something else','4.0 out of 5 stars','I received different product but the jeans i received is also good and i liked it. In this price range jeans i received is good. I bought this in nearly 450'
'B07HL7FW8R','Faded jeans','3.0 out of 5 stars','Ordered solid jeans but received faded also colour is light compared to shown on site.'
'B07HL7FW8R','Good','4.0 out of 5 stars','Perfect'
'B07HL7FW8R','Very low quality jeans','1.0 out of 5 stars','I have received very low quality jeans👖'
'B07HL7FW8R','Comfort','4.0 out of 5 stars','Nice Product'
'B07HL7FW8R','Very cheap and not at all slim fit','1.0 out of 5 stars','Cheap quality'
'B07HL7FW8R','Basically the colour was totally different but the quality is nice.. An it fits good','4.0 out of 5 stars',''
'B07HL7FW8R','Very good jeans','5.0 out of 5 stars','Too comfortable exact size. No need to cut the bottom as length is perfectly fine. Very good quality.'
'B07HL7FW8R','nice fit','5.0 out of 5 stars','very nice'
'B07HL7FW8R','Good','4.0 out of 5 stars','Good'
'B07HL7FW8R','Pant ko return nehi kar para hu','1.0 out of 5 stars','Pant leke fass gaya .size men garbor han.return police to han lekin kam nehi karta .abb keya karu samajh men nehi ara han.pant ko fek dene parega..ar kabhi amazon se kuch nehi kharidunga......'
'B07HL7FW8R','Quality is very poor.','1.0 out of 5 stars','Quality is not good after the wash jeans colour dull and have some pluck out thigh.'
'B07HL7FW8R','good Product','4.0 out of 5 stars','Super nice product  good cloth and stitching'
'B07HL7FW8R','Not slim fit, approx. loose like tampered.','4.0 out of 5 stars''Slightly loose like tampered fit not completely slim fit. Thread of back pockets should be light like hidden not showing more.'
'B07HL7FW8R','Good','5.0 out of 5 stars','Good'
'B07HL7FW8R','Size not match perfectly','3.0 out of 5 stars','Size not match'
'B07HL7FW8R','Quality issue.','3.0 out of 5 stars','Fitting is good but the quality is compromised. The cloth is rough and low quality. After one wash it started bubbling.'
'B07HL7FW8R','Good as per the price','3.0 out of 5 stars','Good product'
'B07HL7FW8R','Good product','5.0 out of 5 stars','I reshaped it to look stylish'
'B07HL7FW8R','Waste of money','1.0 out of 5 stars','I just use one time quality is too poor'
'B07HL7FW8R','Product quality is not good looks like old','1.0 out of 5 stars','Poor fabric Quality'
'B07HL7FW8R','POOREST QUALITY AND FABRIC LOOKS LIKE 50RS CLOTH, THIN CLOTH DOES NOT HAVE JEANS QUALITY','1.0 out of 5 stars''POOREST QUALITY AND FABRIC LOOKS LIKE 50RS CLOTH THIN CLOTH DOES NOT HAVE JEANS QUALITY NEVER EVER PURCHASE IT DO NOT FALL IN ANY TRAP AFTER SEEING SUCH WONDERFULL UPLOADED PICS BY SELLER'
'B07HL7FW8R','Comfort size and quality is according to price','4.0 out of 5 stars','Good jeans'
'B07HL7FW8R','There is one cut in pent','3.0 out of 5 stars',''
'B07HL7FW8R','Weste of money','1.0 out of 5 stars','Small size'
'B07HL7FW8R','This is very poor','1.0 out of 5 stars','The is very poor'
'B07HL7FW8R','Good product','4.0 out of 5 stars','Nice quality and good product I am impressed 👍'
