item,title,rating,body
'B07KXV46RH','Not long lasting','3.0 out of 5 stars','Good but after washing color and fabric looks old'
'B07KXV46RH','Good Quality and Nice Fit','5.0 out of 5 stars','Good Quality and Nice Fit'
'B07KXV46RH','Good quality','4.0 out of 5 stars','Worth the price paid. Fits well. Looks good'
'B07KXV46RH','Value for money','4.0 out of 5 stars','Good quality material well stitched. Could have been better if length was 1 inch longer. Certainly value for money. Odd no. sizes if made could be great.'
'B07KXV46RH','Very bad product','1.0 out of 5 stars','Very dirty colour colour vanishes after one wash . Recommend not to buy it. Worst product ever.'
'B07KXV46RH','Best fitting','5.0 out of 5 stars','Best product'
'B07KXV46RH','Excellent quality','5.0 out of 5 stars','I ordered for my husband and he is very Happy with the product.'
'B07KXV46RH','Good','4.0 out of 5 stars','Good quality'
'B07KXV46RH','Ordered 2nd time good shorts','5.0 out of 5 stars','Comfortable and very sturdy fabric. Good for outdoor activities'
'B07KXV46RH','Not satisfied 😕.....','1.0 out of 5 stars','Dislike'
'B07KXV46RH','Short brown','3.0 out of 5 stars','Color is little different from image; fitting is also not good.. one size bigger even though other short of the same size matches in length'
'B07KXV46RH','Poor Quality','1.0 out of 5 stars','Very poor quality cloth for an expensive item.'
'B07KXV46RH','Old and used product!!!!','1.0 out of 5 stars','First time on Amazon I am cheated!!! The product is used one. Not fitting. Size is not matching according to the size mentioned. Very bad experience 😞'
'B07KXV46RH','Value for money','4.0 out of 5 stars','The media could not be loaded. 5 me se 4 rating dunga mai'
'B07KXV46RH','Not good','3.0 out of 5 stars','Very Tight'
'B07KXV46RH','It’s not pure cotton','2.0 out of 5 stars','The product is not pure cotton fabric'
'B07KXV46RH','Size not proper','1.0 out of 5 stars','Size is too small as per shown. Otherwise good fabric'
'B07KXV46RH','Super fitting and quality','5.0 out of 5 stars','Super fitting and quality'
'B07KXV46RH','If you want to order 32 size, order 34. Seems they do not follow standard size.','1.0 out of 5 stars''If you want to order 32 size order 34. Seems they do not follow standard size.'
'B07KXV46RH','Material vise cost is more','3.0 out of 5 stars','Material type is not so good.its avg at that price'
'B07KXV46RH','Men’s shorts!!','5.0 out of 5 stars','Comfort.'
'B07KXV46RH','Short pant','5.0 out of 5 stars','Very very good'
'B07KXV46RH','Ok','3.0 out of 5 stars','Ok ok type.'
'B07KXV46RH','Good fit and material','4.0 out of 5 stars','Fit and material v good ..valuefor money'
'B07KXV46RH','Good','4.0 out of 5 stars','Good'
'B07KXV46RH','Awesome','5.0 out of 5 stars','Awesome'
'B07KXV46RH','Perfect size','5.0 out of 5 stars','Good product'
'B07KXV46RH','As expected','4.0 out of 5 stars','Nice product.... fit for casual wear as well as home wear. colour is also good.'
'B07KXV46RH','good fabric and fit','4.0 out of 5 stars','Fabric and fit is good. Good for summers.'
'B07KXV46RH','Review of purchase of shorts','5.0 out of 5 stars','Product is very good and very comfortable to wear. But one thing the product tag shows it is 30 whereas actually it is 32 inches. So I have to size it for my waist to 30inches. The seller must take note of this for future reference.'
'B07KXV46RH','Order one size larger than your usual.','4.0 out of 5 stars',"Well, first things first: the shorts are of good quality and quite comfortable. The only thing I'd like to advise is, order one size above what you usually wear. I always wear size 36 and I ordered accordingly. But, when I tried it on, it was a very tight fit. Hence, I decided to get it replaced with a larger size i.e size 38. It was an almost perfect fit."
'B07KXV46RH','No quality control','1.0 out of 5 stars','Had to return the shorts as the right hand side didn’t have a pocket ie when you put your hand in the size of the pocket was about 2 inches.  What a waste.  They manufacture but don’t do any quality control'
'B07KXV46RH','Totally bad. Don buy it. Please amazon exchange service is too much bad.','1.0 out of 5 stars','Nothing is good in this product.'
'B07KXV46RH','Size','3.0 out of 5 stars','Size is not as per measure tape. If someone has 32 waist then go with 30 size.'
'B07KXV46RH','fits well','4.0 out of 5 stars','good material but needs a bit lenghty which can go below knee even if its by 2 inches couldnt find the lengthier version'
'B07KXV46RH','Cheap fabric','1.0 out of 5 stars',It's made from extremely cheap fabric. The shorts look faded and at least two years old. Absolutely not worth it.
'B07KXV46RH','Nice fit','4.0 out of 5 stars','A little loose on waists but it gives comfort'
'B07KXV46RH','Product is too small','1.0 out of 5 stars','The size of shorts is too small as i have order for 32 size its clear to understand but still how you all can send small in size.'
'B07KXV46RH','Very good purchase!!','5.0 out of 5 stars','Fit perfectly. It hugs your thighs and very comfy. Perfect stitching. color is same as shown in pics.'
'B07KXV46RH','Nice !!','5.0 out of 5 stars','Good fit & finish..quality of cloth is fine.'
'B07KXV46RH','Nice 👌','5.0 out of 5 stars','The product quality awesome 👍 But price is little bit much😌'
'B07KXV46RH','Material is good','5.0 out of 5 stars','Symbol brand clothes are awesome'
'B07KXV46RH','The product quality is really bad','1.0 out of 5 stars','The media could not be loaded.'
'B07KXV46RH','good','5.0 out of 5 stars','good product loved it. Best fabric Quality. The Design quality is top notch and fitting is good. I liked it'
'B07KXV46RH','Ok','4.0 out of 5 stars','Good'
'B07KXV46RH','its a game of chance','1.0 out of 5 stars','had to return the product because the product was L size and I had ordered the XL size. The other colour I ordered was correct and that product was right fit.'
'B07KXV46RH','Excellent buy','5.0 out of 5 stars','Great fabric and great fit at a great price'
'B07KXV46RH','Loved the shorts','5.0 out of 5 stars','Very good for regular and comfortable use'
'B07KXV46RH','Good quality','5.0 out of 5 stars','Very nice product. Nice colour nice fittings nice quality overall'
'B07KXV46RH','Good','4.0 out of 5 stars','Little loose for me but qaulity and the length is good'
