item,title,rating,body
'B07LFXVV3N','Excellent Cover for personal laptops','5.0 out of 5 stars','Excellent Product for personal laptops. 👌 Comfort appearance padding durability and fitment are awesome.  I like this product very much and Value for money.'
'B07LFXVV3N','ok ok','3.0 out of 5 stars','ok ok but better available in 200'
'B07LFXVV3N','good','1.0 out of 5 stars','nice product'
'B07LFXVV3N','Cape for your laptop','5.0 out of 5 stars','the product price and quality is really justified. It gives a premium look and has ample amount of space to carry laptop essential.'
'B07LFXVV3N','Nice product','5.0 out of 5 stars','Nice product'
'B07LFXVV3N','Quality','4.0 out of 5 stars','Build quality is super and durable... suitable almost for every laptop'
'B07LFXVV3N','Nice product','5.0 out of 5 stars','Good product and worth for value'
'B07LFXVV3N','It will not protect your laptop from damage','2.0 out of 5 stars',It is a just bag to keep and carry laptop.. don't expect more
'B07LFXVV3N','Good product','5.0 out of 5 stars',The media could not be loaded. It is really good product for that price and It's seems as it is in the picture with perfect condition.
'B07LFXVV3N',It's ok,'4.0 out of 5 stars','It has good padding but at sides padding is absent . So  if your laptop drops sideways  it can break . Zip is good  finishing is premium . Value for money ? Not sure about that  get one if you are getting good discount .'
'B07LFXVV3N','SUPERB','5.0 out of 5 stars','Excellent product very useful for students and worth the money.'
'B07LFXVV3N','Light weight bag','5.0 out of 5 stars',It is awesome and spacious for 15'6 laptop. Colour of the bag is awesome.
'B07LFXVV3N','Good but larger','4.0 out of 5 stars',"'Good Laptop sleeve with padding and water resistant fabric with zip at one side. But its much more lagrer for 15.5"" Laptop so not good or fit for 15.5"" laptop.'"
'B07LFXVV3N','Good product','5.0 out of 5 stars','Product is good but delivery was not good'
'B07LFXVV3N','Okay okay','5.0 out of 5 stars','Good quality bag 👜 and also string a good'
'B07LFXVV3N','Apperance','5.0 out of 5 stars',It's really good nice out look interior design nice
'B07LFXVV3N','Excellent 👍','5.0 out of 5 stars','Very Great product Quality very impressive Just loved it'
'B07LFXVV3N','Worst product, dont waste your money','1.0 out of 5 stars''Chain broke after 2 days on use worst quality of chain has been used in this!'
'B07LFXVV3N','Very nice 👌','5.0 out of 5 stars','Nice 👌'
'B07LFXVV3N','Awesome 😎','5.0 out of 5 stars','Worth 💯'
'B07LFXVV3N','Good ... valuable for money','4.0 out of 5 stars','Valuable for money..worth product..but cost is little high'
'B07LFXVV3N','Good','4.0 out of 5 stars','Good'
'B07LFXVV3N','Highly recommended','5.0 out of 5 stars','Appearance is good it has little padding inside protection for laptop It has little space Easy to use Quality is good Highly recommended'
'B07LFXVV3N','Nic bag','3.0 out of 5 stars','Nic bag'
'B07LFXVV3N','Excellent Quality for the price.','5.0 out of 5 stars','Superb quality under this price. Must Buy for 15.6 inch laptops.'
'B07LFXVV3N','Great value for money','5.0 out of 5 stars','Much better than I thought it would be at this price.'
'B07LFXVV3N','Good product','5.0 out of 5 stars','Very Good product'
'B07LFXVV3N','Value for money','4.0 out of 5 stars','It should have little space more. Suggestion: Material should be soft and spunggy for laptop protection.'
'B07LFXVV3N','Laptop bag','5.0 out of 5 stars','Product is quite good and easy to carry. And also looking good.'
'B07LFXVV3N','Waste of money','1.0 out of 5 stars','Waste'
'B07LFXVV3N','Damaged product received','2.0 out of 5 stars','Damaged product received'
'B07LFXVV3N','Does not open','1.0 out of 5 stars',"I did not except much for the price, but the bag won't even open because the zipper is broken even before using it the first time. 1 star is one too much"
'B07LFXVV3N','Good One','3.0 out of 5 stars','Zipper Quality is Average.Padding Is good bub can be improved alot. Not the ultimate protection but it can be used . Good Product with this price Range. If you can extend the budget go for other more padded products. NOT THE BEST PRODUCTS.'
'B07LFXVV3N','nice','5.0 out of 5 stars','nice'
'B07LFXVV3N','Classy','5.0 out of 5 stars','Like it. Seems durable'
'B07LFXVV3N','Great','4.0 out of 5 stars',Everything is great but one zip isn't properly working. but overall product is good.
'B07LFXVV3N','Great product.','5.0 out of 5 stars',"'Compatible for 15.6"" laptop with good padding and awesome waterproofing according to the budget.'"
'B07LFXVV3N','Nice','3.0 out of 5 stars','Nice'
'B07LFXVV3N','About quality','3.0 out of 5 stars','When I showing in your advertisement photo on amazone than I was very impressed and think it is strengthfull and good quality material but it is not as I think. Pls improve your quality i request to you pls make a side poket big or comfortably for laptop or pc charger .'
'B07LFXVV3N',"'VFM Fits 16"" MBP'",'5.0 out of 5 stars',"Sufficient pocket space for mouse, type c dock adaptor. Let's see how long it lasts.."
'B07LFXVV3N','Good product','5.0 out of 5 stars','Good product and perfect bag and Good service'
'B07LFXVV3N','Very nice product','5.0 out of 5 stars','Very nice product'
'B07LFXVV3N','Ok ok product','1.0 out of 5 stars','Ok ok quality not good'
'B07LFXVV3N','Worthy for Money','5.0 out of 5 stars','It is a good product for laptop but if they attached long thread along with short thred to carry that would be amazing.'
'B07LFXVV3N','No side protection for laptop','2.0 out of 5 stars','No side protection film inside the bag is provided only top and bottom protection foam in bag. Chances of damage to laptop was so high from sides instead of top and bottom.'
'B07LFXVV3N','Best product','5.0 out of 5 stars','Value of money'
'B07LFXVV3N','Not good.','1.0 out of 5 stars',Front and back side are ok but the corners are very slim and don't provide much protection.
'B07LFXVV3N','good quality','5.0 out of 5 stars','Th product is amazing and is good than what expected'
'B07LFXVV3N','Good','5.0 out of 5 stars','Nice and good'
'B07LFXVV3N','Expected more safety features.','3.0 out of 5 stars','Ok Ok due to price range ... butNot good that much.'
