item,title,rating,body
'B07P57ST6T','Nice product','5.0 out of 5 stars','Good product'
'B07P57ST6T','In Time delivery.','5.0 out of 5 stars','Excellent item.Best quality.'
'B07P57ST6T','Heavy duty','5.0 out of 5 stars','Suitable for rented house.'
'B07P57ST6T','Quality','5.0 out of 5 stars','Very good'
'B07P57ST6T','RECEIVED BROKEN','4.0 out of 5 stars',The media could not be loaded. It's only happen because of poor meterial handing by warehouse either delivery associate.. otherwise product was good..
'B07P57ST6T','Nice','4.0 out of 5 stars','Nice'
'B07P57ST6T','Wheel is not proper','3.0 out of 5 stars','The media could not be loaded.'
'B07P57ST6T','Product is good but legs come off frequently. Not for worthy','1.0 out of 5 stars','Frequently legs off and not sturdy :therefore food items fall down .Not expected bad product from Nilkamal .kindly fix this kind of defects .'
'B07P57ST6T','Good Product','4.0 out of 5 stars','Perfect size good looking sturdy center table'
'B07P57ST6T','Parts not proper','1.0 out of 5 stars','The media could not be loaded. The legs are not sturdy. It will come out ones you lift the top table.'
'B07P57ST6T','Nice product','4.0 out of 5 stars',''
'B07P57ST6T','Defective','1.0 out of 5 stars','Comes out from the joints'
'B07P57ST6T','Good','5.0 out of 5 stars','Easy to assemble'
'B07P57ST6T','Best for Price and Durability','5.0 out of 5 stars','This Centre Coffee Table is an excellent buy both for price and durability. It is a plastic item so cleaning with water alone will do. Strongly recommended.'
'B07P57ST6T','Very good quality.','5.0 out of 5 stars','The quality of the product . Exactly the same as ordered'
'B07P57ST6T','Good','5.0 out of 5 stars','Nice'
'B07P57ST6T','Excellent','4.0 out of 5 stars','Good product'
'B07P57ST6T','Good product','5.0 out of 5 stars','The product is very good. Easy to install. Excellent product price is also less. Recommended product .good for transferable jobs.'
'B07P57ST6T','prefect for hall table','4.0 out of 5 stars','Easy to assemble Very light in weight Build quality is good 👍 Blindly anyone can go for it. Reliable.'
'B07P57ST6T','Good product','4.0 out of 5 stars','Dimensions are decent not to big nor too small. Study and durable product.'
'B07P57ST6T','Sturdy and light weight','4.0 out of 5 stars','Good to have for outdoors. Easy to assemble.'
'B07P57ST6T',It doesn't feel like quality nilkamal product,'2.0 out of 5 stars','Top tray slightly bent. Wheels not moving properly. One pipe too lose coming off frequently'
'B07P57ST6T','Good','5.0 out of 5 stars','Very good product'
'B07P57ST6T','High cost but Good quality','4.0 out of 5 stars','Over all Good quality but rate is higher. Please keep the rate little low'
'B07P57ST6T','Normally happy','1.0 out of 5 stars','Normally happy'
'B07P57ST6T','Classy','4.0 out of 5 stars','Lookwise its good. But Quality is not upto the mark within 2 days i found scratches on the counter top. My advice is please use a table cloth or cover. I found little difficult to assemble it.'
'B07P57ST6T','Quality','5.0 out of 5 stars','Good quality thank you Amazon for such a beautiful product with great quality and worth for money 💝'
'B07P57ST6T','GOOD PRODUCT','5.0 out of 5 stars','NOTHING MUCH TO SAY... GOOD AND PRACTICLE..'
'B07P57ST6T','Product quality','5.0 out of 5 stars','Good product.'
'B07P57ST6T','Good product','4.0 out of 5 stars','Serves its purpose .'
'B07P57ST6T','Overall good product','5.0 out of 5 stars','Nice product by Nilkamal. Go for it. Check for height before buying. It is below knee height.'
'B07P57ST6T','Brand','4.0 out of 5 stars','Brand name itself is enough trustworthy.'
'B07P57ST6T','Nice product.','4.0 out of 5 stars','Good product quality. Go for it..'
'B07P57ST6T','Worth the money','5.0 out of 5 stars','Good quality plastic.'
'B07P57ST6T','Fitment Issue','2.0 out of 5 stars',"Fitment issue, 2 sides were not fitting, didn't expect this bad quality from Nilkamal"
'B07P57ST6T','Very good product but difficult to assemble.','5.0 out of 5 stars','The media could not be loaded. Very good product but difficult to assemble'
'B07P57ST6T','Easy to Install','5.0 out of 5 stars','Very good Product by Neelkamal...and thanks to Amazon for timely delivery with safety and originality of the product.'
'B07P57ST6T','Good quality','4.0 out of 5 stars','Like this tea table'
'B07P57ST6T','Very nice 👌','4.0 out of 5 stars','The media could not be loaded. I like the Product quality as well design 👌'
'B07P57ST6T','A amazon user','4.0 out of 5 stars',As per price it's good 👍.
'B07P57ST6T','Ok','5.0 out of 5 stars','Ok'
'B07P57ST6T','Nice product but expensive','5.0 out of 5 stars','Got a damaged one but got the replacement the very next day. Table is nice and strudy but price could have been little less'
'B07P57ST6T','Good product','5.0 out of 5 stars','Value for money'
'B07P57ST6T','Price Worthy','4.0 out of 5 stars','Overall product is goodbut the fitting of the legs are bad'
'B07P57ST6T','Very useful product','5.0 out of 5 stars','Excellent ! Just be careful to follow the instructions to install it correctly'
'B07P57ST6T','Damage product','1.0 out of 5 stars','Damage product delivered'
'B07P57ST6T','Must buy','5.0 out of 5 stars','Very easy to Assamble good quality'
'B07P57ST6T','The product is not liked by us','1.0 out of 5 stars','We were expecting the center table with glass top.'
'B07P57ST6T','Product neelkamal','5.0 out of 5 stars','21/06/2023.....my name is archana kumari... neelkamal table is too good ...i am happy to replacent product......only Amazon product and replace mentand return so easy .......mujhe iske Siva koi online shopping krna pasand nhi....I want to any person online shopping Amazon...and day to day increase all over world ......👍👍👍👍👍👍👍👍👍👍'
'B07P57ST6T','Good sturdy plastic table','5.0 out of 5 stars','The table is good and sturdy...'
