item,title,rating,body
'B07P7ZYKYW','Good','5.0 out of 5 stars','Go for them'
'B07P7ZYKYW','awesome product','5.0 out of 5 stars','very strong and good build quality brought 4 pieces @320rs'
'B07P7ZYKYW','Poor lid quality','1.0 out of 5 stars','Container quality is goid buf lid quality is very poor. I purchased 08 nos one year back and have to discard from use because of all lids develop cracks.'
'B07P7ZYKYW','Best containers','5.0 out of 5 stars','Best and less expensive. Easy to use. Light weight. Looks good in shelves 👍 bought in 3 different sizes.'
'B07P7ZYKYW','Nice','5.0 out of 5 stars','Nice'
'B07P7ZYKYW','Good space','4.0 out of 5 stars','Product is good and very spacious inside the box .It is good to use to store snack items'
'B07P7ZYKYW','Good','5.0 out of 5 stars','Strong and nice product'
'B07P7ZYKYW','Plastic containers','5.0 out of 5 stars','Excellent product'
'B07P7ZYKYW','Superb product','5.0 out of 5 stars','I got 8 boxes for 285 rupees. Very sturdy and quality is good. Amazon solimo is a good brand. Go for it'
'B07P7ZYKYW','better than Tupperware','5.0 out of 5 stars','Hi these are better airtight than tupperware.'
'B07P7ZYKYW','Too good','4.0 out of 5 stars','MUST BUY They are too good . Must haves'
'B07P7ZYKYW','Worth for Money','5.0 out of 5 stars','Good Product'
'B07P7ZYKYW','Best purchase','5.0 out of 5 stars',For my new home I bought ..the quality is top notch for those who looking for review for buying go ahead it's a once a lifetime buy 😉 go for it.. not like other plastic containers
'B07P7ZYKYW','Good','4.0 out of 5 stars','Parcel was opened and covers of boxes removed happened twice'
'B07P7ZYKYW','Super quality','5.0 out of 5 stars','Very good product and standard cap also'
'B07P7ZYKYW','Very good quality','4.0 out of 5 stars','Good for carrying roti or something else also airtight'
'B07P7ZYKYW','Missing one piece','1.0 out of 5 stars','Only 7 pieces were sent'
'B07P7ZYKYW','Small','4.0 out of 5 stars','Box quality is good and it feels all are small'
'B07P7ZYKYW','Not the best','3.0 out of 5 stars','Tupperware signoraware then solimo. Lid is not that super good. It has gap. Else all good. But for a container the lid should be the best'
'B07P7ZYKYW','Good Kitchen Essentials','5.0 out of 5 stars','Ease of Openning and Storeg'
'B07P7ZYKYW','Good quality','5.0 out of 5 stars','Easy to open n close easy to clean and very good quality.'
'B07P7ZYKYW','Lids are not proper.','3.0 out of 5 stars','One lid is small and not fitting. So one container is useless. Company should check the product before dispatch.'
'B07P7ZYKYW','Good','5.0 out of 5 stars','Sturdy good quality'
'B07P7ZYKYW','Good Quality','5.0 out of 5 stars','Good Quality material air tight.'
'B07P7ZYKYW','Simply great design and very functional','5.0 out of 5 stars','Simply great design and very functional. I also like that its stackable.'
'B07P7ZYKYW','Quality','5.0 out of 5 stars','Excellent quality and is truly a space saver'
'B07P7ZYKYW','Muje yeh products bahot achhi lagi bahot useful hai','5.0 out of 5 stars',''
'B07P7ZYKYW','Super 👌','5.0 out of 5 stars','The containers are good and sturdy. Go for it. Thinking of repeating the order.'
'B07P7ZYKYW','Containers','5.0 out of 5 stars','Good product with good quality'
'B07P7ZYKYW','Really good','5.0 out of 5 stars','Some came scratched but overall a great product. You can see everything clearly in the boxes which really helps. These are 1800 ml.'
'B07P7ZYKYW','The quality of the product','1.0 out of 5 stars','The material used in the container is OK but lid of container is made from some cheapest quality recycled plastic and you cant use it in Microwave. out of the set 2 lids are already torn within 7 days. Amazon buy this product from some cheapest sources and brand it as their own brand Solimo. Even at the discounted price its not worth. Waste of Money if the same way if it continue regular buyers will never buy any solimo products.'
