item,title,rating,body
'B07Q1B7MRZ','Good','5.0 out of 5 stars','My kids are loving it'
'B07Q1B7MRZ','worthy','5.0 out of 5 stars','Multipurpose sofa cum bed'
'B07Q1B7MRZ','Great product','5.0 out of 5 stars','Ease of folding portability. Value for money.'
'B07Q1B7MRZ','Quality','5.0 out of 5 stars','Great quality'
'B07Q1B7MRZ','I didn’t receive cushion','4.0 out of 5 stars','Sofa is and delivery i got one day before only I’m happy for this but one thing disappointing I didn’t receive cushion with sofa. I informed the person who’s delivered i thought it’s well delivered next day but no response from company.'
'B07Q1B7MRZ','Ok ok','2.0 out of 5 stars','Ok ok'
'B07Q1B7MRZ','Good','5.0 out of 5 stars','Quality and look was more than wt I hv expected.'
'B07Q1B7MRZ','Quite hard even on the softer side','4.0 out of 5 stars','This item is durable and is going strong but as stated in the headline is a bit firm/hard oven on the softer side.'
'B07Q1B7MRZ','Worth every penny','5.0 out of 5 stars','Sofa/bed is really comfortable in either of its form. Inside material is not bad and so is the cover. Been couple of weeks since I bought this item and so far not disappointed. Product has been delivered way before its promised date overall very good service & satisfied with the purchase.'
'B07Q1B7MRZ','Comfy','5.0 out of 5 stars','The product is comfortable and spacious. Definitely a worthy purchase.'
'B07Q1B7MRZ','Overpriced','4.0 out of 5 stars','Quality is good but overpriced. Customer buy this product only for fast delivery reason.'
'B07Q1B7MRZ','Good','4.0 out of 5 stars','Good'
'B07Q1B7MRZ','Nice','4.0 out of 5 stars','Easy to install and comfortable'
'B07Q1B7MRZ','Value for price of the sofa','4.0 out of 5 stars','Good sofa and also bed .'
'B07Q1B7MRZ','Easy to convert','4.0 out of 5 stars','This is best for the most middle class PPL. Where we can use it as Sofa during day and Bed at night. Easy to convert and easy to shift'
'B07Q1B7MRZ','Very good product as expected','5.0 out of 5 stars','The product is very good with the detailed explanation/ instructions and i well recommended others also to buy from Uberlyfe . Well done team'
'B07Q1B7MRZ','Sofa cum Bed','4.0 out of 5 stars','Sofa at day and as bed in need'
'B07Q1B7MRZ','Absolutely, no nonsense Sofas / Bed','5.0 out of 5 stars''I got this as a Sofa for our guest Bedroom / study room. On normal days this is a small Sofa and when Guest comes it can become a Bed.  As a Sofa - it is just comfortable enough not too comfortable that you will spend too much time on it but good enough to sit and have meeting and discussions  As a bed - this is not a replacement for a matress but an improvement from sleeping without any bed. For a temporary bed this is an Awesome product. But not recommended for continuous use.  Note:- for Bachelors / young couples on a budget get this Sofa add in a Mattress comforter that will do the Job..  Cheers. Good Job @Uberlyfe team'
'B07Q1B7MRZ','As per my need','4.0 out of 5 stars',Really liked the comfort it gives as I prefer somewhat hard bed to sleep on. Easy converting from bed to sofa in a few seconds. Liked the product. Giving 4 stars as I'm not sure about it's durability will see and get back with the update on this.
'B07Q1B7MRZ','Good but a bit small','4.0 out of 5 stars',"5x6 means when extended it'll be 6 ft probably I thought in general it's 5x6. But other than that, very convenient and budget friendly. Good quality as well. Not very soft but still okay."
'B07Q1B7MRZ','Amazing product','5.0 out of 5 stars','Really liked the product. Comfortable and classy product for living room.'
'B07Q1B7MRZ','Good. Very useful.','5.0 out of 5 stars','Good sofa bed . Very useful. Easy to clean .'
'B07Q1B7MRZ','The mattress is very firm and sturdy','5.0 out of 5 stars','Using it as a sofa cum bed when visitors come to stay. Very comfortable.'
'B07Q1B7MRZ','The perfect sofa for a limited budget.','4.0 out of 5 stars',''
'B07Q1B7MRZ','Very comfortable sofa cum bed','5.0 out of 5 stars','Affordable & a cozy comfortable sofa cum bed. Ideal for a 1BHK Hall where we want to save space as well as look trendy. Various copies available & super comfortable for seating & sleep. Would recommend trying it'
'B07Q1B7MRZ','Quality product, really liked','5.0 out of 5 stars''Came with superb packing. Quality is so good. Using on daily basis. Easy to setup in few seconds. Go for it.'
'B07Q1B7MRZ','Fits to the space','4.0 out of 5 stars','Faabric and sturdy.. started to use.. will see the results after sometime...'
'B07Q1B7MRZ','Yes','5.0 out of 5 stars','Best'
'B07Q1B7MRZ','Using simply spfa cum bed nice product..','5.0 out of 5 stars','The media could not be loaded. Very thing is good tottaly i am purchased to satisfied the product..'
'B07Q1B7MRZ','Cusion cover was not received','3.0 out of 5 stars','Cushion cover was not received with the order '
'B07Q1B7MRZ','Very comfort and leight weight','5.0 out of 5 stars','Product is very nice worth for money light weight and easy to convert as you want.'
'B07Q1B7MRZ','Friendly and easy to use','4.0 out of 5 stars','Good product'
'B07Q1B7MRZ','Excellent','5.0 out of 5 stars',"You can literally make this as single bed, double bed, sofa and recliner bed. It is light weight too. Value for money. Hopefully it is durable because I'm enjoying it a lot."
'B07Q1B7MRZ','Great Product','5.0 out of 5 stars','The entire delivery was smooth with just one call to check on availability. Being using the product for couple of days and enjoying the firm cusion which supports the back well. A definite recommendation for the price.'
'B07Q1B7MRZ','Amazing product..','5.0 out of 5 stars','Good sturdy sofa nice finishing and utility with different formations.'
'B07Q1B7MRZ','Good quality and lightweight','5.0 out of 5 stars','The product is lightweight and worth of money. The delivery was super fast.'
'B07Q1B7MRZ','Tough','4.0 out of 5 stars','It is a good product worth the price and the quality is also good it is a bit stiff but i prefer it that way i even have a pet dog she tried to scratch it but the material is tough and resistant'
'B07Q1B7MRZ','Serves the purpose','5.0 out of 5 stars','Likes: portability customer service Dislike : price'
'B07Q1B7MRZ','Value for money','4.0 out of 5 stars','I like the design and it is as per my expectation.'
'B07Q1B7MRZ','Works best for a hybrid sofa-bed','5.0 out of 5 stars','Very fast delivery arrived the very next day and no assembly required. It gets converted to bed in seconds. Pillow is nice too!'
'B07Q1B7MRZ','Worth the money','5.0 out of 5 stars',It's comfortable and easily does the job of 3 in 1. Must buy if you are searching for sofa cum bed withing this budget.  Cheers 🥂
'B07Q1B7MRZ','Comfortable','5.0 out of 5 stars',It's worth it. Just go for it. It's comfortable and looks good.
'B07Q1B7MRZ','Good','4.0 out of 5 stars','So far its good. Its been just a few days since I bought it. Light weight comfortable to sit.'
'B07Q1B7MRZ','Worth the price','5.0 out of 5 stars','Utility wise the product is a perfect buy. It’s lightweight and can be moved around easily. However if you’re planning to purchase the product for everyday use please be mindful that the cushioning is not the softest.'
'B07Q1B7MRZ','Very Good Product','5.0 out of 5 stars',It's only been a week since I bought this product. So far the product is very good. It is comfortable both as a sofa and bed.
'B07Q1B7MRZ','Such a decent and beautiful product that enhances your living space','5.0 out of 5 stars',"The decent look of the sofa, it's material, making, the cushions and ofcourse the flexibility options of it to be used as a sofa, bed, inclined bed were truly the best for a multi use"
'B07Q1B7MRZ','Best product','5.0 out of 5 stars','It is same as mentioned in the profile. Highly recommended. Great product.'
'B07Q1B7MRZ','Promptly delivered, good service overall','5.0 out of 5 stars''Communication and timeliness of delivery was good. The product is also good - on the firm side with good quality cushions. Good purchase as this size was not available with Wakefit and also delivery time was quicker.'
'B07Q1B7MRZ','So convenient!','5.0 out of 5 stars',"Not only is this super sturdy as a couch, it's very convenient to open it up into a bed. Great for when you have guests over!"
'B07Q1B7MRZ','Amazing product','5.0 out of 5 stars','The product matches the picture packing was taken care of. Cool product'
