item,title,rating,body
'B07Q2B8LDF','Good purchase','3.0 out of 5 stars','Fits to the description but a little transparent. Looks good and quality wise too it is a good comfort buy.'
'B07Q2B8LDF','Very poor quality','1.0 out of 5 stars','Elastic is very poor'
'B07Q2B8LDF','Good','5.0 out of 5 stars','Good 👍  Good 💯'
'B07Q2B8LDF','Too small and white one is transparent','2.0 out of 5 stars','The product quality is not good  it is too small/ short and white one is transparent'
'B07Q2B8LDF','As per cost it is justified','4.0 out of 5 stars','As per cost it is justified not to much cheaper can say a little bit on higher side'
'B07Q2B8LDF','Good quality product','5.0 out of 5 stars',I like the quality of the product...it's very soft and very stretchable.
'B07Q2B8LDF','Worth buying it','5.0 out of 5 stars','Worth buying this product with original tag'
'B07Q2B8LDF','Good product','5.0 out of 5 stars','No complaints good material and stretch. Size also perfect to fit. Buy your actual size.'
'B07Q2B8LDF','not ankle length','2.0 out of 5 stars',The colors are similar to what ordered but it's different from what I've previously purchased from the same brand and sizing. This article seems to be longer than expected.
'B07Q2B8LDF','Pathetic quality','1.0 out of 5 stars',The product that I received was torn. I couldn't return it as I didn't check and by the time I took it out the return window had closed. Also the material is bad. Doesn't feel like the original lyra product.
'B07Q2B8LDF','Best clothes','5.0 out of 5 stars','Best quality'
'B07Q2B8LDF','Not worth','1.0 out of 5 stars',Not worth. It's too transparent. Cant we worn.
'B07Q2B8LDF','Great Quality of cloth ...','5.0 out of 5 stars','Comfort'
'B07Q2B8LDF','Worth buying.Really nice','5.0 out of 5 stars','Really comfortable and as expected .Worth buying.Please go for it.'
