item,title,rating,body
'B07QRHLPXT','Comfortable','4.0 out of 5 stars','Comfortable at this price'
'B07QRHLPXT','Fake product','1.0 out of 5 stars','Found two different size of slippers.'
'B07QRHLPXT','White color','2.0 out of 5 stars','Good quality But middle color white looking bed after using'
'B07QRHLPXT','Nice product','5.0 out of 5 stars','I would like this product'
'B07QRHLPXT','worst','1.0 out of 5 stars','do not purchase worst product'
'B07QRHLPXT','Good product compare to others on same price.','5.0 out of 5 stars','Product is very good also it fits properly and the slippers are very light weight. Good to purchase.'
'B07QRHLPXT','Not able to drive the car when wearing the product','1.0 out of 5 stars','Not able to drive the car when wear the product'
'B07QRHLPXT','Awesome','5.0 out of 5 stars','Good quality 💯 comfortable'
'B07QRHLPXT','Best quality','5.0 out of 5 stars','Too much good'
'B07QRHLPXT','Smooth','1.0 out of 5 stars','Bad feelings'
'B07QRHLPXT','Comfortable','4.0 out of 5 stars','Very comfortable and perfect in size.'
'B07QRHLPXT','Good product','5.0 out of 5 stars','Best quality and material in less price. Using this product since years Satisfied 👍'
'B07QRHLPXT','Comfortable and sturdy','5.0 out of 5 stars',"I have had sandals and shoes from Sparx before and this time I tried the slippers which are very comfortable, good quality, soft sole and very light. Sparx products are long lasting and I hope the same from the slippers. I'm happy with my purchase."
'B07QRHLPXT','G','5.0 out of 5 stars','Good'
'B07QRHLPXT','Very comfartable','4.0 out of 5 stars','Comfort at its best'
'B07QRHLPXT','Not very comfortable','1.0 out of 5 stars','Its sole is bit hard i have started getting pain in my foot'
'B07QRHLPXT','Slippers','4.0 out of 5 stars','Very smooth product'
'B07QRHLPXT','Product is verygood.','4.0 out of 5 stars','Delivary is very slow'
'B07QRHLPXT','Good product','5.0 out of 5 stars','Good product 👌'
'B07QRHLPXT','Go for it','4.0 out of 5 stars','Second time I am purchasing the same product since the product durability is good and the quality and comfortable is also much appreciated good for this price range'
'B07QRHLPXT','Comfortable, Good Grip','5.0 out of 5 stars''My father loves it he never allows me to change the variant whenever I place new order. It lasts for around 6-8 months in rural areas (rough roads) and around 1 year in cities.'
'B07QRHLPXT',Amazon pls don't sale this type of low quality products,'1.0 out of 5 stars','Worst product in the world within 15 da ys wared out'
'B07QRHLPXT','👌','5.0 out of 5 stars','best to use'
'B07QRHLPXT','Good product','5.0 out of 5 stars','Good product'
'B07QRHLPXT','Parledu','4.0 out of 5 stars','Parledu'
'B07QRHLPXT',It's good good for wear not more excellent good product value of money,'3.0 out of 5 stars','Good product value of money not super excellent but sufficient what is present 👍'
'B07QRHLPXT','Good design Bad quality sole.','2.0 out of 5 stars','Comes with low quality plastic sole it is slippery. Not suitable for home or tiles. Size is not standard. Mine is 10 but this appears little small. I guess it wont be durable as said in previous review. Just design is good. Rest is average.'
'B07QRHLPXT','Product is good but not durable','5.0 out of 5 stars',Don't expect sparx slippers for more than 4 to 6 months. But their quality is top notch.
'B07QRHLPXT','Comfortable','5.0 out of 5 stars',''
'B07QRHLPXT','Overpriced product','2.0 out of 5 stars','Not worth of 300 rs.'
'B07QRHLPXT','Nice','4.0 out of 5 stars',''
'B07QRHLPXT','Worth the money','5.0 out of 5 stars','Product quality is good. It’s soft. Fits as expected.'
'B07QRHLPXT','Good','5.0 out of 5 stars','Good Product'
'B07QRHLPXT','It lasts only 5-6 months.','1.0 out of 5 stars','It lasts only 5-6 months  It lasts only 5-6 months It lasts only 5-6 months  It lasts only 5-6 months'
'B07QRHLPXT','Foot wear means spark spark mean foot wear 😅','5.0 out of 5 stars','I like this company brand value of benefits and money.'
'B07QRHLPXT','Comfy, Durable but overpriced!','3.0 out of 5 stars''Slippers is very light comfy and durable! But color will start fading after few months! Also it is bit overpriced!'
'B07QRHLPXT','Ok','3.0 out of 5 stars','Ok'
'B07QRHLPXT',it's good,'5.0 out of 5 stars','durable'
'B07QRHLPXT','Good','4.0 out of 5 stars','The media could not be loaded. Good'
'B07QRHLPXT','Give a genuine product','1.0 out of 5 stars','It is not a good product when I buy this product it was good but suddenly after completing 1month the sole of my chappals got slippy the product is very bad..'
'B07QRHLPXT','Second quality','1.0 out of 5 stars','Quality loose'
'B07QRHLPXT','Perfect fiting','5.0 out of 5 stars','Always i use this product good take everyone'
'B07QRHLPXT','Grip','5.0 out of 5 stars','If you go on smooth surfaces like marble flooring..it is soo slippery.. But if you go in water or slippery surfaces..the grip is working good'
'B07QRHLPXT','Good feel','5.0 out of 5 stars','Good quality 👌'
'B07QRHLPXT','Nice','4.0 out of 5 stars','Good'
'B07QRHLPXT','Good product','5.0 out of 5 stars','Good product very comfortable nice product. Value for money'
'B07QRHLPXT','Copy product','1.0 out of 5 stars','Copy product'
'B07QRHLPXT','Not fit','2.0 out of 5 stars','Not fit properly due to size'
'B07QRHLPXT','In one word super.','4.0 out of 5 stars','Like it a lot'
'B07QRHLPXT','Not long lasting it broke in 3-4 months','3.0 out of 5 stars',Product appearance is good but doesn't looks like original Sparx as it broke down in 3-4 months... Quality is not as expected from brand like Sparx.unhappy with the product.
