item,title,rating,body
'B07RFS6HFW','Very bad packaging','1.0 out of 5 stars',''
'B07RFS6HFW','Good Tissue','5.0 out of 5 stars','Tissue paper is soft. Good for face cleaning'
'B07RFS6HFW','Paper Quality','5.0 out of 5 stars','2nd time ordered. Paper is very soft in nature!'
'B07RFS6HFW','Easy to use','5.0 out of 5 stars','Quality product!'
'B07RFS6HFW','Amazing!!','5.0 out of 5 stars','I have been using this product for the past year..and its been really good.The quality of tissue is good and its not easily teared.Good Quality at a reasonable price'
'B07RFS6HFW','Not genuine','1.0 out of 5 stars','I seriously doubt its originality. First of all it smells really really bad and secondly these tissues are different from what is being shown in the product description and what other people have received. The subtle dotted line is missing on my tissues.'
'B07RFS6HFW','Consistingly good','5.0 out of 5 stars','Have been using for some months. Serves the purpose adequately'
'B07RFS6HFW','Quality paper','4.0 out of 5 stars','Great'
'B07RFS6HFW','Good','3.0 out of 5 stars','Useful'
'B07RFS6HFW','Improper paper layout','1.0 out of 5 stars','The media could not be loaded. Looks their packaging machine broke down. The papers are in the box in the wrong direction instead of being one on top of another.'
'B07RFS6HFW','Good deal.','5.0 out of 5 stars','Convenient. Soft tissues.'
'B07RFS6HFW','Good','4.0 out of 5 stars','Good if money is less'
'B07RFS6HFW','Could have been better','4.0 out of 5 stars',"Of course it's value for money. But, quality is not on par with similar products. Both the tissues and the box need improvement."
'B07RFS6HFW',Improve the box quality and it's a winner.,'3.0 out of 5 stars','Box quality could be much better. Since Amazon does not ship them in an outer box they would very likely arrive banged up at your place as they did in my case. The tissues themselves are fine. Found them on par with Kleenex and other brands.'
'B07RFS6HFW','Good','5.0 out of 5 stars','Good quality. Affordable price.'
'B07RFS6HFW','Quality is not good road side quality','1.0 out of 5 stars','Quality is not good'
'B07RFS6HFW','It should be packed properly','3.0 out of 5 stars','The media could not be loaded. The tissues are soft but it is not packed properly which creates a lot of issue. I still didn’t get 1 tissue at a time :('
'B07RFS6HFW','Not that great compare to premiere','3.0 out of 5 stars','The quality is not that great'
'B07RFS6HFW','Value for Money','5.0 out of 5 stars','Great absorption.......soft as well.'
'B07RFS6HFW','Quality','3.0 out of 5 stars','The quality is the tissue is not great. It can be better and improved. Not worth the money.'
'B07RFS6HFW','Excellent','5.0 out of 5 stars','One of the best. A must buy for sure!'
'B07RFS6HFW','Tissue paper','2.0 out of 5 stars','Soft tissue paper ladies beautiful product I like this product soft and smoothly remove oil best product paper base nice'
'B07RFS6HFW','Good quality','4.0 out of 5 stars','Good quality but they should make it cheaper'
'B07RFS6HFW','Value for money','5.0 out of 5 stars','Average tissue but value for the money.'
'B07RFS6HFW','Good product! Little expensive in comparison with other similar tissue companies .','4.0 out of 5 stars','Like it but found it little overly expensive!'
'B07RFS6HFW','A good product','5.0 out of 5 stars','a good product'
'B07RFS6HFW','Good Product very usefull','5.0 out of 5 stars','nice'
'B07RFS6HFW','Okayish','4.0 out of 5 stars','Okay okay hai'
'B07RFS6HFW','Good facial tissues at reasonable price','5.0 out of 5 stars','Good facial tissues at reasonable price'
'B07RFS6HFW','Good Product worth buying.','5.0 out of 5 stars','Good quality and soft tissues. Value for money.'
'B07RFS6HFW','Damaged boxes - all of them','1.0 out of 5 stars','Don’t buy from this seller. No regard for your hard earned money. Will receive damaged boxes and all the tissues coming out of them. Will have to push them inside and retake them like I have done. Will not recommended this seller. This is a subscription order and I buy 9 boxes each month - sometimes I get amazing packaging in a box and sometimes I get as shown in the pics.'
'B07RFS6HFW','Soft ans smooth','5.0 out of 5 stars','Like it and purching this very often. Very smooth.'
'B07RFS6HFW','Soft and great.','5.0 out of 5 stars','Loved the quality although the outbox is a bit weak and breaks. Could be slightly cheaper and be perfect. Might be perfect during sales.'
'B07RFS6HFW','Value for money','5.0 out of 5 stars','Good quality must buy.'
'B07RFS6HFW','need improvement','3.0 out of 5 stars','Needs moist pack'
'B07RFS6HFW','Good quality','4.0 out of 5 stars','Happy with the quality of the tissues. However the box could have been of a sturdier material.'
'B07RFS6HFW','Every Single man should use this.','4.0 out of 5 stars',Definetly useful. But you'll have to use at least 5 for every session. So you can use one box for 35-40 sessions.
'B07RFS6HFW','Ok','4.0 out of 5 stars','Ok'
'B07RFS6HFW','Good quality of paper.','5.0 out of 5 stars','These are amazing for... For face after moisturizing.'
'B07RFS6HFW','Good but please care the packing 2 Packing Damage','4.0 out of 5 stars','Good but please care the packing 2 Packing Damage'
'B07RFS6HFW','Recommended','5.0 out of 5 stars','Solimo has a good handy value for money range of products!'
'B07RFS6HFW','Does it’s job, just about right.','5.0 out of 5 stars''They’re tissues. There’s nothing more to it. It’s decent quality for the price does a decent job it’s not special nor is it bad.'
'B07RFS6HFW','Bekar hai','1.0 out of 5 stars','Ek baar mai do do nikl rhe ek baar bs ek ana chie toh 2-3 nikl rhe poora kharabh hogya sb'
'B07RFS6HFW','Absolutely absorbing','5.0 out of 5 stars','Absorbent and convenient'
'B07RFS6HFW','Poor Quality','1.0 out of 5 stars','Quality is not good.'
'B07RFS6HFW','Does what tissues are supposed to do','1.0 out of 5 stars','Good product but the tissue box that it comes in came damaged.'
'B07RFS6HFW','Good Quality','5.0 out of 5 stars','It is light weight n soft. Perfect for wiping face or hands. Like it!!!'
'B07RFS6HFW','Good quality','4.0 out of 5 stars','Soft tissues. Product quality is good.'
'B07RFS6HFW','Little expensive for the quality','4.0 out of 5 stars','Little expensive for the quality. Absorbency is not so great.'
'B07RFS6HFW','These are awful','1.0 out of 5 stars','That rip when coming out of the box also disintegrate when blow nose. Pointless'
