item,title,rating,body
'B07SY3YT7W','Soft gentle','5.0 out of 5 stars','Shampoo was very.soft smooth.ckean my hair Value for money'
'B07SY3YT7W','Best in the market!!','4.0 out of 5 stars',Honestly i don't like pantene products because it doesn't go well with my hair. But i took a risk for this one and tried it as it's affordable. And the results? Omg.. I love it!! It clarifies your hair and guys use it once every other week. I can't say it's better than those expensive clarifying shampoos in the market but its still one of the best!!❤️
'B07SY3YT7W','Excellent product','5.0 out of 5 stars','Best shampoo in entire P&G portfolio....using since 2002'
'B07SY3YT7W','Missing product','1.0 out of 5 stars','There were supposed to be two shampoo bottles out of which one was missing. Despite lodging a concern there is no revert on the missing product'
'B07SY3YT7W','My favourite shampoo all the time','4.0 out of 5 stars','M using pentene since 2018 .this shampoo perfectly clean all the dirtdandruff sweat and oil from hair .'
'B07SY3YT7W','Very Good','5.0 out of 5 stars','Very Good'
'B07SY3YT7W','Good','4.0 out of 5 stars','Good'
'B07SY3YT7W','good one','4.0 out of 5 stars','transparent bottle. good product.'
'B07SY3YT7W','The product is good','5.0 out of 5 stars','The product is good'
'B07SY3YT7W','Very bad product ,','1.0 out of 5 stars''The shampoo is not good quality may be fake also  I don’t know'
'B07SY3YT7W','Gud','5.0 out of 5 stars','Gud quality'
'B07SY3YT7W','Good','5.0 out of 5 stars','Good'
'B07SY3YT7W','Budget clarifying shampoo','5.0 out of 5 stars','This is a lovely product . I have been using this for last 5 years for clarifying my hair . I have curly hair . And this works beautifully. The trick is to dilute a few dollops of the shampoo with 1/2 a mug of water - this way  it cleans well without drying out the hair. Yes  it also washes away the oil in one go (even when it’s diluted with water ). Overall a good product . This is something I always repurchase.'
'B07SY3YT7W','Better than most top brands','4.0 out of 5 stars','This shampoo is better than most top brands for oily scalp. Will definitely continue using this.'
'B07SY3YT7W',It's not a shampoo???? It's very very bad quality products of.. image of panteen gng,'4.0 out of 5 stars',It's not a shampoo???? It's very very bad quality products of.. image of panteen gng
'B07SY3YT7W','Works','5.0 out of 5 stars','Works'
'B07SY3YT7W','Superb product','5.0 out of 5 stars',"It's superb, resolved the problem of freezyness."
'B07SY3YT7W','Real value for money.','5.0 out of 5 stars','I like it and have been using this brand and variety for past many years.'
'B07SY3YT7W','Its a good clarifying shampoo','5.0 out of 5 stars','Its a good clarifying shampoo'
'B07SY3YT7W','Nice','4.0 out of 5 stars','Nice'
'B07SY3YT7W','An excellent product','5.0 out of 5 stars','An excellent product suits my hairs very well.'
'B07SY3YT7W','Value for money product for oily hair...!!','5.0 out of 5 stars',"Best product for oily hair, in this price range ! But if you have normal or dry hair don't go for this."
'B07SY3YT7W','Best one for cleaning the scalp.','5.0 out of 5 stars','Does not have silicon . Such a genuine product . Deliverd in 4 days and brand new .'
'B07SY3YT7W','Good one','4.0 out of 5 stars','My hair used to be rough and lifeless.this gives silky look and feeling smooth'
'B07SY3YT7W','good shampoo','5.0 out of 5 stars','you get clean shower please consider and try it once. there is no menthol in it is just smooth it has a mild flavour in it you hardly notice.  i like mint menthol & grass flavours so i normally use lot of nyle & solimo green shampoos it is real smooth  head & shoulder clinic plus and dabur also offers similar products at same price range and i use It often.'
'B07SY3YT7W','My shampoo bottle is overspill','5.0 out of 5 stars','Shampoo bottle is open and half bottle is overspill'
'B07SY3YT7W','Ok','4.0 out of 5 stars','Ok'
'B07SY3YT7W','Its a clarifying shampoo','5.0 out of 5 stars','To the readers this is a clarifying shampoo use it 1-2 times per week if you use it often...then it will leave your hair rough. Its meant to clear oil junk dirt and buildup so if you use more often it will strip of natural oils which are meant to nourish your hair'
'B07SY3YT7W',It's superb shampoo good or culty wavey hair types,'5.0 out of 5 stars',''
'B07SY3YT7W','Good product','4.0 out of 5 stars','I like this product. Value for money.smell and texture is good.thank you'
'B07SY3YT7W','Bakwas','1.0 out of 5 stars',"Wastage of money, useless shampoo  Leaves hair so so so rough Even when i apply oil and shampoo,my hair doesn't feel soft or moisturized  I bought this because i have oily scalp But little was i aware that this product completely leaves your hair soooooo rough Ekdm jhaaadu ki trh  Mat khareedo bhai Conditioner lgane ka bi fayda nhi hai It will make your hair loose its natural lustre and shine and everything good."
'B07SY3YT7W','Good product','5.0 out of 5 stars','Good for everyday use.'
'B07SY3YT7W','Seems not original product from panteen','1.0 out of 5 stars','It looks like dublicate product'
'B07SY3YT7W','Great cleasing shampoo','5.0 out of 5 stars','Great for cleansing. As it is silicone free'
'B07SY3YT7W','Waste of money..','5.0 out of 5 stars','Leaves the hair super dry and rough..'
'B07SY3YT7W',Don't buy this totally fake product they selling duplicate shampoo in the name of pantene,'1.0 out of 5 stars',''
'B07SY3YT7W','excellent','4.0 out of 5 stars','excellent shampoo for hair fall issues.'
