item,title,rating,body
'B07TJ9VN4F','It is Over Priced Item.','3.0 out of 5 stars','Why would any1 go for ths Sweatshirts @ ths Price.  As Many Popular Brands R also available at the Same Price.  Amazon ths is Not a Biased Review. Pls Do the Market Survey bcos Pricing any New Category Product.  Thanks 🙏'
'B07TJ9VN4F','Nice jacket at 1k price range','5.0 out of 5 stars','Very soft light weight and good fit'
'B07TJ9VN4F','Osm product','5.0 out of 5 stars','Light weight and stylish'
'B07TJ9VN4F','Gud','5.0 out of 5 stars','Highly recommend'
'B07TJ9VN4F','This fuffer jacket is good for winter','5.0 out of 5 stars','I buy puffer jacket and I like it soo much I buy it again  Thank you Amazon'
'B07TJ9VN4F','Quality issue','1.0 out of 5 stars','Quality of clothes was not up to the mark. Fitting and look was also not as per specifications on website.'
'B07TJ9VN4F','Size issue','4.0 out of 5 stars','Product issue of size'
'B07TJ9VN4F','Good quality','4.0 out of 5 stars','Value for money'
'B07TJ9VN4F','చాల బాగుంది. ఖచ్చిత మైన టైమ్ కు అందించారు.. ధన్యవాదాలు.','4.0 out of 5 stars','డెలివరీ టైమ్ బావుంది. మంచి ప్రొడక్ట్.'
'B07TJ9VN4F','Improve','1.0 out of 5 stars','Poor quality'
'B07TJ9VN4F',Don't waste money genuine review,'1.0 out of 5 stars',Don't buy
'B07TJ9VN4F','Good quality','5.0 out of 5 stars',''
'B07TJ9VN4F','Average product and larger in size','3.0 out of 5 stars','Product is average in this price segment. It is larger in size than that expected.'
'B07TJ9VN4F','Poor quality according to price... Poor fitting','1.0 out of 5 stars','Bad quality according to its price and Fitting of this product is also very bad... Improper sizes... I ordered S size but it is too big and fitting is also improper.'
'B07TJ9VN4F','Nyce product','5.0 out of 5 stars','Nyce product'
'B07TJ9VN4F','Awesome product','5.0 out of 5 stars','Good. But not for 100% water resistant..'
'B07TJ9VN4F','Acchi nhi hai size bada hai','1.0 out of 5 stars','Dislike'
'B07TJ9VN4F','फोटो मध्ये माउस कलर वेगळा आहे आणि प्रत्यक्ष जॅकेट वेळग्या कलर चे आहे','3.0 out of 5 stars','फोटो मध्ये माउस कलर वेगळा आहे आणि प्रत्यक्ष जॅकेट वेळग्या कलर चे आहे'
'B07TJ9VN4F','This product is very bad & total loss this money','1.0 out of 5 stars','This product is very poor & amazon is very poor and very bad service and miss guide the customer services & support'
'B07TJ9VN4F','Ok','2.0 out of 5 stars',Don't go by the size chart in the product page its very misleading & wrong. I bought two of the same jacket one M & one L. For a gift & for myself. None of them fitted us. So had to return it back. The material looked good but am not sure will it fight the bitter winter chill. Tried to buy larger size but it's out of stock.
'B07TJ9VN4F','Decent product','2.0 out of 5 stars',Got a used product . Tags weren't intact even not at their original position. Packaging was damaged too.
'B07TJ9VN4F','Not warm at all','1.0 out of 5 stars',"I don't know why I bought this if not for warmth. It's basic purpose is to serve warmth, in which it failed. I had to wear thermals in order to keep my body warmer enough. How can I survive with this in minus degrees I couldn't imagine"
'B07TJ9VN4F','Fine','4.0 out of 5 stars','Fitting is good  but color is not exactly same as shown in pic'
'B07TJ9VN4F','Sleeve his very long to','1.0 out of 5 stars','I am sending to photo not hand to complete in hand fitting no'
'B07TJ9VN4F','Quality of the zipper','3.0 out of 5 stars','The jacket is ok. Keeps you fairly warm. The quality of the zipper is not very good. I hope that the manufacturer pays attention to it. If the zipper fails the jacket cannot do what it claims to do that is keeping you warm.'
'B07TJ9VN4F','This is couyalete is vary bad','1.0 out of 5 stars','The media could not be loaded. Not like'
'B07TJ9VN4F','Good','5.0 out of 5 stars','Good'
'B07TJ9VN4F','Superb product. Thank you Amazon 👍','5.0 out of 5 stars',''
'B07TJ9VN4F','Good product quantity superb 😊','5.0 out of 5 stars','Good'
'B07TJ9VN4F','Nice','5.0 out of 5 stars','Excellent'
'B07TJ9VN4F','Nice','5.0 out of 5 stars','Nice product . Must purchase this'
'B07TJ9VN4F','Ok','3.0 out of 5 stars','Ok'
'B07TJ9VN4F','Very poor fitting','3.0 out of 5 stars','The fitting is pretty weird and not recommended. I feel roadster jackets are better.'
'B07TJ9VN4F','Plastic, Non Absorbing, Uncomfortable''1.0 out of 5 stars''Plastic Non Absorbing Uncomfortable  Does not absorb sweat at all out it and go out in sun and you will be all wet from inside !'
'B07TJ9VN4F','Used Product','1.0 out of 5 stars','No value for money. Item has been used. It has lipstick marks and dirt on it and other kind of stains. Very poor condition'
'B07TJ9VN4F','Color mismatch','1.0 out of 5 stars','Color'
'B07TJ9VN4F','Colour change','1.0 out of 5 stars','Colour mismatch'
'B07TJ9VN4F','Colour is awesome but quality is not good','3.0 out of 5 stars',The colour of this jacket is awesome and give you a definitely new look and feel but it can't survive in hard winter as material quality is not good.
'B07TJ9VN4F','Good','4.0 out of 5 stars',Haven't washed it yet but looks good.
'B07TJ9VN4F','Must Buy, Worth your money',"'4.0 out of 5 stars'I seriously can't believe i found this. It's so light weight, good Looking and perfectly fit. And the price is so low for a 3xl bomber jacket. Thumbs UP Go for it 🔥"
'B07TJ9VN4F','Awesome','5.0 out of 5 stars','Awestruck.nice to have looks cool after wearing seems a highly price possession hence thanks overall.Would love to wear again and again'
'B07TJ9VN4F','Good product','5.0 out of 5 stars','Good 👍'
'B07TJ9VN4F','Great product!','5.0 out of 5 stars','Nice jacket. Feels warm & cozy.'
'B07TJ9VN4F','Best one','5.0 out of 5 stars','Best product'
'B07TJ9VN4F','Nice ce','3.0 out of 5 stars','Good'
'B07TJ9VN4F','Now worth it for High winters.','3.0 out of 5 stars',First of all quality is not good. The zipper quality is very cheap. It was getting stuck. Another thing is that its not warm. It is ok for low winters or starting winters. But when it's peak winter time it will not help and you will feel cold.. so just buy According to your expectations.
'B07TJ9VN4F','Good','3.0 out of 5 stars','Money worth'
'B07TJ9VN4F','Nice','3.0 out of 5 stars','L size is little bit learge'
'B07TJ9VN4F','Value for money','5.0 out of 5 stars','Value for many best quality'
'B07TJ9VN4F','good fit, good quality','5.0 out of 5 stars''I ordered it for my father. Order same size as your shirt size. Quality is really good at this price and then one day delivery. Its perfect. You can go for it.'
