item,title,rating,body
'B07YNHHH5N','Very bad quality','1.0 out of 5 stars','Very poor quality Very poor quality Very poor quality Very poor quality Very poor quality Very poor quality Very poor quality'
'B07YNHHH5N','Good','5.0 out of 5 stars','Good'
'B07YNHHH5N','Not for oily scalp','3.0 out of 5 stars','.'
'B07YNHHH5N','Good','4.0 out of 5 stars','I have been using this product since one year and it is good...'
'B07YNHHH5N','Bad product','1.0 out of 5 stars','Worst to the core'
'B07YNHHH5N','Good','5.0 out of 5 stars','Very good'
'B07YNHHH5N','Good for traveling','5.0 out of 5 stars','Good for traveling'
'B07YNHHH5N','Product Review','4.0 out of 5 stars','Very good hair shampoo its worth.'
'B07YNHHH5N','Nice','4.0 out of 5 stars','Like'
'B07YNHHH5N','Duplicate Product','1.0 out of 5 stars','Original bottle neck cap will be light golden coloured and every bottle has wow embossed on Bottle. But this product has dark cheap quality neck cap even all bottle plastic quality is cheap grade and no embossed on bottel in any side.'
'B07YNHHH5N','Sticks with hair','1.0 out of 5 stars','This shampoo sticks in the hair so bad. No matter how hard you rinse your hair it remains in the hair strands. My hairfall increased multifold after I started using this shampoo.  Worst ever experience.'
'B07YNHHH5N','Wow shampoo','1.0 out of 5 stars','Product quality is not good 😔'
'B07YNHHH5N','Quality','5.0 out of 5 stars','Very good 👍 I like this shampoo'
'B07YNHHH5N','Not recommended','1.0 out of 5 stars','Not recommending'
'B07YNHHH5N','Bad product','1.0 out of 5 stars','Ye shampoo bht bekar hai ye bilkul oil jesa shampoo hai ise hair wash krne ke bad bhi hair bht oily rehte hai ur hair fall bhi bht jyada hone lag gya it’s a fake and worst product'
'B07YNHHH5N','Wow ☺️ as the name suggests','5.0 out of 5 stars',Doesn't leaves had dry and fizzy. After first wash felt hair soft and shinny. It doesn't have too much of lather hence you use the shampoo twice to remove the oil
'B07YNHHH5N','Worst product','2.0 out of 5 stars','Not worked as described hairball does not stops'
'B07YNHHH5N','shampoo Acha Nahin Hai','2.0 out of 5 stars','shampoo Acha Nahin Hai'
'B07YNHHH5N','Bad quality, increased hairfall','1.0 out of 5 stars''Better not to use this product. After hair wash  hair is so greesy and it take minmum 4 hours to dry.'
'B07YNHHH5N','Bas shampoo','1.0 out of 5 stars',It increases my hairfall and doesn't clean hair. My hair is falling due to using this product
'B07YNHHH5N','Not upto the mark','1.0 out of 5 stars','Aggrevates Dandruff'
'B07YNHHH5N','Prevent hairfall','5.0 out of 5 stars','This shampoo prevents hairfall  also makes ur hair quite smooth  go for it'
'B07YNHHH5N','Nice product','4.0 out of 5 stars','But this is not clear my oily hair.'
'B07YNHHH5N','Good','4.0 out of 5 stars','Good'
'B07YNHHH5N','Product average','4.0 out of 5 stars','Paheli baat product average hai aur ishe roj lagaye bhi na nahi toh apke baal udha dega 1 week 3 baar'
'B07YNHHH5N','Very damaging','1.0 out of 5 stars','After using this shampoo my hairfall started to increase. I lost almost more than 100 hair strands after every wash'
'B07YNHHH5N','Extremely bad shampoo','1.0 out of 5 stars','I bought it offline & used it along with my other family member and all people hair starts falling more. It makes your hair more dry. So Not sure how this shampoo got so much positive ratings. Seems like fake ratings scam just like mama Earth products. I am 100% sure that even company owner itself doesn’t use their own product as quality is extremely poor.'
'B07YNHHH5N','Real product','5.0 out of 5 stars','Amazing'
'B07YNHHH5N','Worst product','1.0 out of 5 stars','Hair will start falling soon after 1st day of use. It damages the root of the hair.'
'B07YNHHH5N','waste of money','1.0 out of 5 stars',"This is a very poor-quality shampoo. I've been using it for a month, and my hair is falling out more than before. I've never seen such a useless shampoo in my life. No control over hair loss, no control over dandruff, a complete waste of money."
'B07YNHHH5N','1099 ▶️ rs 544/-','5.0 out of 5 stars',''
