item,title,rating,body
'B07YQZFTQV','FITS NICELY.','5.0 out of 5 stars','It seems it may get slightly loose after 1 wash but not sure. Definitely good fabric and fit just as ordered.'
'B07YQZFTQV','Cheated and given another material, bad quality','1.0 out of 5 stars''Bad experience'
'B07YQZFTQV','Best quality','5.0 out of 5 stars','I like this product'
'B07YQZFTQV','Good','4.0 out of 5 stars','It is very comfortable stretchable and fits properly.'
'B07YQZFTQV','Nice product','5.0 out of 5 stars','Yes its a good product u can give a try'
'B07YQZFTQV','Good','5.0 out of 5 stars','Very soft and body hugging! Comfortable material. Light weight! And i got it on a deal! So worth it!'
'B07YQZFTQV','Soft and comfortable','5.0 out of 5 stars','Very soft fabric and comfortable to wear size is too perfect 🥰 Love this product'
'B07YQZFTQV','Received wrong colour and quality product','1.0 out of 5 stars','I order for black shorts but what I received is grey in colour which is not strachable at all . Even size is too small according 2xl. I needs to exchange according my original order but not available so needs to return it . Really disappoints with such a brand like Clovia.'
'B07YQZFTQV','Good','5.0 out of 5 stars','Good fit'
'B07YQZFTQV','Nice 👍','4.0 out of 5 stars','Nice 👍'
'B07YQZFTQV','Comfy','5.0 out of 5 stars','Really love it. So comfortable'
'B07YQZFTQV','Comfortable','5.0 out of 5 stars','Nice'
'B07YQZFTQV','Good','4.0 out of 5 stars','Product is good but the material is thin'
'B07YQZFTQV','Smooth fabric','5.0 out of 5 stars',It's a highly recommend 👌
'B07YQZFTQV','Perfect','5.0 out of 5 stars','Superb perfect fitting'
'B07YQZFTQV','Good product','5.0 out of 5 stars','Comfortable. Fits perfectly.'
'B07YQZFTQV','Quality of product is not that up to the mark other than that it’s good','4.0 out of 5 stars','Quality of product is not that up to the mark other than that it’s good'
'B07YQZFTQV','Thin Fabric','1.0 out of 5 stars','Thin Fabric'
'B07YQZFTQV','It is very soft n comfortable','5.0 out of 5 stars',Extremely stretchable and doesn't compress the skin much
'B07YQZFTQV','Best quality','5.0 out of 5 stars','i am very satisfied with its quality'
'B07YQZFTQV','Comfortable','4.0 out of 5 stars','Worth it product!'
'B07YQZFTQV','I got same as it shown in picture description','4.0 out of 5 stars',Overall it's good other than else I will tell it's durability after use
'B07YQZFTQV','Must buy','5.0 out of 5 stars','Very comfortable & good product'
'B07YQZFTQV','Worth of money','5.0 out of 5 stars','It is so comfortable soft and made with high quality cotton. I really liked it.'
'B07YQZFTQV','Great Product','5.0 out of 5 stars',Great Product. Fits perfectly. Very comfortable. Totally loved it. Highly recommended. The material is very soft. And the elastic is perfect. It's exactly what I wanted. Loved the product
'B07YQZFTQV','Soft','5.0 out of 5 stars','The Clovia shorts are comfortable to wear and is very soft.'
'B07YQZFTQV','Very soft and comfortable shorts','5.0 out of 5 stars','Fabric is very comfortable and true to size. Length is also good. Can be easily worn with any dress and best for cycling.'
'B07YQZFTQV','Comfy','5.0 out of 5 stars',Very comfortable i used in pregnancy it's just smooth fabric with very good fitting
'B07YQZFTQV','Comfortable','5.0 out of 5 stars','Wow product so extending and loving and iam 70weight it is stretchable super'
'B07YQZFTQV','Comfortable','5.0 out of 5 stars','Strechable Soft cotton comftable short pant breathable material. I like it'
'B07YQZFTQV','Flexible','5.0 out of 5 stars','Super cloths experience so soft and stretching'
'B07YQZFTQV','Super comfortable','5.0 out of 5 stars','Size is perfect. Material is too good as always. Very comfortable product. Worth buy.'
'B07YQZFTQV','Great quality!!','5.0 out of 5 stars','Very good elasticity and fabric quality. Can be used for multiple sports like cycling dancing workouts.'
'B07YQZFTQV','Awesome Product','5.0 out of 5 stars','It is very soft product with awesome quality.'
'B07YQZFTQV','Very good','5.0 out of 5 stars',It is very good and comfortable. It's fabric is very soft .size is also good. I am buying this for my daughter. She is very happy.
'B07YQZFTQV','Nice fitting','5.0 out of 5 stars','Cycling is of good fabric with perfect fitting Also stitching is good  looks long-lasting.'
'B07YQZFTQV','Awkward fit','2.0 out of 5 stars',The fit is not perfect. It's loose at the waist and tight on the thigh. Doesn't work as a shapewear as it is not very thick nor is it fit over the tummy.
'B07YQZFTQV','Fits well','5.0 out of 5 stars','The short was good in shape . The short was good in quality and was too good on skin. The fabrics was good and looking good . The stiches was good and a comfortable wear'
'B07YQZFTQV','Very comfortable','4.0 out of 5 stars','Comfortable material and nice fittings. A must buy'
'B07YQZFTQV','Good fitting, comfortable n soft to wear','5.0 out of 5 stars''Good fitting comfortable n soft casual wear shorts'
