item,title,rating,body
'B07Z1YVP72','Material','5.0 out of 5 stars','Material is really good it gives soft cushioning to the laptop for daily travel'
'B07Z1YVP72','nice product','5.0 out of 5 stars','very premium product'
'B07Z1YVP72','Best but over price','4.0 out of 5 stars','Good but over price go same quality amazon laptop sleeve 👌'
'B07Z1YVP72','Worthy','5.0 out of 5 stars','Very Good Product. Never got such a good paded laptop clutch before.'
'B07Z1YVP72','Quality is excellent.','5.0 out of 5 stars','The quality of this bag is so good and it is the best fit for a 15.6-inch laptop. it is very useful for carrying the laptop safely. You can surely go for it!'
'B07Z1YVP72',It's perfect go for it...👍,'5.0 out of 5 stars',It's perfect go for it...👍
'B07Z1YVP72','Good','5.0 out of 5 stars','Good product as of now.'
'B07Z1YVP72','Good product','5.0 out of 5 stars','The bag is spacious and cusioned.'
'B07Z1YVP72','Value for money','5.0 out of 5 stars','I am entirely happy with this product. Go for it . You will never be disappointed'
'B07Z1YVP72','Awesome Product','5.0 out of 5 stars','Good Product for 15.6 inch laptop. I love it. Quality is Fav. Portability is good. Zipper is good. Padding is Fav. Looking is awesome.'
'B07Z1YVP72','Size was so large','2.0 out of 5 stars','The material of this sleeve is almost good but the size I ordered for 14 inch laptop was large. 14 inch sleeve will also fit for 20 inch laptop'
'B07Z1YVP72','Quality is good','5.0 out of 5 stars','No dislike. Liked everything.'
'B07Z1YVP72','Wholeheartedly happy','5.0 out of 5 stars','Best product you can purchase for you laptop. Superrrb...'
'B07Z1YVP72','Used product received','1.0 out of 5 stars','Used product received..and got refund with rs 15 deduction !!! Very disappointed !!!'
'B07Z1YVP72','Amezing one','4.0 out of 5 stars',I'm glad you found the laptop case from Air Case Company to be amazing and well-fitting. It's always nice when a product exceeds expectations!
'B07Z1YVP72','Quality is good but size not proper for gaming laptops','3.0 out of 5 stars','I have acer predator Helios 15.6 inch laptop and the cover barely fits in. Guess they forget to mention that it fits for slim laptops only'
'B07Z1YVP72','Your Laptop needs this.','5.0 out of 5 stars','Must buy for laptops almost al size fits in it. Good quality and protection with style.'
'B07Z1YVP72','Good protection for the laptop.','5.0 out of 5 stars',A very good buy. Keeps the laptop well protected. No idea about waterproofing. Didn't want to risk laptop to test it!! It is very comfortable to hold it with the laptop inside.
'B07Z1YVP72','Good product','4.0 out of 5 stars','Cushioning is good all sides and edges. Product feels premium. Only slightly bigger in size. I have Macbook Pro 16. Zipper quality is good.'
'B07Z1YVP72','The best fit for my ROG Strix G513RC-HN085WS','5.0 out of 5 stars','The perfect size and premium look. The meterial quality is very good.  The colour is good.  Zipper quality is very good.  Very thickness and compact.'
'B07Z1YVP72','Good one go for it','5.0 out of 5 stars','Air case is known for there good quality products go for it very satisfied good to go'
'B07Z1YVP72','Poor quality','1.0 out of 5 stars','Waste of money'
'B07Z1YVP72','Value for money!','5.0 out of 5 stars',Perfectly fits my 15'6 inch Lenovo LOQ.
'B07Z1YVP72','Great product','5.0 out of 5 stars','Portable and good cushioning.'
'B07Z1YVP72','Nice product','5.0 out of 5 stars','The media could not be loaded. Soft and dustprov'
'B07Z1YVP72','Value for money','4.0 out of 5 stars','Nice Quality for Price'
'B07Z1YVP72','Quality','5.0 out of 5 stars','At this price superb quality'
'B07Z1YVP72','0','1.0 out of 5 stars','Stiching problem .'
'B07Z1YVP72','Good Quality','5.0 out of 5 stars','Good and Value for Money'
