item,title,rating,body
'B07ZZ8BZ3G','Good quality','5.0 out of 5 stars','Perfact fit and good in flare'
'B07ZZ8BZ3G','Nice fit','5.0 out of 5 stars','Fabric n Fit is too good.'
'B07ZZ8BZ3G','Good','5.0 out of 5 stars','Its a good skirt but too big in size. Only world recommend for tall thin girls.'
'B07ZZ8BZ3G','Bhut acha flar hai…must buy skirt hai Bina kuch soche le lo','5.0 out of 5 stars',''
'B07ZZ8BZ3G','Superb quality','5.0 out of 5 stars','Excellent'
'B07ZZ8BZ3G','Ok','4.0 out of 5 stars',"The cloth quality is average, but the design of the langa jhar is quite impressive. Overall, it's a good product"
'B07ZZ8BZ3G','fabric destroyed','1.0 out of 5 stars','please return the parcel let hogya but main dehradun se bhar thi'
'B07ZZ8BZ3G','Good','4.0 out of 5 stars','Beautiful skirt must buy as the flair is very good and material is good'
'B07ZZ8BZ3G','Very good','5.0 out of 5 stars','The quality of the skirt was very good.. having big flair.. buy it without any doubt'
'B07ZZ8BZ3G','Best and beautiful','5.0 out of 5 stars','Stuff is also nice... Beyond expectations.. Amazing'
'B07ZZ8BZ3G','Used and torn clothes delivered. Pathetic','1.0 out of 5 stars',''
'B07ZZ8BZ3G','skirt very feminine look','5.0 out of 5 stars','After wearing this long skirt with broad flares felt like a teenage girl and wanted to swirl and dance.'
'B07ZZ8BZ3G','Did not like','3.0 out of 5 stars',There is a lot of encirclement. In this u can made two skirts . The fabric is good.. u can buy if you want lot of ghera in ur skirt.. i have it but haven't worn it yet
'B07ZZ8BZ3G','Best skirt off the world','5.0 out of 5 stars',''
'B07ZZ8BZ3G','Nice','5.0 out of 5 stars',''
'B07ZZ8BZ3G','Awesome','5.0 out of 5 stars','Jzt go for it widout any second thoughts'
'B07ZZ8BZ3G','Good product worth buying','5.0 out of 5 stars','Got as expected'
'B07ZZ8BZ3G','Good','3.0 out of 5 stars','Good'
'B07ZZ8BZ3G',"Overall it's perfect,be it fitting or quality..just a price is bit High",'4.0 out of 5 stars',''
'B07ZZ8BZ3G','Good product at this price','4.0 out of 5 stars','Good product.'
'B07ZZ8BZ3G','Didnt looked good on me','2.0 out of 5 stars','It was too large and the material was okay'
'B07ZZ8BZ3G','Its flare is soo good as described','5.0 out of 5 stars','I really loved this lehenga proper flare and looks good as well.'
'B07ZZ8BZ3G','Beautiful product 😍','5.0 out of 5 stars','Love it'
'B07ZZ8BZ3G','beautiful skirt just go for it','5.0 out of 5 stars','beautiful skirt 😍 very nice cloth quality looks beautiful 😍 im very Happy with this cant find such a fabulous skirt with so much of ghera any were at this price got it at 750rs at discount'
'B07ZZ8BZ3G','Beautiful skirt','5.0 out of 5 stars','Most beautiful skirt... Highly recommend. ..'
'B07ZZ8BZ3G','Great purchase','5.0 out of 5 stars',"My height is 5'8 and the length of skirt is perfect for me Shiny material,good flare,cancan not needed Thankyu 😊 In this price ,skirt is excellent"
'B07ZZ8BZ3G','Awesome','4.0 out of 5 stars','Quality is good at this price and length is perfect for 5’8 inch girls'
'B07ZZ8BZ3G','Best at its price','5.0 out of 5 stars','Awesome product at its price. It has a good quality fabric and is very comfortable'
'B07ZZ8BZ3G','Perfect','5.0 out of 5 stars','The material is too good. Fit is perfect. Length is a bit more but can be fixed by wearing heels or getting it altered a bit. But it’s worth buying. The stitching is good. No need of any can can skirt. It comes with two layers. The flare is good too.'
'B07ZZ8BZ3G','Worth the money!','5.0 out of 5 stars','Full ghera a little large in height amazing overall.'
'B07ZZ8BZ3G','I love this skirttt so muchh','4.0 out of 5 stars',''
'B07ZZ8BZ3G','Love this product.','5.0 out of 5 stars','Very nice skirt as expected .love the ghera ❤️'
'B07ZZ8BZ3G','Superb skirt with double ghera. Good quality','5.0 out of 5 stars',''
'B07ZZ8BZ3G','Its fab','4.0 out of 5 stars','Full gher skirt..lovely n comfy one..'
'B07ZZ8BZ3G','Really Amazing skirt . So elegant and beautiful.','5.0 out of 5 stars',Amazing skirt really pretty . The colour of skirt didn't match with my top so i returned it . Otherwise good skirt . And quality is good . Highly recommend .
'B07ZZ8BZ3G','Very pretty','5.0 out of 5 stars','Very pretty skirt. However length is a bit too much. Has very nice flair.'
'B07ZZ8BZ3G','Damage product','1.0 out of 5 stars','Damage product'
'B07ZZ8BZ3G','Lovely...♥️','5.0 out of 5 stars','Quality 10/10 flare 10/10 has good quality inner lining. This one is just an amazing product at such a minimal price. ♥️'
'B07ZZ8BZ3G','Must buy','5.0 out of 5 stars','Same as shown in the picture. Must buy😍'
'B07ZZ8BZ3G','Damage product tag is also remove','1.0 out of 5 stars','The media could not be loaded. Damage product'
