item,title,rating,body
'B083F3FC31','Superb quality 😇','4.0 out of 5 stars','I like it....but in small size.... Good quality...good teddy condition... 100% polyster microfiber..🙃 .thanks amazon'
'B083F3FC31','Soooooo cute','5.0 out of 5 stars','Product was soooooo good. Quality s awesome better than expected. Highly recommended to buy at this price.'
'B083F3FC31','Super','5.0 out of 5 stars','Superrr'
'B083F3FC31','Awesome','5.0 out of 5 stars','Amazing too cute and awesome quality'
'B083F3FC31','Very cute bear dog 🐕','5.0 out of 5 stars','Good quality and soft toy 🧸 Light weight'
'B083F3FC31','Worth every single penny!','5.0 out of 5 stars',"It's just fantastic, cute, amazing material, feel like hugging all the time, perfect cute shape. Really satisfied, that too under 200!!"
'B083F3FC31','Good','5.0 out of 5 stars','Quality is good'
'B083F3FC31','Different color','3.0 out of 5 stars','Liked the toy but is of different color from what I ordered..'
'B083F3FC31','Very cute and nice','5.0 out of 5 stars','Very cute'
'B083F3FC31','quality product','5.0 out of 5 stars','The media could not be loaded.'
'B083F3FC31','Worth for money','5.0 out of 5 stars','Very soft . Item is exactly as the picture shows'
'B083F3FC31','Worth for money','5.0 out of 5 stars','The toy is cute'
'B083F3FC31','This is small size','1.0 out of 5 stars','The media could not be loaded. Package is not done Very small toy'
'B083F3FC31','Quality','5.0 out of 5 stars','Good quality'
'B083F3FC31','Good quality','5.0 out of 5 stars',High quality meterial is used......very soft and beautiful....it's definitely worth the price......Best thing for gifting .... It will be better if Amazon packed it.... It was in normal transparent cover....and came without packing
'B083F3FC31','Small in size','4.0 out of 5 stars','Ball is soft and good colours. But size very small'
'B083F3FC31','Veryyy cute and good quality','5.0 out of 5 stars',"It is small, cute and of good quality. Definitely worth the money, I really loved it and I just can't stop obsessing over it."
'B083F3FC31','Super soft and cute teddy','5.0 out of 5 stars','Very very good product quality .. very soft and cute..'
'B083F3FC31','Worth the money','5.0 out of 5 stars','Super soft plushie toy for infants and toddlers. Mine like it very much. Thank u amazon😍😍  Size is little bit small but absolutely cute.  Actually i ordered a yellow colored unicorn yet received pink colored one.Next time please check the orders correctly before shipment'
'B083F3FC31','Soft silk toy','5.0 out of 5 stars','Very good and great fabric use to this toye baby friendly toye 🎉🎉🎉🎉🎉👍👍👍👍👍👍 thankyou supplyer and proudet manufacturing team ☺️☺️☺️☺️☺️☺️'
'B083F3FC31','Best in class','5.0 out of 5 stars','Like it in a once. No more words to describe.'
'B083F3FC31','Perfect','5.0 out of 5 stars','Amazing'
'B083F3FC31','Qualitywise superb','5.0 out of 5 stars','Size not large as expected'
'B083F3FC31','Cutie','5.0 out of 5 stars','Cuite and makes a refresh when looks towards it'
'B083F3FC31','Not worth for this rate','1.0 out of 5 stars','Small in size . Slim and not value for money'
'B083F3FC31','Very good product as described','5.0 out of 5 stars','Teddy is very soft and quality is very nice with shiny appearance. Liked it.'
'B083F3FC31','I ordered for yellow unicorn but I received pink one.','3.0 out of 5 stars',''
'B083F3FC31','dangerous product tag','1.0 out of 5 stars',this toy has product info tag which is very dangerous to child. my 5 month old baby's eyes got hurt with that sharp edges of tag. please remove that tag immediately if you bought it
'B083F3FC31','Worth money 💵 kawaii 💐','5.0 out of 5 stars','Very durable cute colour is so vibrant size is quite good thanks Amazon 💓'
'B083F3FC31','Cute','5.0 out of 5 stars','I like it very cute penguin'
'B083F3FC31','Ok ok product','2.0 out of 5 stars','Not worth for money. It is too small'
'B083F3FC31','Good','5.0 out of 5 stars','Good'
'B083F3FC31','Nice product and better quality...💯','4.0 out of 5 stars','I like it....'
'B083F3FC31','Poor Quality','1.0 out of 5 stars','Very tiny'
'B083F3FC31','Good but too small','4.0 out of 5 stars','Good and soft product. Quality is good but too small in size so had to return it'
'B083F3FC31','Baby Products','5.0 out of 5 stars','Good for Little babies looks cute and attractive. Easy washable.'
'B083F3FC31','Beautiful 😍','4.0 out of 5 stars','This is so cute...soft...lovely product...Thank you Amazon'
'B083F3FC31','Size not as per Description','1.0 out of 5 stars','Length found 17cm Instead of 17 inch Which is very small'
'B083F3FC31','Nice','4.0 out of 5 stars','Very nice and soft 🫶'
'B083F3FC31','Cute teddy','5.0 out of 5 stars','As per quality it was very good...I liked this so much'
'B083F3FC31','Not bad','3.0 out of 5 stars',Stitching and everything is good actually and true to it's measurements as well.
'B083F3FC31','Nice one','4.0 out of 5 stars','Colours are good soft ball  but small in size( may be cause it will help babies to hold it) and rattle sound is bit slow .'
'B083F3FC31','Good','5.0 out of 5 stars','Nice toy good finish reasonable price'
'B083F3FC31','Small size','1.0 out of 5 stars','Size too small'
'B083F3FC31','Good one','4.0 out of 5 stars','Good product Value for money'
'B083F3FC31','Very cute','5.0 out of 5 stars',''
'B083F3FC31','Small size','3.0 out of 5 stars','Small size'
'B083F3FC31','Very Nice','5.0 out of 5 stars','Very nice toy with very good material. My daughter enjoying playing with it. Worth to buy in this price range.'
'B083F3FC31','Vvvv cute !','5.0 out of 5 stars','It is adorable:D  the size of your palm.'
'B083F3FC31','Cute and soft','5.0 out of 5 stars','Very soft material'
